x,y,name
69.1776,34.526,کابل
70.4601,34.4302,جلال اباد
65.7145,31.6258,قندهار
68.8673,36.7176,قندوز
65.4598,32.6195,ده راود
65.8688,32.6218,ترين كوت
64.2072,31.1179,ګرمسير
64.3613,31.5852,لښکرګاه
62.2164,34.3508,هرات
68.4132,33.5449,غزنی
62.1146,32.3741,فراه
61.8595,30.9548,زرنج
67.6368,32.7269,علاقه داری گېلان
65.2555,34.519,چغچران
64.7823,35.9204,میمنه
70.5785,37.1188,فیض‌آباد
69.9206,33.3391,خوست
65.7612,36.6621,شبرغان
66.8981,36.7581,بلخ
67.6981,36.6946,خلم
68.0222,36.2684,سمنگان‎
68.6819,36.1201,بغلان
68.7166,35.9404,پل خمری
65.1264,36.9517,اندخوی
66.1821,36.9026,آقچه
64.2928,35.6873,قیصار
63.7809,35.7301,غورماچ
69.1742,35.0132,چاریکار
62.5919,34.4913,Karukh
63.1337,34.9884,قلعه نو
68.7852,33.1714,ښرنه
62.2686,33.646,ادرسکن
62.1566,33.3056,شینډنډ
70.1014,36.8178,کشم
69.5353,36.7359,تالقان
65.9333,36.215,سر پل
67.9893,33.5821,Shamsuddin
67.8372,34.8243,بامیان
70.8937,34.8824,Kōṟangal كرنگل
69.2236,33.6015,ګردېزښار
68.8215,36.6989,Du Wandi
68.6921,36.8191,Gor Tapa
68.7965,36.691,Chahar Dara
68.7718,36.7921,Qal'a Cha
68.7314,36.8384,Torba Kash
68.8035,36.7597,Isa Khan
68.7851,36.7793,Omar Khel
68.8443,36.6702,Isa Khel
68.8145,36.7318,Qara Yatim
69.1165,36.6868,خان آباد
68.9131,37.1825,امام صاحب
68.6879,36.7428,Mama Khel
68.7265,36.7677,Basoz
68.8056,36.8043,Talawka
68.6548,36.7465,Yangharaq
68.8685,36.7612,Lukh
68.7355,36.728,Khetay
68.8587,36.648,Haji Amanulla
68.6248,36.9003,Yanghareq
68.7533,36.7167,Aq Saray
68.7828,36.7239,Sujani
68.8394,36.6453,Qara Khani
68.8504,36.7544,Zar Kharid-i-Ulya
68.7759,36.747,Sujani-i-Ulya
68.8791,36.6688,Qrta Bulaqi
68.809,36.7507,Qazaq Tepa
68.7664,36.6973,Palaw Kamar
68.7023,36.7757,Jar Tapa
68.728,36.7039,Nawabad
68.6609,36.7616,Aq Shakh
68.8033,36.7086,Nahr-i Sufi
68.8511,36.6202,Omar Khel
68.7468,36.8384,Asqalan
68.6883,36.7763,Aynul Majer
68.8301,36.6621,Gharaw Qeshlaq
68.7394,36.778,Chem Tepa
68.8282,36.6375,Gul Baq
68.63,36.8267,Boghoz Qum
68.6525,36.8163,Durman
68.8011,36.6772,Durman
68.5999,36.8987,Gul Mohammad Haji
68.7551,36.7828,Utman Zay
68.8643,36.6169,Rahmat Bay
68.8679,36.6629,Qandahari
68.846,36.731,Za Khel
68.6231,36.7674,Qosh Tapa
68.8531,36.6092,Qasab
68.6866,36.706,Kalta Tumshuq
68.8724,36.603,Mur Shekh
68.8122,36.6462,Taher Kamar
68.8755,36.6774,Naseri
68.8164,36.6555,Tal Guzar
68.7191,36.8079,Arab
68.7794,36.7712,Chahar Darrahchi
68.8458,36.6293,Gerdan
68.8563,36.5922,Mur Shekh
68.7537,36.7514,Mang Tapa
68.8212,36.8269,Asqalan
68.8295,36.7919,Talawka
68.8853,36.7977,Boz
68.8566,36.7352,Chahil Dukhtaran
68.8617,36.7447,Qarawul Tepa
68.8531,36.6967,Ali Khel
68.8422,36.6811,Shora Khake Bala
68.87,36.7941,Alchin
68.7392,36.8076,Larkhabi
68.8913,36.6562,Qara Qeshlaq
68.841,36.816,Sujan
68.854,36.8122,Qowngowrat
68.8475,36.705,Za Khel
68.8301,36.6939,Gharma Tepa
68.8158,36.7564,Baghi Shirkat
68.3731,36.6453,Khoyr Abad
68.8951,36.6454,Laqlyan
68.5885,36.9306,Char Gul
68.7428,36.7173,Basoz-i-Bala
68.8304,36.7582,Zar Kharid-i-Sufla
68.7831,36.7105,Ghunday Kalay
68.6548,36.779,Qosh Tapa
68.7205,36.7174,Churaq
68.8678,36.8099,Baluc
68.9466,36.7074,Qaymaqchi
69.027,36.6449,Jukana
69.0073,36.766,Jan Qataghan
68.8671,36.7045,Seh Darak
68.9068,36.7101,Charkhaw
68.9253,36.7706,Bakhshi
68.9306,36.6728,Naseri
68.9722,36.7187,Khvajeh Ghaltan
69.0163,36.6749,Khvajeh Pesta
68.8812,36.7101,Ibrahim Khel
68.9422,36.7228,Khvajeh Ghaltan
68.933,36.6998,Tagha' i
68.9952,36.7198,Nawabad
68.9933,36.6965,Qozi
68.9068,36.7739,Hadzarat-i-Sultan
68.9842,36.6523,Nawyan
68.8743,36.5743,Mur Shakh
68.9044,36.5815,Chumchuq Jar
69.0146,36.6908,Sayed Ramadzan
