x,y,name
29.3675,-3.3638,Bujumbura
29.5463,-3.2909,Bugarama
29.925,-3.4285,Gitega
30.0975,-2.8137,Muyange-Gasoho
30.0933,-2.5854,Kirundo
29.6047,-4.3385,Nyanza Lac
29.8046,-4.1348,Makamba
29.9906,-3.9264,Rutana
29.6192,-3.9453,Bururi
29.823,-2.9091,Ngozi
29.6321,-2.9297,Kayanza
29.6106,-3.0683,Matongo
30.1648,-3.1012,Karuzi
30.3394,-2.8453,Muyinga
29.1244,-2.8919,Cibitoke
29.3948,-3.0846,Bubanza
30.5496,-3.2205,Cankuzo
30.2501,-3.4733,Ruyigi
30.3533,-3.4,Rusengo
29.6167,-3.2663,Muramvya
30.4069,-2.6536,Kobero
29.8473,-3.881,Rutovu
29.8466,-3.8668,Kato
29.253,-3.3349,Gatumba
29.6894,-3.767,Matana
29.6678,-3.7554,Gitandu
29.7218,-3.7785,Butwe
29.782,-3.8037,Mahwa
29.7196,-3.8599,Kiryama
29.6747,-3.942,Kiremba
29.6607,-3.706,Vyuya
29.6045,-3.5284,Nyakararo
29.5637,-3.4804,Ijenda
29.5866,-3.665,Mugamba
29.705,-3.5117,Mwaro
29.8213,-3.718,Ryansoro
29.8598,-3.6227,Gishubi
30.138,-3.5684,Butaganzwa
30.343,-3.6575,Kinyinya
29.9699,-3.8739,Gitaba
29.9176,-3.9824,Gitanga
29.6634,-4.4473,Banda
29.7738,-4.2762,Mabanda
29.4785,-4.0467,Gatete
29.497,-4.089,Karonda
29.3126,-3.7223,Magara
29.4105,-3.4339,Buhonga
29.5911,-3.5943,Nyagasasa
29.8432,-3.9489,Ruvuye
29.8944,-4.1446,Nyange
29.9141,-3.8519,Ntirwonza
29.9308,-4.1769,Dunga
29.9743,-3.9105,Bigugo
30.2007,-3.4732,Rangi
30.4983,-3.458,Gisuru
30.0001,-3.6022,Makebuko
30.4707,-3.3228,Bweru
30.602,-3.2867,Cendajuru
30.1149,-3.6147,Mugege
30.7811,-3.0095,Tetero
30.6248,-3.1578,Nyakatsi
30.6931,-3.2039,Gisagara
30.6426,-3.1861,Rurengera
29.3562,-3.8215,Minago
29.4393,-3.9745,Rumonge
29.3049,-3.1953,Gihanga
29.4047,-3.1693,Mpanda
29.7491,-3.3039,Rutegama
29.6347,-3.5136,Butora
29.9262,-3.4909,Mweya
30.5747,-3.1857,Gitibu
30.541,-3.0674,Kigamba
30.552,-3.1067,Gikora
30.3984,-2.9212,Nyabisinda
30.1684,-3.0249,Buhiga
30.3803,-2.8684,Kibongera
30.4,-2.7287,Rugari
30.1727,-2.9811,Gitaramuka
30.3532,-2.8195,Mumpwishi
30.0505,-3.2785,Shombo
30.474,-2.695,Murama
30.0263,-3.3285,Nyabibuye
29.8868,-3.023,Ruyange
29.8664,-3.1437,Mutaho
29.914,-3.233,Bugendana
29.9369,-3.3695,Rubarazi
29.9109,-3.0851,Burasira
29.9943,-3.3797,Mirama
30.0436,-2.8537,Gakere
30.0411,-2.8901,Cayi
30.2203,-2.8541,Gasorwe
30.0741,-2.6142,Gikuyo
30.0841,-2.7698,Gikomero
30.033,-2.4366,Bugabira
30.1047,-2.5376,Kigozi
30.0652,-3.0393,Rugazi
30.064,-3.094,Bugenyuzi
29.6132,-2.9048,Ruganza
29.5934,-2.9279,Muruta
29.6289,-2.874,Butegana
29.4432,-2.9148,Bubenga
29.4595,-3.0673,Musigati
29.2643,-2.8235,Rusenda
29.3367,-2.8825,Bukinanyana
29.6349,-3.0397,Gasenyi
29.6368,-3.1936,Bukeye
29.0822,-2.813,Rugombo
29.2016,-2.9746,Buganda
29.4807,-3.4811,Matara
29.8373,-3.8708,Murambi
29.8359,-3.982,Rubimba
29.6619,-3.7802,Buraniro
29.6471,-3.7824,Kibungo
29.6849,-4.3077,Nuyange
29.3452,-3.535,Kabezi
29.3592,-3.4741,Ruziba
29.3772,-3.8633,Resha
29.3835,-3.4204,Kamesa
30.1409,-4.0266,Gihofi
29.8987,-2.9081,Gashikanwa
30.1028,-2.6883,Gasura
30.1043,-2.6977,Vumbi
30.1021,-2.5186,Yaranda
30.1382,-2.8207,Gashoho
30.8239,-3.1783,Gasenyi
29.7066,-3.9556,Buta
29.5214,-3.9953,Buruhukiro
29.6694,-4.4039,Kabonga
29.2409,-3.2652,Gasho
29.7017,-3.2804,Gatabo
29.2518,-2.7418,Butahana
30.3191,-2.7164,Butihinda
30.032,-2.9562,Musenyi
29.5629,-3.216,Teza
30.0624,-4.0067,Bukemba
30.1314,-3.9854,Muzye
29.9465,-4.1181,Kayogoro
30.3169,-3.6265,Vumwe
30.3221,-2.8623,Mukoni
29.4543,-4.0095,Mutambara
29.646,-4.3004,Kabo
29.6247,-4.2669,Kazirabageni
29.5486,-4.2199,Mukungu
29.5692,-4.2907,Mvugo
29.541,-4.1755,Rimbo
30.3686,-2.8326,"Source d'eau de la C R B, U.C KAREMERA"
29.3976,-3.5217,Gaseru
29.5467,-3.2876,POSTE DE SECOURS Gatebe-Bugarama
30.4278,-3.2021,Camp de réfugiés de Kavumu
29.9815,-3.6639,Kibuye
30.1549,-3.3937,Butezi
30.3362,-3.2727,Kayongozi
29.9938,-2.608,Ntega
29.9941,-2.7423,Marangara
30.3573,-2.6792,Tangara
30.3345,-2.5831,Bwambarangwe
30.1828,-2.779,Gisanze
