x,y,name
-1.5271,12.3681,Ouagadougou
-4.2958,11.1758,Bobo-Dioulasso
-2.3657,12.2504,Koudougou
-4.7526,10.6427,Banfora
-0.4257,12.2468,Pouytenga
-1.084,13.0856,Kaya
-1.7641,12.3479,Sané
-1.1432,11.1669,Pô
-0.3539,12.1789,Koupéla
-0.3651,11.7828,Tenkodogo
-0.029,14.0311,Dori
-0.2654,13.5881,Yalgo
-2.1048,11.0971,Léo
-3.458,12.4617,Dédougou
-1.5263,13.3225,Kongoussi
-4.9149,10.9821,Orodara
-3.2488,10.9651,Diébougou
-2.4696,12.3187,Réo
0.7234,11.0812,Kompienga
-1.554,12.4622,Kamboinsin
-1.5778,12.5146,Pabré
-2.0279,13.4416,Sittigo
-2.0509,13.454,Tougouya
-2.0986,13.4877,Ramsa
-2.1115,13.4903,Mongom
-2.1599,13.4797,Nong Faire
-1.5792,13.3113,Rissiam
-1.7287,13.2895,Tikaré
-1.814,13.3486,Mangetaba
-1.8983,13.3715,Kossouka
-2.0028,13.3279,Gambo
-2.0157,13.3064,Gambo (moulin)
-1.9118,13.3561,Tankoalaga
-1.8967,13.3846,Sighin
-1.866,13.3917,Mararougou
-2.3725,13.4259,Filly
-2.3576,13.2571,Rogo
-2.2021,12.9228,Sassa
-2.1534,12.8922,Douré
-2.1054,12.8641,Zongbèga
-1.8975,12.663,Boussé
-1.9644,13.4388,Séguénéga
-2.9209,9.8766,Batié
1.9833,12.7333,Nonbokoli
1.7882,12.0712,Diapaga
0.0067,11.1182,Cinkansé
-4.9167,10.2822,Niangoloko
-2.93,11.7448,Boromo
-3.1137,12.6025,Yé
-1.0816,11.7945,Konnékongo
-3.2542,11.0342,Limina?
-3.4099,13.0326,Unknown
-3.4074,13.1723,Di
-3.4254,12.9973,Unknown
-4.2575,10.6757,Sidéradougou
-4.1847,11.1554,Koro
-3.4264,10.9316,Nicéo
-3.2355,10.5365,Bouroum-Bouroum
-2.919,10.9432,Dissin
-3.1209,10.9388,Djikologo
-3.2054,11.0376,V3 - Samnatenga
