x,y,name
15.1799,5.3251,Abba
15.3109,5.3702,Abbo Bogaki
14.9398,5.478,Abbo Bougrma
14.9331,5.1653,Babaza 1
15.08,5.189,Bondjo-Kombo
15.1667,5.2908,Boun
15.1121,5.3499,Camp-Dolliac
15.2413,5.4035,Gbading
15.0967,5.3762,Gbagaza
14.87,5.174,Gboula
15.1888,5.4315,Gobolo
14.9305,5.1744,Kamana
15.1832,5.5302,Koe
15.0479,5.0938,Kpetene
15.0778,5.3951,Kpetene
14.9566,5.1949,Lago-Gbaninga
15.0372,5.1899,Lamy-Pong
15.0741,5.4001,Marigot
15.3059,5.3783,Mere-Bodetoro
15.2156,5.4012,Merre 2
15.0156,5.2171,Nagbagbo
15.1839,5.4764,Ndiba 2
15.1896,5.4936,Ndiba 4
15.1856,5.4903,Ndiba Haoussa
15.1845,5.495,Ndiba-Mole
15.0055,5.4822,Ndoke
15.4113,5.3107,Ngbafio 1
15.052,5.085,Noubewina
15.243,5.4101,Oui-Maye
14.8649,5.1922,Sagani
15.1898,5.4375,Samare
14.8985,5.5037,Tikiri
14.9322,5.1821,Tongbe-Wina
14.9848,5.4763,Toumba-Nzara
15.2063,5.3782,Yakoe
15.1554,5.251,Zabo-Mambe
15.1433,5.2372,Zabo-Wiya
15.0374,5.4699,Zara-Kombo
15.143,5.3334,Abba-Centre
15.0572,5.4466,Mbartoua Ndenga
15.3066,5.374,Mere Boudoy
15.191,5.4617,Ndiba Mol
21.215,5.042,Alindao
21.1908,5.0648,Gbarandou
21.1986,5.0569,Lagui 2
21.1916,5.0552,Ngouroundjou
20.4061,5.0434,Agoubissi
20.1878,5.2768,Arabe
20.1828,5.2738,Banda Ekao
20.151,5.3376,Banga
20.0816,5.0926,Banga 2
20.1785,5.2719,Bangao
20.1894,5.2715,Bangao 2
20.181,5.2718,Bangao 3
20.1817,5.2771,Bangao 4
20.1389,5.3854,Bangba
20.1844,5.2664,Bangba-Kandjia
20.2313,5.1654,Bolo 1
20.2431,5.1598,Bolo 2
20.1852,5.2211,Bombala 2
20.1853,5.2239,Bombala 3
20.3119,5.1483,Borola 1
20.1623,5.3092,Boroto
20.4267,5.0187,Botcho
20.1932,5.2585,Bouasse
20.1918,5.2431,Bouasse 2
20.1827,5.236,Bouba
20.4146,5.1087,Bouda
20.1841,5.226,Boumbala
20.1971,5.1999,Bounga
20.1498,5.3294,Boungba 1
