x,y,name
-5.0298,7.6906,Bouaké
-6.6415,4.7582,San-Pédro
-4.0212,5.328,Le Plateau
-3.9949,5.3574,Cocody
-4.0758,5.3352,Yopougon
-4.0222,5.3531,Adjamé
-4.8251,5.8956,Tiassalé
-3.8899,6.3841,Akoupé
-5.2733,6.8091,Yamoussoukro
-6.9943,6.2718,Buyo
-7.4868,7.0119,Bangolo
-7.6818,8.2841,Touba
-7.5619,9.5044,Odienné
-5.6249,10.1979,Niellé
-3.2037,7.1279,Agnibilékrou
-6.3704,6.9065,Zépréguhé
-5.0035,5.2443,Grand-Lahou
-5.5827,7.6745,Béoumi
-3.3464,9.8089,Doropo
-3.2798,9.6587,Varalé
-3.1723,9.479,Bouko
-2.7428,7.9895,Soko
-7.2736,8.5433,Morifingso
-7.1877,8.4772,Borotou Koro
-7.5352,8.8314,Niamotou
-7.5405,8.8823,Memouya
-7.4933,8.7347,Borotou
-7.6267,8.4979,Baranzan
-7.6402,8.5871,Dessene
-7.237,8.9754,Dioulatièdougou
-7.1636,8.933,Métro
-7.1258,8.9011,Moyako
-7.0576,8.8646,Sédébian
-7.0008,8.7696,Djibrosso
-6.9356,8.6542,Morityédougou
-6.9361,8.5334,Konogo
-6.9394,8.5123,Gbémazo
-6.9684,8.3741,Yanfisa
-6.9343,8.3205,Masara
-6.9928,8.3927,Kangara
-7.6089,9.7068,Kimbirila-Sud
-7.8367,9.9965,Minignan
-7.3177,9.5432,Tiéme
-7.5532,10.1412,Kabangoue
-7.4837,10.2252,Tienko
-7.2005,10.0176,Goulia
-6.8544,10.0383,Sianhala
-6.7586,10.034,Zaniegue
-6.6989,10.2627,Mahandiana
-6.4084,10.4808,Tengréla
-6.6442,9.9207,Tinakaha
-6.6176,9.9692,Nidieou
-6.6698,10.0137,Muniene
-6.6646,10.0887,Douasso
-6.502,9.9007,Touvre
-6.4105,9.8909,Kouto
-6.4435,9.8346,Gbon
-6.4612,9.7654,Kolia
-6.9418,9.6104,Madinani
-7.1197,9.3564,Séguélon
-7.1033,9.3058,Sanhasso
-6.9051,9.9259,Fengolo
-7.2241,9.6845,N’Goloblasso
-5.1613,9.1327,Ngolodougou
-5.5504,9.0614,Kiémou
-5.3998,8.9781,Longo
-4.945,8.1688,Timbé
-4.9153,8.181,Yékolo
-4.7209,8.3756,Boniérédougou
-4.6056,8.406,Bokala
-5.2911,8.6603,Niakaramandougou
-5.3112,8.5093,Kafiné
-4.6808,8.5383,Kapélé-Sokoura
-4.6463,8.6405,Foumbolo
-4.6625,8.6644,Niangourougbono
-4.6393,8.6137,Sarala
-4.542,8.515,Sougbone
-4.5131,8.4412,Sokala-Sobara
-4.4807,8.468,Mborla-Dioulasso
-4.5075,8.3991,Ngorola
-4.4285,8.3632,Dabakala
-4.3602,8.4428,Darala
-4.4125,8.3248,Kotolo
-4.5135,8.0547,Diaradougou
-4.5028,7.0607,Bocanda
-5.171,7.7882,Diabo
-5.3056,7.8337,Kouadiokro
-5.2945,7.759,Konankro
-5.2694,7.7751,Saoundi
-5.2074,7.7744,Senzékro
-5.2263,7.7858,Gro
-5.2615,7.7354,Behéké
-5.262,7.7009,Languibonou
-5.228,7.7395,Messoukro
-5.3238,7.754,Boukebo
-5.3174,7.8161,Koukouritié
-5.3552,7.845,Abé Aougnassou
-5.548,7.6914,Assenzé
-5.3902,7.7353,Sahué
-5.3997,7.7511,Aounzé
-5.7476,7.8335,Kondrobo
-5.8286,7.8915,Kouata
-5.8364,7.8186,Golipla
-5.8444,7.7708,Botopla
-5.8818,7.7524,Gouéoua
-5.7777,7.7464,Agbao
-6.0023,7.8511,Bambalouma
-5.9351,7.8489,Sokoro
-6.0776,7.814,Kongasso
-6.4371,7.8976,Massala
-6.4957,8.1001,Somana
-6.4167,8.0962,Nandala
-6.47,8.1112,Sandala
-6.0961,7.6699,Bouaka
-6.047,7.5273,Gohitré
-6.0207,7.4756,Diéoulizra Gon'houla
-6.0233,7.4865,Boizra
-5.9738,7.5323,Pahoufla
-6.0072,7.326,Binzra
-6.0206,7.3491,Vaniébotifla
-6.0318,7.3824,Gouatifla
-6.0386,7.3922,Goaboifla
-6.0322,7.3641,Kouréra
-6.1685,7.3832,Ziduho
-6.1599,7.3932,Duafla Ouiézra
-6.1395,7.456,Beziaka
-6.1871,7.4673,Gouétifla
-6.1771,7.4593,Trahonfla
-6.2107,7.4783,Zanzra
-5.9474,7.6228,Vouéboufla
-5.9607,7.5695,Grohoufla
-5.932,7.688,Bangofla
-5.928,7.7106,Zougounéfla
-5.8497,7.6871,Iriéfla
-5.8506,7.6497,Toafla
-5.9201,7.7318,Léasso
-5.8757,7.6065,Goafla
-5.8901,7.5529,Diéigalafla
-5.8828,7.5301,Zaloufle
-6.05,7.428,Zuénoula
-5.9308,7.5165,Grazra
-5.8894,7.5712,Zraluo
-5.88,7.4906,Gohitafla
-5.9138,7.4811,Douizra
-5.7872,7.5391,Bongofla
-5.9253,7.1763,Danangoro
-5.7913,7.1571,Pakouabo
-5.7818,7.1901,Okabo
-6.047,6.9192,Bonon
-6.0109,6.9325,Bablata
-5.9869,6.9384,Dabouzra
-5.969,6.9437,Gobazra
-5.762,6.8555,Blanfla
-5.7284,6.8272,Siétinfla
-5.6055,6.6514,Kononfla
-5.6244,6.6204,Manoufla
-5.6369,6.6434,Koumoudji
-5.6539,6.6383,Flayégranfla
-5.5239,6.5061,Goulikao
-5.6053,6.4388,Louha
-5.5589,6.4261,Doukouya
-6.2437,6.9012,Gonaté
-6.5196,6.6354,Boguédia
-6.2409,7.0734,Luénoufla
-6.3288,7.0068,Bégafla
-6.3417,6.9846,Zéréfla
-6.1845,7.2015,Bandiai
-6.14,7.2109,Béfla
-6.306,7.1569,Bédiala
-6.4741,7.1291,Bonoufla
-6.6421,7.1817,Kétro Bassam
-6.6656,6.9855,Zaïbo
-6.6559,6.9676,Gamonia
-6.5777,6.9151,Zahia
-6.6727,7.1671,Kouléyo
-6.4759,7.3829,Vavoua
-6.6071,7.3957,Néouléfla
-6.6177,7.4035,Daoua
-6.6467,7.4146,Vaafla
-6.7181,7.4393,Séitifla
