x,y,name
10.6868,6.2109,Kumbo
10.5058,6.2484,Oku
10.1517,5.9614,Bamenda
10.7062,6.5784,Nkambe
10.011,5.8879,Bali
10.8972,5.7282,Foumban
10.0766,6.3878,Wum
11.1178,5.7128,Malentouen
13.3935,9.3071,Garoua
8.854,5.8067,Ekok
10.2913,5.1355,Bana
13.7392,4.5932,Mandjou
11.9065,4.4471,Mbandjock
10.5235,5.1396,Bagangté
10.6993,4.9694,Tonga
10.0138,6.0032,Mbengwi
9.7224,4.721,Loum
9.7499,4.7652,Nlohe
9.6691,4.75,Tombel
9.6829,4.6408,Penja
9.7371,4.3398,Bonaléa
13.5704,10.6081,Mogodé
14.1402,10.5365,Gazawa
13.5853,10.5123,Roumsiki
14.1342,11.0484,Mora
13.763,9.5577,Boula-Ibi
13.5641,8.5243,Gouna
13.7357,8.4764,Guidjiba
11.8046,6.7485,Banyo
13.0113,6.6067,Mambal
13.111,6.7477,Béka Goto
13.1741,6.805,Tékel
13.3735,9.6713,Mokoouassi
14.0939,8.2955,Youkout
14.0819,8.2787,Yet
14.0469,8.2389,Taboun
13.315,7.2868,Paksal
13.2736,7.2877,Mangari
13.7201,7.1446,Dibi
14.2045,6.7291,Garga
14.254,6.5909,Gangi
13.7848,6.3667,Bindiba
14.0861,6.5079,Bindiba
13.5505,9.7123,Dembo
13.5104,8.9184,Tongo
15.0567,10.8468,Pouss
15.0246,12.0756,Kousséri
14.6487,11.6831,Zgagué
14.5681,11.4004,Waza
14.2247,12.3768,Fotokol فتكل
15.1097,3.9339,Gari-Gombo
15.022,4.0248,Yola
14.9284,4.0422,Ndélélé
9.8278,2.3785,Campo
10.4112,3.0778,Bipindi
10.4687,5.0628,Bazou
9.8884,2.3795,Biba
12.6781,2.6723,Djoum
12.2068,2.817,Meyomessi
13.5109,10.2517,Bourah
14.5099,10.1789,LaraLara
10.2648,5.2345,Bandoumgia
13.2771,2.6897,Mintom
12.5245,3.9033,Ayos
12.0598,3.891,Mengang
12.6621,7.0101,Doualayel
12.5742,7.1643,Gassaguel
12.4731,7.0995,Galim
9.5607,5.5589,Bakebe
9.2071,4.0103,Limbé
9.317,4.0901,Mutengene
9.2316,4.1568,Buea
9.6182,4.1066,Minkwélé
9.665,4.0822,Bonaberi
10.1266,3.799,Edéa
9.9127,2.9434,Kribi
11.5213,3.869,Yaoundé
11.5347,4.1657,Obala
11.5577,3.9943,Akak
10.8096,4.885,Makenene I
11.2402,4.6901,Goufan II
11.4512,3.9619,Ngoya 1
11.4521,3.9838,Obak
11.4773,3.934,Ngoya II
10.5833,7.0333,Jato
12.8833,9.0667,Karlahi Jauro Adamu
13.5587,10.6122,Oula
12.9238,9.3557,Kocciel
12.45,4.1,Fagada Maidaji
14.5167,12.3,Segel
13.4769,10.2743,Bourrah Ouango
13.4769,10.2743,Bourrah Vango
13.7306,10.9268,Tourou
13.4306,10.1229,Mbabi
11.5,6.0167,Matseri
12.0833,6.4667,Waajimi
14.3167,12.3667,Jokhanna
12.8167,8.8167,Baide
13.5661,10.5649,Moukoulveu
13.5302,10.3948,Moudi
10.5833,7.0333,Gidan Jato
13.1667,9.0167,Jagogi
13.4769,10.2743,Bougha Ouango
13.4769,10.2743,Bourha Ouango
13.5661,10.5649,Moukoulveu
10.5833,7.0667,Gidan Boro
10.5833,7.0667,Boro
14.3167,12.3667,Jokana
13.5587,10.6122,Oula
13.4769,10.2743,Bourha Wango
12.6667,8.65,Librou
12.9021,9.3861,Dasin
11.6667,6.6833,Nver
13.5587,10.6122,Oula
13.5661,10.5649,Moukoulveu
13.4012,10.1157,Girimburum
14.6387,11.9847,Ardo Rumeila
9.0982,4.0316,Batoke Village
13.888,4.5414,Bazzama
15.0316,4.1735,Kentzou
14.0502,4.2716,Nguélébok
14.3645,4.4358,Batouri
14.0509,4.4834,Gadji
9.2109,3.9991,Ladja
9.1681,4.0141,Mokindi chief palace
9.1343,4.0207,Bobende
10.205,5.6787,Babadjou
9.5063,4.1442,Bonakoh
10.803,5.6848,Noun
11.2252,5.9658,Magba
11.2252,5.9657,Magba
10.1628,5.5686,Bangang
10.2012,5.579,Batcham Ville
9.9392,4.9525,Nkongsamba
10.5698,5.1314,Banékané
10.0065,5.0647,Ekom-Nkam
9.7062,4.0429,Douala
9.7058,4.0315,New Bell
11.3846,4.9592,Ngoro
10.6381,5.5109,Foumbot
11.7652,3.4418,Nkolmetet
12.4484,3.4525,Mindimi
12.4281,3.1186,Nlobessé
12.1216,3.3172,Biba
12.5259,3.1752,Mékas
9.741,4.0638,Makepe
9.7152,4.0638,Deido
14.1719,10.1964,Moutourwa
14.2358,10.3437,Moussourtouk
14.3281,10.6032,Maroua
13.96,9.7605,Figuil
14.1703,11.232,Limani
14.1113,11.0871,Kourgui
11.3367,2.2851,Ngoazik
11.447,2.2943,Abang Minko'o
11.4408,2.3088,Ntemsi
11.4222,3.0811,Ngoulémakong
11.4003,2.9392,Mengong
11.1517,2.9194,Ebolowa
10.0533,5.447,Dschang
10.1625,5.7962,Santa
9.5892,5.5454,Tinto
9.4077,4.2862,Muyuka
9.4409,4.6378,Kumba
9.4228,5.3311,Nguti
9.985,5.5109,Fongo-Tongo
13.8274,4.5656,Gamboula
9.8892,5.8375,Batibo
8.984,5.7682,Eyumodjock
9.3021,5.7108,Besongabang
12.3195,6.5546,Yaro
12.4783,6.5104,Djoa
12.2459,6.5927,Bingari
10.7939,6.4249,Ndu
10.5493,6.5856,Misaje
14.5471,5.8948,Garoua-Boulaï
15.347,7.7689,Touboro
14.6099,10.7351,Bogo
13.5391,6.3285,Dir
14.2183,6.4193,Meidougou
11.9756,2.9362,Sangmélima
10.8078,3.7327,Bokso
11.6661,3.8545,Nkolafamba
10.4362,5.9892,Ndop
11.3815,4.0241,Okola
13.6611,9.4811,Djaouro (Chefferie) de Lagam Bainere
13.6788,9.4913,Djaouro (Chefferie)Mbor de Badjengo
13.7327,9.4808,Lawane Mboulouwol
13.6451,9.4223,Djaouro (Chefferie) de Wouro Bocki
13.6557,9.4108,Djaouro (Chefferie) de Foudji
13.6452,9.4132,Djaouro (Chefferie) de Woulo tardo
13.6957,9.4071,Djaouro (Chefferie) de Wouro Walewol Bouski
13.6121,9.4061,Djaouro (Chefferie) de Mayo Habaye
13.7043,9.3918,Chefferie de Babaye
13.5992,9.3348,lawanat de Langui
13.6082,9.5699,Sokanga
13.5992,9.3348,Chefferie deLangui
13.5775,9.3299,Cheferie de Bouli Mal Alim
13.5103,9.4926,Chefferie de Ram II
13.5067,9.46,Chefferie de Banaye
13.5741,9.3486,Cheferie de Bouli Mango
13.4409,9.3803,Cheferie de Sonayo
13.4566,9.3792,Cheferie de Mberi
13.62,9.5805,Chefferie de Pene
13.5121,9.5611,Kefero
13.5391,9.4728,Chefferie de Kirimbo
13.5562,9.3536,Chefferie de Lawane Gnobi
13.5218,9.3814,Chefferie deDoumde Godouji
13.5898,9.4009,Chefferie de Guidjaro
13.5047,9.3928,Chefferie de Guizigare
13.5254,9.3807,Chefferie de Zac
13.5121,9.3942,Chefferie de Winde Liroma
13.5101,9.4044,Chefferie de Dollere I
13.658,9.21,Chefferie de Douloumie
13.5001,9.3852,Chefferie de Moundang
13.5015,9.389,Chefferie de Ouro Kessoum
13.4987,9.3964,Chefferie de Djantari
13.4992,9.3834,Chefferie de Bounguel
13.5041,9.3915,Chefferie de Bainaware
13.5034,9.3957,Chefferie de Gadamayo
13.5225,9.3946,Chefferie de Tokombere
13.4961,9.3951,Chefferie de Ribadou
13.5185,9.3927,Chefferie de Wafango
13.5063,9.3868,Chefferie de Sara
13.5081,9.3885,Chefferie de Pitoa Centre
10.3935,5.9838,Sub Palace Akeh
10.3684,5.3346,Baham
10.3371,5.2888,Bapa
10.3474,5.2553,Badenkop
10.3467,6.1756,Belo
11.587,3.8642,Nkoabang
11.5888,3.8317,Chefferie Lada 1
11.6427,3.7159,Mfou
11.4526,3.9692,Nkong
11.475,3.9168,Nkol Ngon
11.5068,4.0263,Esesang
9.7666,5.0845,Bangem
11.4277,4.4385,Polo
9.5657,4.4991,Mbanga
9.6529,4.5867,Njombé
11.2608,4.9379,Deuk
10.7143,3.9212,Peslipan
10.2573,6.0043,Bambili
10.4216,5.4758,Bafoussam
12.2366,7.9737,Kontcha
10.3587,5.8924,Balikumbat
11.3381,3.5835,Nkoakom
10.638,6.0845,Jakiri
15.6279,2.0397,Carrefour 14
15.6269,2.04,Zega
14.8357,10.1824,Touloum
13.8512,10.3688,Hina
14.1674,8.4034,Tcholliré
13.2409,8.4761,Poli
14.4426,10.4014,Mindif
11.5931,3.9782,Soa
9.7083,6.515,Makumo
10.5843,6.3914,Nkor
14.971,10.1185,Doukoula
15.1083,10.0122,Datchéka
11.3572,3.5952,Nkolngok III
11.332,3.649,Obokoué II
11.3401,3.6549,Obokoué I
11.3143,3.4696,Mfida I
11.3282,3.5015,Akono
11.4003,2.9332,Néméyong
11.0278,3.548,Makak
11.4685,3.3978,Ebogo
11.534,3.3909,Abang
11.2638,3.8387,Méfomo
10.9716,3.288,Mvengue
11.0522,3.2885,Ebom
11.3965,3.2437,Menguémé
13.5097,9.0243,Ngong
13.7987,10.741,Mokolo
11.8848,4.0966,Esse
11.5547,6.5016,Mayo Darlé
9.823,4.8475,Manjo
9.6419,3.6658,Yoyo
10.0181,3.7466,Dizangué
11.2143,4.5808,Guéboba
12.6529,7.3732,Tignère
13.0497,6.8911,Martap
9.976,5.2815,Santchou
12.3299,7.6628,Mayo-Baléo
14.7073,10.1349,Guidiguis
14.8335,10.8882,Guirvidig
14.9527,10.8416,Maga
13.2693,6.4683,Ngaoundal
14.8546,10.4082,Moulvoudaye
13.3732,9.6717,Baschéo
13.3648,9.4323,Gaschiga
14.4974,10.972,Pétté
11.6543,4.2867,Batchenga
9.9492,5.1216,Melong
13.3781,5.2034,Goyoum
12.2449,3.7734,Akonolinga
13.4059,3.5657,Mindourou I
14.0348,3.2689,Zoulabot I
13.8636,3.1931,Kongo
13.9007,2.9002,Zoulabot II
11.6335,4.3657,Nachtigal
10.3701,4.0736,Ngonga
