x,y,name
17.9333,-3.9,Mpene
26.6833,3.7667,Bendele
26.8,3.7833,Mondima
26.7333,3.8167,Konzo-Bautse
26.6667,3.8333,Mogili
26.7833,3.7833,Memele
26.7333,3.8,Mando
26.6333,3.6167,Bando
26.5167,3.4167,Bula
26.5167,3.35,Kiangai
26.5833,3.65,Bakume
26.5333,3.2833,Efu
26.5333,3.3833,Bandazua
26.6167,3.4,Basilia
22.3833,3.05,Bigi
22.3,3.7333,Bangetelita
22.1667,3.6667,Bakongo
22.1667,3.7,Abumombazi
22.3333,3.1667,Bogbo
22.2333,3.2333,Bodalangi
21.9833,3.7,Bolango
22.0333,3.75,Monzanga
22.1833,3.4,Bokonzi
22.2833,3.1833,Mondunga
22.3,3.0167,Mondumba
22.15,3.5833,Mondanga
21.9333,3.7,Bwatu
22.1833,3.4167,Butu
22.1667,3.5167,Iba
22.1,3.75,Gweni
22.35,3.05,Kande
22.45,3.4667,Kole
22.4167,3.6833,Lenge
22.6333,3.5833,Likwangula
22.2,3.7333,Mbondo
22.5667,3.65,Mbomo
22.3667,3.7167,Ngusu
22.0167,3.5833,Ngboko
22.1833,3.4333,Pumbi
22.5,3.65,Tonzale
22.5333,3.6833,Todia
22.45,3.65,Tobinga
22.2,3.3167,Vambena
21.9667,3.5833,Wowo I
21.7333,3.7333,Yengazewe
23.7167,3.35,Biala
23.6833,3.3167,Banga
23.5833,3.2833,Dendu
23.45,3.2833,Dukpa
23.65,3.3667,Gumba
23.75,3.35,Longwe
23.4667,3.2833,Mangole
23.45,3.35,Moleli
23.6833,3.4333,Ndeke
23.55,3.2833,Nambwa
23.4,3.3,Takpa
23.6667,3.4,Tombala
24.25,3.4667,Bia
23.9833,3.35,Binangi
23.9167,3.4167,Akangai
24.35,2.8667,Lara
23.9333,3.3833,Gambate
24.2667,3.45,Difongo
24.6,3.4333,Mongbali
24.1333,3.0833,Benge
23.8833,3.55,Bingia
24.6833,3.3667,Dobe
24.0333,3.5167,Debi
23.4,3.45,Dangako
24.3333,2.9,Bweke
24.1333,2.95,Dulia
24.4333,2.9833,Gere
24.0333,3.4333,Gambavuru
24.4667,2.8833,Hoi-Yagumba
24.0333,3.5,Gotokwali
24.45,2.8667,Gombo
23.9833,3.4,Gitikwa
23.7667,3.5333,Ginikila
24.1167,3.45,Gilinga
24.15,2.9667,Kasai
24.0167,3.5667,Kisikomba-Moto
24.4667,3.5167,Ladu
24.5833,3.4333,Kumboko
23.65,3.4667,Kulu
24.0833,3.2333,Kpekulu
23.8,3.4333,Libogo
23.8833,3.5333,Libazu
24.0833,3.3,Mbasi
23.6,3.4667,Mbasa
24.6333,3.4,Manzilo
24.1,3.4333,Mbo
23.6333,3.4667,Nongba
23.9,3.4667,Ngbandia
24.1667,2.95,Nganzi
24.5,2.85,Paigba
24.45,3.0333,Obasini
23.7333,3.5167,Nzongia
24.1,3.2833,Nziro
