x,y,name
-77.6833,0.8312,Las Juntas
-78.5678,1.2325,Piedra Sellada
-78.6607,1.3168,Matajillo
-77.6833,0.8333,San Francisco
-74.5951,5.0675,Guaduas
-74.4702,5.0113,Villeta
-73.8,5.1033,Suesca
-75.1711,4.8746,Murillo
-74.6634,5.4544,La Dorada
-74.738,5.3428,Guarinocito
-74.7362,5.2104,Honda
-75.5271,10.4196,Cartagena
-73.1312,6.5553,San Gil
-73.2387,6.5,Berlín
-75.243,4.4447,Ibagué
-74.931,4.7188,Venadillo
-74.9334,4.8028,La Sierra
-74.9078,4.8632,Lérida
-74.9075,4.9551,Armero
-74.8865,5.0313,Armero Guayabal
-75.516,2.6629,Yaguará
-76.5325,3.4518,Santiago de Cali
-73.0806,6.8857,Mirador Salto del Duende
-73.0187,6.6946,Aratoca
-73.8147,5.4514,Susa
-74.3541,4.8097,Facatativá
-73.9232,4.5288,Choachí
-75.3282,5.0501,Letras
-75.2362,5.0987,Delgaditas
-74.5502,4.2621,Boquerón
-74.4357,4.3074,Chinauta
-74.3803,4.7606,Zipacón
-75.5842,9.5241,Santiago de Tolú
-75.4393,9.4535,Toluviejo
-75.4751,9.671,Chicho
-75.5234,9.7386,San Onofre
-75.3541,9.911,Playón
-75.2594,10.0442,San Pablo
-75.3427,10.2535,Arjona
-75.5173,5.0681,Manizales
-75.2294,9.5267,Ovejas
-75.3927,9.2973,Sincelejo
-73.1689,7.0732,Girón
-74.9517,5.1239,Falan
-75.0234,5.1205,Palocabildo
-74.7294,5.2084,Puerto Bogotá
-75.017,3.9317,Saldaña
-75.1431,3.4654,Pueblo Nuevo
-75.1701,3.388,Potosí
-74.9661,4.9535,Padilla
-75.6724,4.5363,Armenia
-75.4268,4.442,Cajamarca
-74.2056,11.2422,Santa Marta
-73.3079,11.2717,Dibulla
-76.6063,2.442,Popayán
-76.302,3.9001,Buga
-74.5883,5.9756,Puerto Boyacá
-73.8526,7.0673,Barrancabermeja
-74.4243,9.2395,Santa Cruz de Mompós
-77.2783,1.2146,Pasto
-74.5655,9.3032,Talaiga Nuevo
-74.1877,10.5906,Aracataca
-75.6778,2.1679,La Jagua
-72.3937,5.3357,Yopal
-70.757,7.0825,Arauca
-74.6703,4.3739,Agua de Dios
-69.9384,-4.2067,Leticia
-75.814,9.2395,Lorica
-76.7285,8.0951,Turbo
-76.6767,7.6662,Chigorodó
-74.2607,4.852,El Rosal
-74.2304,4.7051,Mosquera
-76.0644,2.55,Inzá
-75.9714,2.6448,Belalcázar
-67.4895,6.188,Puerto Carreño
-75.4447,4.3968,Anaime
-76.5408,3.2618,Jamundí
-74.2197,4.5821,Soacha
-73.0858,7.0625,Floridablanca
-76.875,0.6687,Orito
-72.4469,11.7771,Manaure
-73.0149,10.5611,Urumita
-75.273,10.4444,Villanueva
-77.2827,1.3591,Chachagüí
-76.6266,5.4383,Paimadó
-77.2711,5.7074,Nuquí
-77.4034,6.2246,Bahía Solano
-74.7807,-0.1927,Puerto Leguízamo
-75.5679,5.8744,Santa Bárbara
-75.5026,6.0573,El Retiro
-74.3775,5.0698,Nocaima
-74.4815,5.1879,Útica
-74.3941,5.1977,La Peña
-74.2894,5.2482,El Peñón
-74.4915,5.3461,Caparrapí
-74.3905,5.3606,La Palma
-74.4331,4.9646,Sasaima
-72.5508,5.1708,Aguazul
-75.7031,5.421,Riosucio
-75.9625,5.0732,Santuario
-75.8735,5.0619,Viterbo
-75.8827,5.296,Mistrató
-75.7994,5.3158,Guática
-75.7857,5.2338,Anserma
-75.7018,5.1105,Arauca
-75.5988,5.4746,Marmato
-75.652,5.4533,Supía
-76.2732,3.6072,Amaime
-75.6695,7.89,Puerto Libertador
-75.5345,7.7858,San José de Uré
-75.621,8.8747,Ciénaga de Oro
-75.2365,4.8969,El Reposo
-73.933,4.8222,Salitre
-73.6479,4.8184,Vereda Diamante
-76.3474,3.409,Candelaria
-76.2652,4.0582,San Carlos
-73.947,4.404,Cáqueza
-72.838,10.8862,Fonseca
-73.0051,10.7681,San Juan del Cesar
-72.9781,10.6047,Villanueva
-74.1908,11.2682,Taganga
-74.3934,4.6002,Pradilla
-74.4737,4.5429,El Triunfo
-74.6199,4.3059,Nilo
-74.8308,6.4964,San Jose del Nus
-75.0959,4.1316,San Luis
-76.7393,2.2621,Rosas
-72.7586,2.6236,Puerto Concordia
-72.808,2.834,El Pororio
-72.4717,7.8319,Villa del Rosario
-75.2947,9.3192,Corozal
-75.0988,4.7145,Santa Isabel
-75.3802,6.13,San Antonio de Pereira
-75.5736,6.2443,Medellín
-74.782,9.7904,Plato
-74.4298,4.6705,La Helena
-74.4327,4.6979,La Esperanza
-74.4252,4.7064,El Ocaso
-74.4277,4.7191,La Capilla
-71.9942,5.7273,Pore
-71.9546,6.2408,Vereda el Pesebre
-71.7744,6.7928,Fortul
-74.7559,10.7896,Sabanagrande
-74.717,10.702,Remolino
-71.7686,6.1535,Hato Corozal
-71.4278,7.0296,Arauquita
-74.0439,3.384,Mesetas
-77.1168,7.5459,Quibdocito
-77.0698,7.4934,La Larga
-77.0933,7.4754,Petesito
-75.8381,6.5747,Filadelfia
-73.9102,3.4756,Cacayal
-73.7497,3.126,Vistahermosa
-73.6947,4.0778,La Nora
-73.8581,3.7717,Brisas del Ariari
-73.8127,3.7292,San Isidro del Ariari
-73.8044,3.7018,Vereda San Jose
-73.798,3.6743,Pueblo Sanchez
-73.7943,3.5648,El Castillo
-72.9795,5.6122,Iza
-76.6224,5.4329,La Toma
-76.6086,5.3719,Cértegui
-76.624,5.3459,Salero
-76.6667,5.3457,Huapandó
-76.7149,5.3949,Puerto Nuevo
-76.7397,5.4178,Puerto Juan
-76.7694,5.4452,Taridó
-76.774,5.4512,Tuadó
-76.8706,5.5094,La Victoria
-76.9137,5.5704,La Punta
-76.9233,5.5477,Sanami
-76.9426,5.5175,Cabecera
-76.9733,5.5161,Pie de Pato
