x,y,name
39.4651,15.6043,ምጽዋ مصوع Massawa
38.8133,14.8841,مندفرا መንደፈራ Mendefera
39.1495,15.5249,Gahtelay قهتيلي
36.6603,15.1095,تسني Teseney
36.6527,14.3228,أم هاجر Umm Hajar
39.0907,15.4453,Ghinda جندع
37.5903,15.1113,بارنتو ባረንቱ Barentu
36.7223,14.7408,Golij غلج
38.4536,15.7805,ከረን كرن Keren
37.8863,15.55,ኣቆርዳት أغوردات Agordat
38.8007,15.3513,تسازيغا Tsazega
38.7785,15.5674,عدي تيكلزان Adi Tekelezan
37.8356,14.9183,شامبيكو Shambiko
39.6304,15.2479,فورو Foro
39.4244,14.7018,صنعفي ሰንዓፈ Senafe
39.3914,14.5466,أد رفي Ad Refai
36.5123,15.1276,علي غدير Aligider
38.8336,14.6338,عدي كوالا Adi Kwala
38.565,14.9258,عرزا Areza
39.3725,14.8476,عدي قيح ዓዲ ቀይሕ Adi Keyh
41.6905,13.9308,إد Iddi
42.7445,13.0091,Assab عصب
40.9594,14.6885,Tiyo طيعوا
42.3348,13.2639,بيلول Beilul
38.8495,15.3316,Tzada Christian تزادا النصرانية
39.2088,15.4736,دامس Damas
39.076,15.3988,Embatkalla إمباتكالا
39.2269,14.989,دكسا Digsa
39.1891,15.0531,سخناتي Segeneiti
38.4768,16.6656,ناكفا ናቕፋ Nakfa
38.5486,17.3826,الجين Algena
43.0834,12.7286,Rahayta راهيتا
40.3049,14.8984,مرسا فاطمة Mersa Fatma
38.4623,14.8981,May Dima
37.8046,14.7261,Badme بادمة
37.5723,14.6534,Unknown Town / مدينة غير معروف
37.4717,14.7847,توكمبي Tocombia
37.7873,14.8746,قرية مجهول Unknown Village
37.6518,15.0186,Cona
39.197,14.6246,تسيرونا Tserona
38.9265,15.4246,Beleza بيليزا
38.8963,15.4322,إمبا درهو Emba Derho
39.2217,14.813,قوأتيت Qua'atit
38.7363,15.2553,همبيرتي Himberti
38.3007,15.7282,/ حبعتيا / Habotaia
38.3592,15.8178,انجيناق / Enginaq
38.8485,14.5721,بيت انسيان Bet Ansian
38.6284,15.7087,علابرعد‎‎ Elabered
39.0637,15.3335,Nefasit نفاسيت ነፋሲት
38.7829,15.14,Adi Baro
38.778,15.1359,Adi Guari
38.6891,16.1889,ኣፍዓበት أفعبت Af'Abet
38.8474,14.6712,Adi Akalo
38.8455,14.7011,Adi Behiro
37.4302,16.07,قرية Village
37.3543,15.9057,قرية Village
37.9163,14.9515,جورنا Jurna
39.6706,15.2457,زولا Zula
39.6224,15.263,فورو Foro
39.0482,15.0683,دقمحري Dekemhare
37.0811,15.1844,هاكوتا Haykota
39.316,15.8219,Wekiro وكئرو
39.4518,15.538,حرقيقو Hirghigo
39.5124,15.5162,Nauret نورت
39.7528,15.4623,Village قرية
39.9514,15.7595,Jimhil جيمهيل
39.6552,15.2748,أفت Afta
38.8341,15.09,دباروا Debarwa
38.8286,15.0108,Teramni
38.0262,15.5415,Aderde
38.2714,15.7032,حقاز Hagaz
38.548,15.7445,هاليب مينتل Halib Mentel
38.6912,15.4924,Adi Naamen
39.0524,15.7669,Village
39.0975,15.0632,Afelba
39.1487,15.0376,Ma'ereba
39.1255,15.0399,ደግራ መሬቶ
39.1155,15.015,Adi Baekel
39.1127,14.9868,قرية
38.7,16.4341,Village قرية
38.7542,15.833,خلب Gheleb
38.2823,15.9393,حلحل Halhal
38.2189,16.0195,Melebso
38.0485,16.2494,Asmat
37.6468,15.3147,ددا Dedda
37.6024,15.2553,ككدا Chechedda
37.5989,15.2626,أردا Aredda
36.9788,15.6049,قرية Village
37.7574,14.9664,بيبن Bibinna
37.4861,14.9213,Dase
37.2997,14.7847,أوكارو Augaro
37.2146,14.9303,قرية Village
38.7293,15.5176,Abrascico أبرشيكو
37.7203,15.5196,الغدن Algheden
40.7351,14.7867,هورين Horena
40.6848,14.8846,Mora مورا
38.9831,15.35,هينزي
38.4623,15.7555,Jufa جوفا
38.7991,15.2544,Ghelam Nefhi غلام نفهي
38.8984,15.264,Adi Guadat عدي قادات
38.9014,15.25,Adi Q عدي قادات
39.0067,15.153,ወቐርቲ وكرتي
38.9842,15.1302,Adi Samar عدي سامار
39.1207,15.4487,Dongollo دونقولو
38.9032,15.5017,مك إركا
38.9625,15.2826,Tsolot تسولت
39.5294,15.5025,غدن
39.5881,15.5176,هابرنتا
39.3211,15.6041,جوندت Dogali
38.9587,15.6112,Fil Fil
39.2344,15.5673,Mai Atal
38.6108,15.6697,Addisc Addi
38.7014,15.6705,Hayelo
38.669,15.7436,Rapto
38.7521,15.7491,Curoh
39.0387,15.1813,Gadien غادين
39.9911,16.017,Hamlet
39.994,16.0045,Hamlet
40.0321,16.0539,Hamlet
38.9327,15.339,ኣስመራ أسمرة
39.032,15.2534,Embela إمبلا
39.0638,15.3116,ለዓይተን لائتن
39.3709,14.8801,ሕሽመለ
39.3368,14.8468,ጸባሪት
39.3951,14.8665,መሳሊሕ
39.3925,14.8812,ዕንጉለ
39.4172,14.8681,ቆሓይቶ
39.3863,14.8183,ተኾንዳዕ
39.3705,14.8176,ማእለውያ
39.3476,14.8465,እንበይቶ
39.3471,14.8717,ዓዲ ወገራ
39.3581,14.8509,ዝባን ዝግብ
39.3896,14.8626,ሕጸይቶ
39.3901,14.87,ሕንብርተን
39.383,14.8793,ዓሳኽሬ
39.3746,14.8704,እንዳ ላብሀ
39.4186,14.6877,መጠራ
39.414,14.729,ከስከሰ
39.3773,14.7653,ግራማተን
39.4272,14.7869,ኢጊላ
39.393,14.8052,ምናሕ
39.056,15.0761,መጻሉ
38.9832,15.0586,ዓራቶ
38.9635,15.054,ኮርባያ
38.9952,15.0862,ኣውሊዕ ጾሩ
39.018,15.1129,ደቂ ናዞ
38.993,15.2198,ዝግብ زيغيب
38.9705,15.2421,ዓዲ ሓውሻ عدي هاويشا
39.0657,14.7689,ሓድሽ ዓዲ
