x,y,name
38.755,9.0165,Addis Ababa
38.8667,9.05,Lege Tafo
38.8837,14.1931,Adi Abun
38.8882,14.1485,Adwa
39.5244,12.9161,Ambalage
38.1932,13.9786,Inda Baguna
39.7324,13.8615,Atsbi Inda Silase
39.5662,13.5689,May Mekdan
39.2593,14.3027,Bizet
39.5953,13.8996,Senkata
38.174,14.3109,Adi Da-iro
38.7188,14.1113,Axum
38.7989,13.8317,Mahbere Tsige
39.5761,14.1012,Inda Tekle Haymanot
39.006,13.0233,Aberqele
38.9939,13.2829,Yechilay
36.9657,13.4658,Densha
37.1333,13.3833,Dekaba
38.127,13.5475,May Tsamri
37.3201,13.736,Adi Remets
39.0719,14.0253,Idaga Arbi
42.5675,10.7379,Ayisha
41.1623,9.9692,Asbuli 1
41.3575,9.84,Aydora
42.2147,10.4115,Adigala
42.7592,9.8769,Denbel
42.5237,10.0558,Biye Anod
40.8269,9.7641,Alijiir
42.8948,9.4864,Lefe Isa
42.7886,9.3449,Jijiga
42.1333,9.3,Harer
43.4498,8.6807,Obele
43.7668,7.631,Birkot
43.0155,7.9915,Degeh Medo
44.0268,7.2921,Benado
44.1759,7.123,Geledid
44.2771,6.7305,Kebri Dehar
42.1112,5.8256,Kere 1
44.3832,6.1792,Debe Weyin
41.852,5.4262,Chereti
42.3356,5.1412,Afker
42.1335,4.8092,Lema Shilnich
42.6446,6.7816,Gudis
33.1833,8.2667,Koye 3
33.8667,8.2667,Teylut
33.799,8.3699,Jikawo
34.8473,8.1797,Bonga 1
34.5833,8.25,Gambela
34.4667,8.1667,Poko
34.45,7.8667,Abobo
34.85,7.75,Giara
35.05,7.3333,Dodi 12
35.1167,7.2333,Peso
35.3677,7.32,Tepi 1
35.3167,7.25,Gecha 1
35.5495,11.2749,Mankush
35.7167,11.7667,Abu Mendi
35.0333,11.2667,Bambadi
35.25,11.2667,Guba
35.4333,11.45,Zela
36.2167,11.2833,Mambuk
36.25,11.2,Pawe
36.4165,11.0944,Mandura
36.2623,10.768,Dibate
36.1583,10.669,Zigin
36.1354,10.4363,Galesa
36.1271,10.28,Korka
36.0803,10.5859,Bulen
36.1,10.6667,Debre Zeyit Gojjam
35.6588,10.6261,Debre Zeyit 2
35.2194,10.0222,Daleti 1
34.7833,10.7,Gizen
34.9333,10.5833,Hor Kelifa
34.7333,10.2333,Menge
34.6361,10.3126,Komosh
34.3178,10.5527,Kurmuk
34.7,9.7167,Bambesi
36.9522,11.3553,Durbete
36.9167,11.35,Dur Bete
39.55,10.7833,Albuko
39.6333,10.95,Gelemo Ager
36.9296,12.0188,Amistiya
36.9981,11.9676,Dinqil Ber
37,11.95,Dengel Ber
36.6333,12.0333,Kidane Mihiret N Gonder
39.5667,11.45,Alet
39.3667,11.4833,Amba Not
39.5833,11.3667,Mariye
39.3333,11.5833,Segora
39.6,11.5,Wichale
37.8667,10.1167,Yemistina
39.45,9.55,Chacha
39.5167,9.5167,Indod
39.5167,9.4333,Segele
39.6,9.5833,Nebu
39.4667,9.35,Ombol
36.8927,10.8513,Gimja Bet
36.7667,10.6667,Azena
39.7667,9.4333,Alem Gebeya
39.7833,9.55,Aliyu Amba
39.7167,9.5833,Ankober
39.6833,9.4833,Gur
39.8,9.7333,Key Gedel
39.85,10.4667,Majete
39.7167,10.6333,Hamus Gebeya 03
39.5912,9.4076,Asagirt
39.6167,9.4167,Adebabay
39.5333,9.3,Ginager
38.0167,10.0333,Dima 03
37.9167,10.2333,Lumame
38.0333,10.2333,Wegel
37.2667,11.4833,Meshenti
37.5833,11.4833,Tis Abay
37.3,11.55,Yinesa
37.3,11.7,Zege
36.6842,11.0007,Kidamaja
36.9217,10.9794,Injbara
36.9329,10.9537,Koso Ber
36.9668,10.8939,Kesa
37.7889,9.976,Bete Nigus
37.6667,10.0833,Den
37.7833,9.9333,Tibe Goref
37.7667,10.0833,Yeduga
37.7333,10.1667,Yejube
37.8,9.9833,Yeweynit
40.0167,11.2,Bati
40.0333,11.2,Inkese
39.7061,9.206,Meteh Bila
39.6333,9.2,Ama
39.8,9.2833,Bichenkeny
39.6833,9.25,Sidisto
39.7333,9.1833,Sirtu Ager
38.4349,13.1077,Dilibza
38.5,13.2167,Dil Yibza
37.7438,10.8506,Digo Tsiyon
37.75,10.8667,Meskele Kiristos
37.75,10.9667,Tsige Tsiyon
37.6833,10.6667,Telezam
38.8333,12.15,Ayna
37.0657,10.7109,Bure
37.0417,10.4023,Kuch
37,10.5,Galibe
37.1167,10.7667,Masha Kuta
37.05,10.6,Zalma
39.7543,10.722,Mekoy
39.8333,10.7167,Kemise
39.8167,10.7833,Milamile
39.8,10.8333,Weledi
37.0329,12.3955,Chandiba
37.0667,12.5333,Aykel
36.85,12.7,Cherba
36.9167,12.8,Felfel 1
36.9333,12.55,Seraba
37.0833,12.7833,Zufan
37.7333,12.9667,Dabat
37.4833,13.1167,Hagerit
37.6,13.0333,Kenta
37.8,13.0667,Wekin
36.8,11.2,Dangla
38.85,11.45,Shola
38.1123,13.2699,Gich
37.8828,13.2308,Dib Bahir
38.0344,13.2221,Sankaber
37.8905,13.1479,Debark 1
38.0833,13.2,Belesa
37.7833,13.15,Bosa
38.0565,10.3955,Webrje
38.0167,10.45,Angacha 03
38.0167,10.5167,Kuyi
37.45,10.3,Eliyas
38.8344,10.7521,Genet 1
38.5858,10.6493,Amba
38.7,10.7333,Kobo 1
38.75,10.75,Mekane Selam
38.5667,10.65,Werke Amba
38.6,10.7,Wobo
37.6489,10.7663,Tame
37.5833,10.8667,Feres Bet
38.8333,12.4667,Amde Werk
38.65,12.4,Golgola
38.7833,12.3167,Korambe
38.2099,10.2442,Yekoza
38.1333,10.1667,Dejen
38.2167,10.2,Kok Wiha
38.1,10.3333,Mehal Amba
38.1833,10.3,Zebich
39.1333,11.5833,Firida Mareja
39.3667,11.6833,Lomi Wiha
39.0833,11.4833,Shekol
39.2167,11.6,Wegel Tena
