x,y,name
-72.3396,18.5473,Port-au-Prince
-72.6884,19.4461,Les Gonaïves
-72.4182,18.7343,Cabaret
-72.5118,18.7702,Arcahaie
-72.3754,18.7216,Aubry
-72.2008,19.7595,Cap-Haïtien
-72.8308,19.94,Port-de-Paix
-73.3774,19.8078,Môle Saint-Nicolas
-72.7461,20.0224,Cerca
-72.7593,20.0133,Pointe aux Oiseaux
-72.7572,20.026,Herbes Rasoirs
-72.7649,20.0278,Fond Geriose
-72.2809,18.3396,Ca Jacques
-72.3217,18.9148,La Corne
-72.5375,18.2353,Jacmel
-72.286,18.5132,Pétionville
-72.6995,19.102,Saint-Marc
-72.3356,18.5783,Cité Soleil
-72.2296,18.5775,Croix-des-Bouquets
-72.292,18.5518,Delmas
-72.2846,18.5958,Croix des Missions
-72.646,19.2955,Desdunes
-72.6568,19.281,Duclos
-72.7079,19.251,Rossignol
-72.728,19.2531,Robinet
-72.8654,18.4327,Petit-Goâve
-72.3283,18.5964,Ménélas
-72.2961,18.5992,Damiens
-72.3245,18.6155,Jameau
-72.3283,18.6174,Moleya
-72.3048,18.6009,Mouline
-72.3072,18.6047,Larousse
-72.2892,18.6252,Moler
-72.2869,18.6296,Morpeau
-72.2709,18.6257,Bon Repos
-72.3067,18.6178,Sibert
-72.2824,18.6056,Marin
-72.2654,18.6027,Santo
-72.2504,18.609,Seguy
-72.2551,18.6207,Vivier
-72.2589,18.6245,Tilot
-72.2662,18.6325,Chapini
-72.2186,18.5946,Savane Blonde
-72.2217,18.6044,Beudet
-72.2344,18.6118,Cesselès
-72.2292,18.6257,Dessources
-72.216,18.6133,Mayer
-72.2107,18.6143,Lahoux
-72.2163,18.627,Daspinosse
-72.1928,18.5901,Bellanium
-72.266,18.644,Usine Nadal
-72.26,18.646,Lathar
-72.2613,18.6473,Hatte
-72.2317,18.5401,Galette
-72.0088,19.1446,Hinche
-72.6551,18.3662,Trouin
-72.7109,18.306,Baudin
-72.6019,18.3885,La Vache
-72.3157,18.4839,Pla Boule
-72.2938,18.4672,Fermathe
-72.3642,18.287,Masure
-72.3354,18.3003,Fond Bourgeois
-72.2942,18.3123,Bas Chauto
-72.8483,18.4392,La Hatte
-72.6767,19.4568,Les Dattes
-72.6675,19.4507,Bigot
-72.675,19.4588,Detour Labonge
-72.4767,18.5441,Grand Saline
-72.4441,18.5274,Morne Boyer
-72.4557,18.5423,Mer Mapoe
-72.3877,18.4463,Chauffard
-72.4108,18.4425,Laval
-72.4911,18.4513,Dimale
-72.4693,18.4955,Maillette
-72.4879,18.4912,La Source
-72.4599,18.4666,Henry
-72.4485,18.4849,Bellevue
-72.447,18.4922,Berot
-72.4957,18.5091,Berauli
-72.4581,18.5052,Treförend
-72.4563,18.5182,Degand
-72.4912,18.3672,Ti Rivière
-72.4453,18.3687,Fond Cuivre
-72.489,18.4173,Campant
-72.457,18.4072,Gougeon
-72.4669,18.261,Mahothiere
-72.4596,18.2902,Macombe
-72.4847,18.3418,Brulaille
-72.4756,18.3329,Bas la Voute
-72.4945,18.2325,Bois Bayard
-72.4773,18.2294,Catadat
-72.4543,18.227,Chérubia
-72.4347,18.229,Carrefour Raymond
-72.3965,18.2313,Cayes Jacmel
-72.4079,18.2489,Corail
-72.3945,18.2416,L'Acrobate
-72.2507,18.562,Tabarre
-72.8647,18.8345,Anse-à-Galets
-72.1647,18.5528,Peyrard
-72.2398,18.4821,Chapotin
-72.2866,18.4495,Kenscoff
-72.3699,18.2722,Anne
-72.2851,18.2423,Zeb Fine
-72.2139,18.2401,Terre Rouge
-72.2056,18.2605,Nan Noel
-72.37,18.3142,Terry
-72.2238,18.3234,Grande Ravine
-72.2722,18.4381,Obléon
-72.2755,18.4463,Corail
-72.303,18.4186,Furcy
-72.2395,18.3159,Seguin
-72.2992,18.2951,Macary
-72.3047,18.2321,Ti Feuille
-72.3047,18.2478,Pérédo
-72.3235,18.2312,Marigot
-72.4423,18.2606,Michel
-72.719,19.0926,Frécineau
-72.6938,19.0971,Pont Tambou
-72.6758,19.1017,Venotte
-72.5875,18.3778,Beloc
-72.7195,18.265,Carrefour Blockauss
-72.6353,18.2781,Petite Rivière
-72.9447,20.0539,Gros Raisinier
-72.9036,20.0553,Roches
-72.9003,20.0567,L'Hopital
-72.6401,18.4203,Cormier
-72.8757,20.0757,Bassin Chevel
-72.869,20.0797,Hemboucol
-72.8465,20.0586,Dupuis
-72.7967,20.0804,Voute L'Eglise
-72.6335,18.4572,Dufort
-72.7825,20.0722,Tresor
-72.6464,18.4676,Chavannes
-72.6013,18.4986,Sabouce
-72.5859,18.4943,Matthieu
-72.8381,20.0383,Nan Gris
-72.8125,20.0307,Terre Cassee
-72.8405,20.0468,Place Négre / Place Nepre
-72.8637,20.0353,Trou Vasseux / Trou Basseux
-72.8819,20.0542,Roches Eustaches
-72.8524,20.056,Embas Morne
-72.8,20.0504,Marie Terrien
-72.7881,20.0293,Trou Sardines
-72.7913,20.0348,Mare Rouge
-72.7344,20.0188,Bien Compte
-72.7229,20.025,Morn Monde
-72.7115,20.02,Colonie
-72.7718,20.0698,Monder
-72.7494,20.0427,Herbes Marines
-72.5992,18.5188,Sigueneau
-72.6409,19.9936,Pointe du Portugal_Tete Lili
-72.5671,18.5329,Geffrard
-72.5509,18.541,La Salle Pte Place
-72.5678,18.5414,Flon
-72.5345,18.5375,Santo
-72.523,18.5427,Gressier
-72.5369,18.4891,Plaisance
-72.5148,18.4337,Chevrine
-72.5548,18.4076,Citronier
-72.7281,18.4124,Mayombé
-72.5346,18.4215,Beauséjour
-72.7226,18.3971,Soulager
-72.7682,18.4283,Grand Goâve
-72.7437,18.3794,Mosemberg
-72.8475,18.3396,Fond Gérard
-72.8617,18.3271,Molière
-72.8715,18.3026,Platon Besace
-73.0036,18.1891,Côtes-de-Fer
-72.9028,18.159,Pointe Ravine Blanche
-72.8717,18.1572,Fond Dennas
-72.8346,18.1577,Nan Diamant
-72.8127,18.1492,La Revoir
-72.7517,18.1849,Bainet
-72.2238,18.2262,Adieu au Monde
-72.2294,18.2854,La Source
-72.0662,18.2383,Belle-Anse
-71.9174,18.185,Grand Gosier
-72.0679,18.532,Ganthier
-72.0938,18.6521,Thomazeau
-72.1048,18.8344,Mirebalais
-72.0662,18.9066,Domond
-71.9598,19.017,Thomonde
-72.1994,19.4393,Saint-Raphaël
-72.1158,19.3371,Pignon
-71.9824,19.3698,Mombin Crochu
-71.8367,19.6636,Fort-Liberté
-71.9545,19.6373,Terrier Rouge
-72.1242,19.6704,Limonade
-72.0249,19.6168,Trou-du-Nord
-72.1578,19.6972,Quartier Morin
-72.2148,19.6079,Milot
-72.2427,19.5274,Dondon
-72.6081,19.5341,André
-72.6138,19.5454,Duquesnin
-72.6109,19.5555,Prunelle
-72.5869,19.5334,La Coupe
-72.4907,19.0749,Deschapelles
-72.3466,18.4716,Nan Maillon
-72.3425,18.4842,Feça
-72.3525,18.492,Dufrenay
-72.3415,18.4928,Grenier
-72.3318,18.4724,Deriviere
-72.3033,18.4716,Nan Mely
-72.2943,18.4758,Duplan
-72.3316,18.485,Nan Da
-72.3223,18.4801,Covilette
-72.312,18.4807,Thomassin
-72.2927,18.4795,Mariane
-72.2778,18.4677,Bellevue La Montagne
-72.2873,18.4728,Lan Glade
-72.2768,18.4739,Dumiso
-72.273,18.4785,Chan-Bon
-72.2893,18.4882,Louaseau
-72.2771,18.4851,Maillaman
-72.3091,18.4569,Caille Boucan
-72.2751,18.4563,Drouette
-72.3245,18.4595,L'Etang
-72.3057,18.4634,Nan Madeleine
-72.3535,18.4315,Rosancour
-72.3537,18.4395,Bonga
-72.3382,18.4405,Ti Place
-72.328,18.4217,Debauche
-72.3302,18.4261,Carrefour Bête
-72.329,18.4298,Boucambour
-72.3036,18.4344,Nan Roseau
-72.2976,18.4287,Zorazo
-72.3287,18.4432,Bois D'Avril
-72.3135,18.4351,La Source
-72.3067,18.4477,Godet
-72.2783,18.4332,Carrefour Beraque
-72.2414,18.5829,Santo
-72.2231,18.5849,Cargout
-72.2468,18.5831,Duval
-72.2038,18.5883,Bellanton
-72.2447,18.5612,Tapage
-72.1953,18.5652,Duval Roche
-72.029,18.6475,Fonds Pite
-72.127,18.6541,Dumornay
-72.1487,18.6596,Trou Caïman
-72.1081,18.6494,Débas
-72.099,18.6384,Hatte Cadel
-72.6261,18.4893,Morel
-72.3586,18.2638,Corail Tessert
-72.4296,18.327,Bréman
-72.4031,18.2945,Toulmain
-72.3854,18.3023,Lucas
-72.3849,18.33,Ferry
-72.4385,18.3795,Boucan Tache
-72.4342,18.4335,Non Fouque
-72.4182,18.3502,Boucan Bouteille
-72.4016,18.35,Fond Duline
-72.4012,18.4,Malanga
-72.3663,18.3767,Ca Biédo
-72.4359,18.449,Platon Bouvier
-72.4407,18.4761,Coupeau
-72.4273,18.4869,Bourjolly
-72.4264,18.5051,Angibeau
-72.4124,18.4486,Laval
-72.3858,18.4499,Chauffard
-72.3692,18.4546,Chaufa
-72.4181,18.4662,Fond Coupeau
-72.4202,18.4775,Fancrelle
-72.4022,18.4962,Fond Ferrier
-72.3806,18.5001,Degand
-72.4018,18.5068,Baussan
-72.3445,18.2354,Cotterelle
-72.3451,18.2528,Corail
-72.2957,18.2308,Depot
-72.3015,18.2572,Pistache
-72.2829,18.2589,Fond Jean Noel
-72.2686,18.2793,Nan Criton
-72.2817,18.3016,Jet d'Eau
-72.2638,18.2949,Platon Blane
-72.2642,18.3068,Berry
-72.3131,18.3512,Vieux Lacour
-72.3328,18.3859,Ti Boucan
-72.2589,18.4243,Boucan Michel
-72.3145,18.4945,Laboule
-72.2711,18.4717,Fort Jacques
-72.2734,18.4997,Maliove
-72.2571,18.497,Duvier
-72.3349,18.5764,Brooklyn
-72.3389,18.5771,Soleil 19
-72.3394,18.5809,Waaf
-72.337,18.5796,Linteau 2
-72.3341,18.5812,Ti Haiti
-72.3326,18.5816,Linteau 1
-72.3331,18.5785,Soleil 4
-72.3298,18.5807,Cité Gérard
-72.3277,18.579,Cité Simone
-72.3288,18.5771,Croix Bleue
-72.3289,18.5753,Deux Cité
-72.3274,18.5745,Trois Bébés
-72.3308,18.573,Boston
-72.3357,18.5724,place belekour
-72.3328,18.5837,Ti Canada
-72.3306,18.5848,Bois Neuf
-72.3268,18.5835,Drouillard
-72.3258,18.5712,PCS
-72.1852,18.2359,Coutelas
-72.2221,18.2807,Baie d'Orange
-72.2209,18.2976,Ti Zorange
-72.1979,18.3001,La Serre
-72.1669,18.3255,Minerve
-72.2835,18.5007,Montagne Noire
-72.3049,18.4944,Laboule
-72.2141,18.3434,Mare Kadeneau
-72.1946,18.3428,Calice
-72.179,18.364,Pâques
-72.1694,18.3627,Ti Couline
-72.235,18.3707,Nan Cofi
-72.2433,18.4212,Despiseau
-72.1821,18.4224,Haite Dimisseau
-72.2458,18.4505,Califebe
-72.2077,18.437,Zoulien
-72.1669,18.465,Tubereuse
-72.1594,18.4925,Morne Chacha
-72.2,18.5102,Dumay
-72.1773,18.5284,Drouillard
-72.1631,18.5288,Jona
-72.1639,18.54,Delmar
-72.1959,18.5589,Dieudon
-72.1625,18.5641,Nan Codastre
-72.1716,18.5806,Vandreuil
-72.2056,18.6022,Lamartinière
-72.1893,18.5907,Dieuran
-72.1603,18.6067,Boutin
-72.1835,18.6322,Chambrun
-72.2215,18.6918,Savane Cheval
-72.1585,18.685,Bois d'Orme
-72.3499,18.6946,Lafiteau
-72.1297,18.2398,Nan Malgré
-72.104,18.2378,Gros l'Abime
-72.0376,18.2296,Préchet
-72.0091,18.2472,Ca Compe
-72.1359,18.2777,Haut Fort
-72.0842,18.2643,Nan Palmiste
-72.0402,18.2638,Grande Tête Rouge
-72.0275,18.2781,Pichon
-72.1536,18.3178,Trois Mats
-72.1,18.2946,Caporal
-72.0721,18.324,Bois Paul
-72.1084,18.3299,Mare Blanche
-72.0534,18.2919,Bois Conte
