x,y,name
44.3788,33.3024,بغداد
43.1291,36.3416,الموصل
42.9925,36.8543,دهۆک
43.7876,33.3532,الفلوجة
42.6823,37.1434,زاخۆ
43.4874,37.092,ئامێدی
47.7027,30.3918,الزبير
43.7958,34.4583,الدور
44.9236,31.9853,الديوانية
44.3965,35.4701,كركوك
44.8272,35.5311,چەمچەماڵ
45.2827,31.3079,السماوة
46.2576,31.044,الناصرية
44.4328,32.4822,الحلة
48.4745,29.9675,الفاو
47.1496,31.8498,العمارة‎
44.6495,33.7437,بعقوبة
43.0709,36.4808,شركة الصناعات الدوائية
44.9303,33.9758,شارەبان
44.5167,33.8566,الخالص
45.1667,34.2738,گوڵاڵە
45.1183,34.1863,سعدية
44.5448,33.5699,بني سعد
47.9215,30.0323,أم قصر‎
45.2109,31.5291,الرميثة
44.4031,32.0344,الكوفة
44.33,32.001,النجف
47.8091,30.4952,البصرة
44.6277,36.0848,کۆیە
42.2196,36.9296,الوليد
45.9874,35.1792,هەڵەبجە
45.9488,35.6222,پێنجوێن
44.8828,36.2565,ڕانیە
44.0095,36.1912,هەولێر
44.3351,36.4002,شەقڵاوە
44.5995,36.6855,ستکان
44.4464,35.1379,داقوق
44.6309,34.884,دوز خورماتو
44.5835,34.7254,آمرلي
43.8964,36.7487,ئاکرێ
45.8296,32.501,الكوت
45.3159,34.6295,کەلار
44.9632,34.6908,کفری
45.0624,33.6893,بلدروز
45.4426,35.5571,سلێمانی
45.4729,34.3894,خسروی
41.9237,34.4833,راوة الجديدة
44.539,36.6532,سۆران
43.6506,36.3518,كويلان
43.6455,36.4199,Grdepan
43.5889,36.5027,بەردەڕەش
43.7182,36.6281,جوجاری گچکە
43.5254,36.5837,کەلەکچی
43.5659,36.6175,خميس كوچك
43.5271,36.6403,چڕە
42.8463,36.8587,سميل
43.1858,36.795,Khurki
42.881,36.0568,'Usaylah
42.832,36.215,Abu Fishkah
42.9101,36.202,Abu Shuwayhah
42.9722,36.1582,الأمريني
42.9443,36.2801,As Sahaji
42.8014,36.2398,حرادة
42.8981,36.1329,حويط
42.9026,36.0955,خراتي
42.8415,36.2372,خويتلة
43.043,36.5925,Musqalawat al Janubiyah
42.9904,36.2794,تل كيصومة
42.8949,36.3178,Tall Khazaf
43.0398,36.6102,Tall Sin
42.9362,36.1718,تل الزركة
42.9497,36.1921,أُم سيجان
42.8991,36.2344,أم العظام
42.83,35.9973,تلول القويم
43.5273,36.6887,Dirin
44.2394,37.2719,Ayranlı
44.2657,37.2456,Meşelik
43.3418,37.0425,Sersing - سەرسنگ
45.7149,34.8753,baxahanara
45.7092,34.8788,شاوازی
45.705,34.9078,خەرکنی
45.7184,34.8644,belula
45.6817,34.8712,کانی کرمانج
45.6949,34.8544,hasar
45.2372,34.6606,ڕزگارى
42.8279,33.6387,هيت‎
43.1206,36.4903,تلکێف
43.2723,36.0211,Qaryat ar Rasif
44.2903,32.7797,المسيب
44.3461,32.8853,الإسكندري
44.0848,36.2477,شاوێس
44.0731,36.2661,پیرزین
44.1356,36.2978,مەلا ئۆمەر
44.8894,35.1982,قادر کەرەم
44.4518,33.3976,مدينة الصدر
43.303,36.7715,لالش
45.9399,35.2542,سیروان
46.1058,35.2897,Serget
46.0359,35.2986,خورماڵ
46.1051,35.2665,كيجينية باغة كون
43.9142,33.4049,الكرمة
43.3613,37.0482,ازادي
44.3492,36.3989,شقروق
44.1609,36.3145,گوندی ئەمریکی
44.3016,36.4814,شێراوە
44.2922,36.4892,Kuna Qir
45.1589,34.7313,میل قاسم
45.1508,34.7442,حەسیرە
44.2475,33.8371,الدجيل
44.1508,33.4632,سبع البور
43.9129,32.0311,الطقطقانة
44.1028,31.9579,عرب الرحيمة
44.5036,31.78,عبد نور
44.5057,31.7655,عبد الحسن جابر
44.5147,31.815,أبو ذهب رياح
44.4903,31.8152,آل حميد
44.4568,31.7639,آل إبراهيم
44.5094,31.7833,المحوطة
44.4906,31.8047,المشخاب
44.4827,31.8001,الواريف
44.484,31.7763,فريق المزهر
