x,y,name
35.5183,33.6245,القاطع
35.8225,34.4454,طرابلس
35.6201,33.9742,جونيه
35.5704,33.8922,جديدة المتن
35.4356,33.6239,سبلين
35.5122,33.6291,الضيعة
35.2169,33.1002,جرديح
35.7732,34.3121,كفر حزير
35.9298,34.2478,حدث الجبة
35.8311,34.2998,كفر صارون الكورة
35.8627,34.2916,رشدبين
35.7527,34.2814,كفر حاتا - الكورة
35.7636,34.2744,بتعبورة
35.7334,34.2897,بدنايل - الكورة
35.723,34.2949,كفريا - الكورة
35.4784,33.8959,بيروت
35.654,34.0266,أدما و الدفنه
35.6233,33.9276,بيت الشعار
35.4023,33.6107,رميلة
35.4977,33.8997,ميناء الحصن
35.5085,33.893,صيفي
35.5341,33.8838,ضهر الجمل
35.5327,33.8795,جسر الواطي
35.5335,33.8753,عمّاطور
35.6816,33.9207,بكفيا
35.6668,34.0063,شننعير
35.6201,33.9328,ديك المحدي
35.7008,33.9081,دوار
35.638,33.9244,بيت الككو
35.8373,33.9951,فريا
35.4994,33.8409,برج البراجنة
35.6309,33.5934,نيحا
35.6126,33.5992,دلغاني
35.5956,33.5712,كفر تعلا
35.5999,33.5679,عاريه
35.6141,33.651,عين قني
35.3932,33.5672,الهلالية
35.5733,33.6675,عثرين
35.5477,33.6922,شواليق - دير القمر
35.4224,33.6815,سهل الجية
35.4226,33.6883,مقصبة
35.4946,33.9015,ساحة القدس
35.367,33.5533,جلال عيرم
35.5053,33.9052,المنطقة المستحدثة
36.2117,34.0097,بعلبك
35.4077,33.2055,سلطانية
35.1941,33.1677,مزرعة بيوت السياد
35.2767,33.1989,رمادية
35.2483,33.2661,شارنية
35.3086,33.2442,وادي جيلو
35.5369,33.2576,رب الثلاثين
35.5044,33.1541,محيبيب
35.4267,33.1592,بيت ياحون
35.4824,33.1965,شقرا
35.4472,33.2402,صوانة - مرجعيون
35.5041,33.2518,بني حيان
35.4991,33.2431,طلوسة
35.2261,33.1019,ظهيرة
35.2093,33.1056,بطيشية
35.31,33.1111,رامية
35.3821,33.109,حانين
35.3723,33.1186,أمية
35.3605,33.066,قطموم
35.372,33.0685,جباب العرب
35.4991,33.1307,نبي يوشع
35.2115,33.1283,أبو شاش
35.4109,33.1973,الحارة
35.4834,33.3776,نبطية التحتى
35.4261,33.695,السعديات
35.5653,33.5681,صباح
35.8447,33.4983,حارة الكواسبة
35.5191,33.5789,مزرعة المطحنة
35.5264,33.5819,الخربة
35.5403,33.5783,بسري
35.5844,33.5778,الغباطية
35.5742,33.5781,جل ناشي
35.8611,33.6447,سلطان يعقوب
35.5618,33.8807,زعيترية
35.5629,33.8806,جسر الباشا
35.5888,33.9051,حي الروم
35.7061,33.7739,العزونية
35.6455,34.2062,المسلوخ
35.8442,34.3908,جديدة برقشا
35.8708,33.8125,الزعرورة
36.025,33.8122,قوسايا
35.9027,33.8476,زحلة
35.8753,33.8847,قاع الريم
35.9916,33.8834,تمنين التحتى
36.3839,34.6197,رجم عيسى
36.3092,34.6646,بني صخر
36.0911,34.6279,العزيزية
36.1166,34.6333,معربو
36.1333,34.6333,تل الشحم
35.9182,33.7048,المصنع
36.4,34.5,صفاء الصفوة
36.4667,34.4333,بيت حيرة
36.3667,34.5,المجوية
35.4224,33.5901,مزرعة البرغوتية
35.1964,33.2721,صور
35.4826,33.3811,النبطية
35.6562,34.2307,فدعوس
36.4195,34.1806,عرسال ساحة
35.8766,34.0908,هدينة
35.8508,34.088,Chalka
35.3903,33.1292,مخيم قوات الأمم المتحدة شمروك
36.0106,34.2504,بشري
35.4861,33.3829,حي الراهبات
35.4782,33.3877,حي المشاع
35.4883,33.3781,حي المسيحيين
35.4808,33.3761,بئر القنديل
35.5044,33.3627,النبطيه الفوقا
35.4916,33.376,حي المسلخ
35.4835,33.376,حي السرايا
35.5623,33.8115,بدادون
35.5425,33.8031,بسابا
35.7453,33.8565,قرية السلام
35.8025,33.9225,الزعرور
36.338,34.6635,البقيعة
36.3194,34.6322,جبل المنصورة
36.3457,34.6849,خط البترول
36.3757,34.6281,الفرض
36.3876,34.6233,وادي خالد
36.392,34.6257,الساعد
35.4419,33.1755,برعشيت
36.1756,34.5002,ممنع
35.7228,33.9135,عين السنديانة
36.0784,34.5444,حلبا
35.4246,33.6768,قصوبة
35.377,33.1803,حاريص
35.8028,33.8768,ترشيش
35.5938,33.942,الضبية
35.5942,33.9163,أنطلياس
35.6192,33.9839,الكسليك
35.4744,33.8995,رأس بيروت
35.4982,33.8975,باب إدريس
35.5194,33.8862,الاشرفية
35.6492,34.0651,نهر ابراهيم‎
35.6563,33.9941,ساحل علما
35.6633,34.0345,فتقا
35.659,34.2548,البترون
35.6492,34.1235,جبيل
35.6585,34.0842,حالات
35.6609,34.0161,غزير
35.6928,34.0349,كفور
35.6927,34.0098,دلبتا
35.6361,34.025,كفرياسين
35.6836,34.1966,معاد
35.5444,33.8339,بعبدا
36.387,34.3962,الهرمل
35.5048,33.8995,المجيدية
35.5141,33.8986,المرفأ
35.5342,33.8948,القبيات
35.6214,33.9701,ذوق مكايل
35.5648,33.6979,دير القمر‎
35.5812,33.6942,بيت الدين‎‎
35.643,33.9888,حارة صخر
35.6285,34.0216,وطى سلام
35.378,33.5618,صيدا
36.0871,34.4804,شان
35.8333,34.3498,عابا
35.4029,33.3621,عبا
35.6444,34.1376,عمشيت
35.4791,33.4093,حبوش
35.4031,33.1093,عين إبل
35.5844,33.5439,جزين
35.8904,34.068,Afqa
35.8598,34.0775,Lassa
35.704,34.0368,غينة
35.7627,34.0499,المشاتي
35.8659,34.0794,Al Ghabat
35.7313,33.9907,فيطرون
35.6152,33.9559,زرق مصبح
35.7039,34.1202,البريج
35.7138,34.1171,رأس أسطا
35.6794,34.0448,غدراس
35.7055,34.0626,عزر
35.6804,33.9866,بزمار
35.7077,33.9881,عشقوت
35.6736,34.0519,Namoura
35.6955,34.0701,زعيتره
