x,y,name
10.1797,24.9626,غات
10.1816,24.8873,البركت
10.563,25.7766,العوينات‎
12.7694,26.5897,أوباري
13.0696,26.5285,مدينة جرمة
13.0099,26.5259,الغريفه
13.2112,26.5506,قراقره
13.2458,26.5611,تكركيبة
13.315,26.5434,الفجيج
14.2726,26.4388,غدوه
13.9197,25.9141,مرزق
14.0498,25.9218,حج احجيل Heg' Hagel
14.0484,25.8984,Ghawat واحه قاوت
14.2726,25.9252,فنقل Funqul
14.4309,25.9371,تراغن Taraghin
14.4317,27.0332,سبها‎
9.4901,30.1258,غدامس
10.983,31.8642,نالوت
13.9498,31.4263,Qaryat Shumaykh شميخ
12.0258,31.932,مِزّو
14.0747,31.798,Qaryat Bin Tallis
20.1179,30.9523,الزويتينة
13.6397,32.4371,ترهونة
14.268,32.6522,الخمس
12.7265,32.7626,الزاوية
12.0806,32.9328,زوارة
20.2233,30.755,اجدابيا
23.2932,24.1988,الكفرة
23.96,32.0774,طبرق
21.7577,32.761,البيضاء
22.6383,32.7594,درنة
16.5836,31.206,سرت
12.4827,32.7906,صبراتة
19.7251,30.4829,البريقة الجديدة
12.5726,32.7576,صرمان
13.7128,32.7427,القره بوللي
14.5315,24.8889,القطرون
14.0417,32.5799,مسلاتة المركز
15.5708,31.3734,alWachkah الوشكه
16.3906,27.8134,الفقها
12.0914,31.9403,الرجبان
12.5277,32.0638,يفرن
21.8697,32.8082,شحات
21.9653,32.898,سوسة
20.8338,32.4857,المرج
21.5482,29.0331,جالو
13.9951,31.757,بني وليد
20.1644,31.9299,النواقية
12.3775,32.758,العجيلات
12.0596,32.8534,الجميل
11.9871,32.8864,رقدالين
11.8663,32.9459,زلطن
11.7363,33.0738,أبو كماش
25.0485,31.6135,امساعد
25.0485,31.6054,امساعد
24.9769,31.938,Zawiyat Umm Rukbah زاويه ام ركبه
24.9328,31.8005,زاويه المنستير
24.7878,31.8536,Qaşr al Jadī قصرالجدي
24.7428,31.949,Zawiyat Zanzur
24.6707,31.9851,Zawiyah janzur
24.664,31.8867,Bi'r al Ashhab بير الاشهب
24.6063,31.9905,Lukk
24.4812,31.9069,Kambot كمبوت
24.2026,31.9543,Al Qa'rah القعره
23.9065,32.0938,Qaryat 'Ayt Zaydan
24.0128,32,بياض
23.8339,32.108,Qaryat Marqrun المقرون طبرق
23.6691,32.1296,Zawiyat Murassas زاويه المرصص
23.4814,32.1414,Al Qardabah القرضبه
23.3571,32.1443,Ayn al Ulaymah(ayn alGazala) عين العليمه (عين الغزاله
23.1259,32.4199,Al Bumbah
18.4178,30.5869,رأس لانوف
14.5656,32.4676,زليتن
15.9403,29.1246,هون
22.2418,32.7631,القبة
23.0088,32.5317,أم الرزم
23.0593,32.3313,التميمي
11.5679,33.1495,رأس اجدير
25.0818,31.756,البردي
20.9869,32.3027,جردس العبيد
22.6659,32.2517,Zawiyat al Izziyat العزيات
12.8725,32.6779,الزهراء
15.2532,31.4495,أبو قرين
17.4562,31.0096,ام القنديل
14.849,26.1582,البدير Al Badir
18.0779,30.8044,بن جواد
17.8355,30.7789,Al Nawfaliyah النوفليه
14.6676,32.4331,محلة نعيمة
14.2606,29.9823,الشويرف
16.1414,29.1615,ودان‎
17.55,28.55,زله
14.2721,27.5516,براك
12.8853,32.7919,Al Mayah المايه
18.3493,30.632,Al Sidrah السدره
13.0491,27.4457,إدري
13.9727,27.4971,القرضه Al Qurdah
15.1251,26.1639,زويله Zawilah
15.7807,26.3943,تمسه Tmassah
24.2995,31.975,Musa'id امساعد
20.1531,31.4401,المقرون
12.0261,31.953,جادو
13.0556,32.1429,جعفر
17.2801,31.0542,وادي هراوه
19.199,30.2559,العقيله
19.4237,30.2896,بشر
