x,y,name
-11.0519,14.2769,Mamassita
-8.0003,12.6493,Bamako
-3.0087,16.7719,Tombouctou
-0.0412,16.2788,Gao
-5.6777,11.3165,Sikasso
-11.4379,14.4434,Kayes
-5.4601,12.387,Koutiala
-6.0686,13.6859,Markala
-8.0313,13.5773,Kolokani
-7.5561,12.8646,Koulikoro
-10.8342,13.8089,Bafoulabé
-10.8482,13.7606,Mahina
-2.9851,16.7071,Kabara
-3.2463,14.4963,Arou
-2.7861,15.851,Bambara-Maoundé
-8.3399,12.3819,Sibi
-4.6223,13.7546,Nogouna
-4.6108,13.8046,Kobasso
-4.5303,13.8486,Diabolo
-4.8983,13.2991,San
-4.5902,13.2868,Tominian
3.0225,15.4221,Andéramboukane
1,15,Labézanga
-0.8488,16.1447,Doro
-1.6993,15.2827,Hombori
-1.6986,15.0219,Boumboum
-2.953,15.0069,Douentza
2.9695,19.9542,Tinzaouatine
-8.4139,11.9415,Kangaba
-8.3568,12.0743,Bourognina
-8.2934,12.1723,Nankela Bugu
-3.3894,14.3413,Ydeli Na
-3.3455,14.3826,Tireli
-3.2928,14.4659,Gogoli
-3.276,14.4665,Guina
-3.3102,14.468,Sangha
-3.2671,14.4768,Ibi
-3.2437,14.5071,Kondou
-3.2191,14.5302,Youga Dogourou
-3.2204,14.5366,Youga Piri
-3.5963,14.1492,Kani Kombole
-3.5657,14.1614,Tely
-3.5496,14.1718,Valia
-3.4942,14.2173,Yabatalou
-3.4372,14.2775,Guimini
-4.0636,14.2856,Somadougou
-4.0133,14.2535,Balaguiné
-3.6561,14.3549,Docoumbo
-4.0917,14.3628,Youre
-4.0826,14.3295,Hamdallyé
-3.7745,14.9102,Bima
-4.3008,13.8684,Paradougou
-4.1172,14.1144,Bougouni-Daga
-4.1058,14.1655,Bounguel
-4.0705,14.2432,Mandio
-3.6009,14.4005,Kalibombo
-3.5861,14.4393,Boro
-3.5878,14.4758,Benndiéli
-3.5662,14.5196,Koundiala
-3.5484,14.5779,Andia
-3.5396,14.6214,Sogodougou
-3.5104,14.6758,Kendie
-3.4879,14.7432,Nomb
-3.424,14.8943,Dogani
-3.3525,14.9585,Kongoro
-3.3594,14.9677,Nombol
-3.369,15.0434,Demparé
-3.3651,15.0489,Kiro
-3.3493,15.0739,Bogowel
-3.4877,15.1343,Bouaré
-3.3429,15.1476,Gniminama
-4.0796,14.5586,Takoti
-3.921,14.7495,Sare Soma
-4.0818,14.4058,Soufouroulaye
-3.9093,14.8513,Takoutal
-6.012,14.1441,Ngalamadjankora
-5.9976,14.1564,Moussawéré
-6.0618,14.0432,Siribala Coura
-6.0512,14.0823,Laminibougou
-6.0536,14.0743,Choualawéré
-6.0487,14.0915,Minimana
-6.0995,13.6904,Sarakala
-6.0925,13.8715,Zanfina
-6.2048,14.2356,Ngodla
-6.1206,14.2149,Benkorokawéré
-6.1113,14.2069,Abdulayekawéré
-6.1211,14.2261,Benkorofulawéré
-6.1016,14.2126,Diarrakawéré
-6.0841,14.2138,Sambawéré
-6.0996,14.2227,Chiwéré
-6.02,14.2375,Molodo-centre
-6.0356,14.2718,Quinze-ans-bougou
-5.9175,14.5471,Sikawérémoussa
-5.9302,14.5197,Dabakan
-5.8985,14.6163,Dianbé
-6.022,14.6855,Diabaly
-5.8278,14.6396,Songa
-6.7591,12.9192,Konobougou
-7.1463,12.7523,Binko
-7.7659,12.5874,Kobalakoro
-6.0668,14.2516,Molodo 2
-6.0511,14.248,Falémougou
-5.9592,14.3077,sans-nom-14
-4.0191,14.4938,Kowa
-7.9347,12.4985,Cola
-7.9385,12.4691,Banakoro
-3.3,13.4167,Bladi
-1.502,14.7243,Kobou
-1.5465,15.0513,Kirnya
-11.3662,14.3755,Medine
-9.1913,14.5418,Diema
0.9904,20.2582,Amachach
-8.0295,12.7384,Dérébougou
-8.0123,12.669,Minkoungo
-7.9903,12.6786,Sicoro
-8.0401,12.666,Le Lido
-8.0447,12.6534,Koulouninko
-7.9055,12.6713,Titibougou
-7.911,12.6129,Yirimandio
-8.0401,12.5233,Kabala
-7.8239,12.6278,Kobala
-7.8318,12.6343,Kogninimi
-7.8941,12.6559,Sabalibougou
