x,y,name
95.5072,18.4928,ပေါင်းတည်
95.7863,17.6544,သာယာဝတီ
97.6084,16.5255,မုတ္တမ
96.7333,17.95,ညောင်လေးပင်
96.0017,16.7053,Kanbe
97.7293,16.2559,မုဒုံ
97.4,25.3833,မြစ်ကြီးနား
96.4333,18.4833,ဖြူး
95.9333,16.7167,Twante
95.5461,20.0019,တောင်တွင်းကြီး
94.4167,23.6333,မော်လိုက်
95.6363,17.0456,Nyaungdon
95.2667,16.3833,Mawlamyinegyunn
93.679,22.9139,ဖလမ်း
94.9214,20.1491,မကွေး
96.4667,22.0333,ပြင်ဦးလွင်
97.2094,19.6742,လွိုင်ကော်
96.161,16.7967,ရန်ကုန်
95.1777,16.6045,Wakema
96.5786,17.2933,သနပ်ပင်
97.369,16.9137,သထုံ
95.2167,18.8167,ပြည်
96.14,20.4319,ရမည်းသင်း
94.7333,16.7833,ပုသိမ်မြို့
96.5051,22.9227,မိူင်းၵုတ်ႈ
97.75,22.9333,လႃႈသဵဝ်ႈ
95.7,22.5667,ရွှေဘို
95.984,21.8774,စစ်ကိုင်း
95.0944,21.3343,ပခုက္ကူ
95.65,16.7333,Maubin
98.199,14.0797,ထားဝယ်မြို့
96.2509,16.7648,သန်လျင်မြို့
97.2333,24.2667,ဗန်းမော်
96.2088,19.739,ပျဉ်းမနား
96.4797,17.3367,ပဲခူး
95.3924,21.4588,မြင်းခြံ
92.9,20.15,စစ်တွေ
96.4327,18.9343,တောင်ငူ
96.5237,16.7608,သုံးခွ
95.3167,18.2833,Myan Aung
94.873,20.4608,ရေနံချောင်း
96.0824,21.9813,မန္တလေး
95.7257,16.4434,ကျိုက်လတ်မြို့
95.1325,22.1182,မုံရွာ
95.75,17.7833,လက်ပံတန်း
97.5705,16.0793,ကျိုက္ခမီ
95.8619,20.8814,မိတ္ထီလာမြို့
95.3969,16.2906,Bogale
97.0097,17.3092,ကျိုက်ထို
96.5631,16.9056,ခရမ်း
95.1795,19.3227,သရက်
95.2167,19.3667,အောင်လံ
94.8198,20.8948,ချောက်
95.461,17.6457,ဟင်္သာတမြို့
95.6801,16.2891,ဖျာပုံမြို့
94.8767,20.1838,မင်းဘူး
98.5956,12.432,မြိတ်မြို့
99.8842,20.4491,တႃႈၶီႈလဵၵ်း
94.9072,21.2,ညောင်ဦး
94.9852,15.7698,Pyinalin (Aunghlaing)
94.9784,15.7808,Adama Thitpok
95.1984,15.8656,Yegyawgyi
95.2117,15.8529,Danichaung
95.132,15.8048,Onbin
95.2231,15.8939,Chaungbyegyi
95.9588,17.3146,တိုက်ကြီး
94.7586,16.1448,Labutta
