x,y,name
32.467,-25.9669,Matola
32.5675,-25.9662,Maputo
32.5609,-26.0087,Catembe
34.8418,-19.8287,Beira
36.8902,-17.8775,Quelimane
32.883,-26.8405,Ponta do Ouro
34.5458,-14.7541,Biri Biri
39.0233,-15.1496,Caramaja
39.2616,-15.1194,Nampula
35.771,-16.0972,Milange
40.1452,-12.2295,Macomia
39.977,-13.1026,Sunate
39.8726,-13.1042,Metoro
39.0017,-13.1253,Montepuez
39.9117,-13.9213,Alua
39.9058,-14.3771,Nacarôa
39.9882,-14.9231,Namialo
38.3226,-14.9428,Ribáuè
36.9856,-16.8392,Mocuba
35.3406,-17.8277,Caia
35.1599,-18.2203,Inhamitanga
35.0236,-18.4152,Inhaminga
35.3844,-23.866,Inhambane
33.6397,-19.0805,Gondola
33.4767,-19.1109,Chimoio
33.8032,-19.8378,Nhaapua
32.8068,-25.4038,Manhiça
33.6407,-25.0445,Xai-Xai
35.3489,-23.8616,Maxixe
35.3432,-23.6583,Morrumbene
35.3805,-23.3297,Massinga
35.2459,-13.2999,Lichinga
36.5399,-14.798,Cuamba
36.9875,-15.4651,Gurúè
36.4616,-18.5831,Chinde
35.9424,-18.2903,Marromeu
35.0292,-17.4454,Sena
35.0792,-17.454,Mutarara
35.5844,-17.3286,Morrumbala
34.3912,-14.3941,Mwala wa Nkhondo
34.3508,-14.3945,Jere
35.8931,-14.9888,Entre Lagos
34.5752,-15.1439,Tsangano
33.5313,-24.6886,Chibuto
32.6258,-23.8476,Mabalane
33.5871,-16.1605,Tete
32.9246,-22.2436,Machaila
33.3742,-20.8273,Machasi
33.2952,-24.636,Mohambe
33.332,-24.6607,Chaimite
33.7437,-24.9219,Poiombo
33.6701,-24.7543,Malehice
33.0262,-24.5015,Guija
32.8708,-24.4082,Macarretane (Aldeia da Barragem)
32.8826,-24.3922,Chinhacanine
32.8347,-24.2399,Pelane
33.0991,-24.5326,Soresuanine
33.1649,-24.5611,Javanhane
33.7958,-25.0203,Chongoene
33.7583,-24.9476,Siaia
33.7288,-16.1178,Moatize
33.5494,-24.981,Chicumbane
33.5099,-24.9576,3 de Fevereio
33.5087,-24.8734,Muzingane
33.0942,-25.0299,Macia
33.2147,-24.9659,Incaia
33.29,-24.9498,Shilluanhana
33.3591,-24.9349,Chissano
33.4382,-24.9382,Chipenhe
32.5852,-25.7843,Michafutene
32.6763,-25.74,Marracuene
32.6548,-25.4996,Maluana
32.8698,-25.2615,Palmeira
32.9305,-25.066,Mimbiri
34.7435,-19.6165,Dondo
40.6486,-14.9649,Mingorine
40.7382,-14.9427,Chocas Mar
40.5069,-14.9977,Naguema
32.8243,-26.7513,Zitundo
32.8854,-26.7911,Malongane
33.9323,-19.2075,Inchope
33.8281,-19.3304,Muda
33.874,-19.6655,Muntindiri
33.8429,-19.768,Revue
33.986,-19.8204,Grudja
33.9141,-19.6761,Makambinhe
33.7935,-19.8489,Goonda
33.8711,-20.2534,Baeta
35.0394,-21.5047,Macovane
35.0696,-21.5707,Jofane
35.0935,-21.6652,Maimelane
35.0895,-21.7273,Magungumete
39.3246,-14.9053,Cavula
39.415,-14.9424,Muculuone
39.7093,-14.803,Metepo
39.725,-14.8036,Lurindo
39.7889,-14.7673,Napala
39.5716,-14.9158,Marsone
39.6045,-14.7446,Nchancha
39.5294,-14.8112,Napal
39.6315,-14.8453,Incomati
39.5563,-11.6634,Mueda
35.2042,-21.5353,Inhassoro
32.1374,-26.1982,Goba
35.3169,-21.9978,Vilankulo
38.1419,-17.2656,Pebane
39.2217,-16.7628,Moma
39.8425,-14.9555,Meconta
40.6612,-14.9665,Mossuril
40.4134,-15.5659,Mogincual
39.2375,-15.78,Mogovolas
40.6864,-14.5583,Nacala
39.9081,-16.2292,Angoche
34.1378,-15.8671,ELIM
33.2738,-16.8251,Changara
33.2884,-16.7691,Cancune
33.4031,-16.5087,Nvuze
33.3865,-16.5321,Mazoe
33.305,-16.7213,Chicomphende
33.5669,-19.1032,Cafumpe
33.8218,-19.9232,Casa Nova
35.3084,-23.7152,Furvela
35.3821,-23.4046,Malova
35.3195,-23.6724,Jogo
34.4468,-24.7221,Chissibuca
33.9851,-24.8096,Macopulane
34.0777,-24.85,Village
34.7423,-24.7171,Quissico
40.2972,-14.9155,Monapo
39.3444,-15.7198,Nametil
37.5031,-17.314,Maganja
38.6821,-15.4682,Murrupula
31.7803,-23.7708,Machampane Camp
31.9913,-25.442,Ressano Garcia
34.5738,-15.3121,Mtemankhawa
33.3546,-19.0533,Charamba
33.2464,-18.8702,Babe
33.2707,-18.8446,Chitundo
33.256,-18.8953,Chicane
33.317,-18.916,Zaba
33.2835,-19.0611,Gimo
33.2641,-18.9564,Nova Vanduzi
33.2529,-18.9114,Dienene
33.176,-18.0527,Catandica
37.6846,-15.6325,Alto Molócue
37.4999,-13.194,Marrupa
34.193,-15.978,Kambulatsisi
34.0728,-18.6792,Gorongosa
34.5969,-19.8839,Búzi
36.8147,-17.5974,Nicoadala
35.8779,-15.1869,Insaca (Mecanhelas)
32.876,-18.9367,Manica
34.8782,-19.7689,Manga
33.3526,-17.4212,Guro
33.6127,-14.9048,Furancungo
34.2267,-14.4388,Dómué
34.3619,-14.7093,Ulongué
34.4393,-15.5897,Zóbue
33.9386,-20.3887,Muxungue
32.775,-15.5951,Songo
32.832,-16.4148,Chioco
33.5165,-15.8623,Matema
38.5747,-13.3474,Balama
33.7084,-19.1155,Espanéra
33.824,-19.1653,Sande
33.1553,-19.0275,Bandula
32.8678,-19.0122,Chirara
33.0333,-19.0116,Nanvura
32.9683,-19.0142,Chicó
33.1994,-19.0808,Canhaúfe
33.2678,-19.0946,Chibata
33.8219,-19.2249,Cambeca
33.95,-19.3584,Ximana
33.8264,-19.774,Guncha
33.7675,-19.2586,Zinvari
33.9534,-19.6003,Miguel
33.8231,-19.9285,Chibamo
33.8516,-20.0279,Tangua
33.9349,-20.096,Dandala
33.874,-20.1824,Ceavaca
34.0225,-20.5762,Nhabuto
33.9101,-20.1747,Chiboma
33.9886,-20.3624,Chuquela
34.023,-20.5762,Mazungo
33.9018,-20.4789,Chissiduana
34.5817,-21.1363,Bobo
34.5672,-21.143,Vila Franca do Save
34.2203,-20.898,Macoche
34.5474,-20.9725,Chessungalane
34.4519,-21.0801,Maculuge
34.8272,-21.3656,Guanhissane
34.0928,-20.6649,Québese
34.4229,-20.9115,Muave
34.4794,-20.9465,Quatine
34.1859,-20.7807,Madassipo
34.6121,-21.1754,Mabinze
34.7333,-21.2314,Chambanhuco
34.8981,-21.3584,Buene
35.1497,-21.7948,Chamuço
34.9656,-21.4096,Chaisse
35.0584,-21.8834,Bacela
34.8505,-21.4187,Chamuela
35.1039,-21.5088,Chibamo
35.0562,-21.9836,Farraça
35.2114,-22.0541,Camacho
35.1043,-22.1376,Issai
35.2225,-21.9411,Machocomane
35.0037,-22.0261,Massitele
35.056,-22.1835,Jamo
35.2251,-23.1285,Machacane
35.0722,-22.4418,Bulande
35.1446,-22.715,Mavanza
35.2073,-22.7787,Macombi
35.182,-22.8399,Nhachengue
35.0869,-22.5479,Macauzo
35.3298,-23.3258,Camele
35.3324,-23.5567,Cabo Primeiro
35.3944,-23.515,Mabsil
