x,y,name
2.1098,13.5248,Niamey
3.1945,13.0496,Dosso
7.9907,16.9726,Agadez
8.9892,13.8063,Zinder
7.1025,13.5012,Maradi
5.2621,14.8899,Tahoua
3.4599,11.8848,Gaya
7.3933,18.7391,Arlit
7.9905,13.7555,Tessaoua
4.0294,13.6409,Dogondoutchi
5.9553,14.0708,Madaoua
7.6724,13.9533,Mayahi
12.6137,13.3131,Diffa ديفا
0.7562,14.007,Téra
9.1585,13.7146,Mirriah
1.4546,14.209,Tillabéri
8.9089,13.0009,Magaria
13.1135,14.2533,N'Guigmi انقيقمي
6.7645,14.5095,Dakoro
8.9347,17.6419,Ighalabélabene
7.9792,15.5074,Tadélaka
7.8227,16.8862,Kourboubou
8.007,17.013,Alarsas
0.2501,14.6909,Gorouol
1.3988,14.2789,Sakoira
1.1334,14.3945,Mehana
0.7364,14.4144,Korogoussou
1.0284,13.2668,Kokoloukou
2.4075,13.5589,Hamdallaye
1.1208,14.5826,Guégorou
13.6469,21.947,Madama ماداما
12.3384,20.9548,Chirfa
12.9187,18.6929,Bilma
12.9729,20.2016,Séguédine
11.585,18.107,Fachi
5.2082,15.3613,Taza
4.4583,14.8361,Tébaram
2.0737,13.87,Diolé
2.0848,14.3158,Ouallam
1.9539,14.6832,Mangaizé
4.161,13.9399,Sanyasou
4.275,13.9664,Danya
4.3449,14.0075,Isakiti
5.3698,14.5204,Badégichéri
5.4941,14.5612,Daré Salam
5.4258,14.5505,Wakasou
5.4682,14.5711,Kartéla
5.9135,14.1098,Nakoni
4.1919,13.8073,Tchito
13.6151,21.1596,Mabrousbo
13.5395,20.5597,Dao Timmi
12.9986,20.3898,Kourizo
12.2088,21.1775,Orida
12.3084,21.0159,Djado
4.3428,14.0889,Sadoura
4.4767,14.1335,Ténidiri
4.3592,14.0182,Kayoua
4.3202,14.0381,Balisa
4.2323,13.9673,Karsabou
4.0713,13.8994,Kalgo
4.059,13.9382,Awasawa
3.9901,13.5022,Birey
4.0132,13.4819,Kiéssé
4.0798,13.0125,Birni Nwala
3.8024,12.9093,Wassangou
3.8735,12.9098,Guéchémé
3.7249,12.894,Lido
0.2968,14.6962,Gountiéna
0.4146,14.7222,Sèrè
0.697,14.5954,Tantinadé
0.8192,14.4951,Bossey
0.9551,14.4484,Amara
1.26,14.3514,Namarigoungou
1.3893,14.2289,Koma
1.7154,14.1494,Kaba
1.8146,14.0213,Karé Bangou
1.7563,14.0225,Daré Bangou
1.7848,13.9521,Komo Bangou
2.0168,13.6907,Dinki
2.2401,13.6162,Wari
2.316,13.3409,Kollo
2.5144,13.2735,Fandoga
2.5756,13.3109,Kouré
2.6253,13.3946,Baboussay
2.7252,13.3337,Tollo
3.2722,13.1756,Mokko
6.2813,15.4637,Abalak
0.9195,14.7336,Ayorou
7.0572,13.5902,Tibiri
8.4786,13.4221,Matamèye
8.8784,14.9712,Tanout
10.2646,13.9862,Gouré
7.7759,13.501,Aguié
6.6952,13.6654,Guidan Roumdji
3.3241,14.352,Filingué
12.0281,13.2152,Maïné-Soroa
7.8328,17.2661,Tchirozérine
7.1615,13.3032,Madarounfa
7.9127,13.5272,Gazaoua
5.775,14.7564,Keïta
5.8036,15.8983,Tchin-Tabaradene
6.9318,16.7862,I-n-Gall
6.0437,14.4235,Bouza
3.2313,13.6149,Loga
1.6092,13.7416,Garbey Kourou
1.8626,13.2176,Kobadié
2.7572,13.4115,Dantiandou
2.3089,13.5433,Barkiawal Béri
9.5529,13.5101,Gouchi
9.6009,13.4964,Baochi
9.7325,13.483,Gazafa
9.8323,13.6707,Guidiguir
9.8585,13.8808,Madjia
9.7373,13.8538,Baga
9.9881,13.3593,Gamdou
9.78,13.1199,Doumbari
9.5737,13.1522,Nogo
10.0882,13.5985,Gazabalé
10.4257,13.442,Kargéri
10.7494,13.7231,Kilakina
10.2438,13.7475,Adoumchi
9.8196,14.1296,Boubouté
10.1157,14.2819,Kellé
9.195,15.0101,Goulouski
9.5986,14.9587,Gourbobo
8.9665,15.0428,Ganmaram
8.7307,15.0814,Tabankoro
7.4351,16.3721,Marandet
7.4103,16.0912,Ekelfi
7.8392,15.8092,Toumbelaga
7.8946,15.6186,Adérbissinat
7.8443,15.9714,Danga Iadima
4.3473,14.6394,Bagaroua
4.3671,14.7495,Koukakamé
7.731,13.6082,Dan Tchiro
7.6901,13.605,Kafin Abarchi
7.6724,13.6318,Dan Gantamawa
7.6789,13.616,Tabkin Kania
7.6522,13.6138,May Gaoud' é
7.6209,13.6264,Mouri Mak' aoura
7.6381,13.6381,Maygochi
7.6883,13.6517,Dadani
7.6328,13.6582,Gobérawa
7.6051,13.6402,May Sameykou
7.6042,13.6752,Guidan Madougou
7.7354,13.6953,Dan Saga
7.7697,13.5557,Angoual Mâlam
7.771,13.5457,Dan Gao
7.7338,13.577,Dan Gouari
7.7154,13.5606,Baban Arné
7.68,13.5323,Tafouka
7.6919,13.535,Issourou
7.7098,13.535,Aladou
7.6023,13.5446,Débi
7.5796,13.5553,Dan Toumbi
7.6597,13.5139,Dan Kada
7.6135,13.482,Chadawanka
7.6282,13.4507,Taka Lafia
2.9939,13.4288,Yéni
2.8767,12.4488,Kotaki
2.8967,12.528,Saboula
2.8527,12.5945,Falmey
2.8582,12.6191,Ganigoungou
2.8782,13.2152,Tinoma
2.8657,13.2414,Sandé Seydou
2.866,13.2483,Sandé Moussa
2.879,13.2657,Djassarey
2.872,13.2702,Alfabiré
2.8739,13.2851,Fandou Djadi
2.8688,13.2854,Fandou Djibo
2.8771,13.3258,Tombo Djibo Baba
2.8809,13.3276,Foulanzam
2.8937,13.3315,Kouringuel Kao
2.9126,13.3237,Gounoubi Kouara
2.9284,13.3261,Oudé el Hadji
2.9319,13.3275,Bangoubi
13.2792,16.8227,Agadem
13.1035,17.53,Dibella
12.9223,19.1275,Achénouma
12.8985,19.3678,Aney
8.4215,19.0683,Iferouâne
8.1024,17.7094,Tamazlaqu
8.9402,17.5986,Akrérèb
7.2776,18.7165,Âguelal
7.8028,18.4546,Goûgaram
8.0753,18.5117,Sidaouet
7.3382,18.7106,Akokan
8.7792,18.1143,Tîmia
6.6463,17.429,Teguidda I-n-Tessoum
5.648,16.809,Tassara
4.7922,16.1379,Tillia
4.7816,15.6228,Télemsès
2.7016,15.0394,Bani Bangou
0.2796,14.6109,Dolbèl
0.9296,14.2063,Kokorou
1.2427,13.9171,Dargol
1.6081,13.8459,Sansané Haoussa
1.5667,13.8582,Gothèye
1.8122,13.6717,Karma
1.4106,13.0632,Pobalouri
1.2919,13.3451,Bossey Bangou
1.2596,13.8505,Tamou
2.4406,12.8352,Kirtachi Zéno
3.0654,12.2204,Koulou
3.5443,12.6194,Dioundiou
2.9718,13.3552,Bangario Zou
8.0336,13.4392,Birnin Guiéza
2.2195,13.3457,Tiloa
2.0624,15.0644,Tiloa
2.2729,14.6744,Taroum
2.8261,14.3279,Zama
4.7539,13.8713,Baïzo
8.5911,13.125,Matankari
5.5074,13.9603,Malbaza
2.9156,13.179,Ko Hinza
2.9356,13.179,Dabaga
2.9404,13.2037,Kala Paté
7.9948,14.6815,Bélbéji
2.0221,13.5527,Gabou Goura
2.0042,13.5763,Soudouré
2.0282,13.6049,Tondibia Peul
1.9942,13.5959,Bangoula
2.134,13.6014,Bossey Bangou
6.9919,14.7032,Mousa
6.9716,14.6651,Badér
7.6399,13.8919,Kotaré
8.5307,13.6811,Takiéta
8.8192,14.2904,Bakin Birji I
8.7958,14.2578,Bakin Birji II
8.5034,14.612,Gangara
9.6132,13.0332,Malawa
9.2958,13.3653,Wacha
13.1514,15.7438,Bedouaram
