x,y,name
13.5983,13.6142,Amboyo
13.3287,13.4889,Arege
13.5711,13.4299,Bakare
13.2967,13.2503,Barta'a
13.2724,13.3119,Barta'A
13.181,13.4314,Bisko
13.6418,13.566,Bula Bul
13.6582,13.4635,Bula Bul
13.6591,13.6484,Bula Katti
13.6511,13.6369,Chuku Kabudu
13.6872,13.4456,Chuku Kangu
13.5414,13.5181,Debinawo
13.4964,13.4236,Dila Na Bulama
13.5064,13.3768,Dogon Chiku
13.341,13.2932,Garere Kiriye
13.2925,13.2385,Gawaya
13.3796,13.4348,Gillamari
13.3495,13.1938,HA_1
13.2875,13.4649,HA_10
13.5719,13.491,HA_11
13.4433,13.4974,HA_12
13.4897,13.5013,HA_13
13.4403,13.504,HA_14
13.488,13.5045,HA_15
13.4807,13.5142,HA_16
13.4723,13.5169,HA_17
13.5152,13.5521,HA_18
13.5645,13.56,HA_19
13.4324,13.251,HA_2
13.6262,13.5772,HA_20
13.6546,13.6539,HA_21
13.3471,13.2889,HA_3
13.3416,13.2971,HA_4
13.4986,13.3398,HA_5
13.5427,13.3569,HA_6
13.3072,13.3995,HA_7
13.6694,13.4277,HA_8
13.618,13.4319,HA_9
13.7057,13.5877,Hangurwabuwa 1
13.7437,13.5495,Kamubudu
13.279,13.308,Kanamma
13.7115,13.5305,Karaliuwa
13.675,13.5573,Kararraga
13.4794,13.5818,Kayowa
13.6736,13.6473,Kuma Gunna
13.353,13.1933,Kundulogodu
13.5144,13.5677,Kurnawa
13.5273,13.5538,Lagos Ii
13.5466,13.5479,Lagos Maiyashi
13.5078,13.4932,Maikoko
13.5172,13.5413,Mallam Yau
13.3876,13.4873,Malum Zubairu
13.7448,13.5097,Markobina 2
13.4261,13.358,Metele
13.5529,13.3737,Mundu M Madu
13.4624,13.5413,Murfu
13.7048,13.5443,Ngivigine
13.6269,13.6392,Ngudum
13.5332,13.4455,Njamaina Bulama Umar
13.5312,13.4438,SSA_10
13.547,13.5643,SSA_13
13.5578,13.3635,SSA_14
13.5758,13.4689,SSA_15
13.5909,13.5365,SSA_16
13.6067,13.4489,SSA_17
13.6358,13.4197,SSA_18
13.4726,13.5203,SSA_3
13.494,13.5303,SSA_5
13.5162,13.4686,SSA_7
13.5175,13.4664,SSA_8
13.5306,13.4458,SSA_9
13.5437,13.4116,Tele Beri
13.4191,13.3541,Tumbu Fulani
13.5268,13.494,Tumbum Ali
13.4934,13.5183,Tumbum Allura
13.5655,13.5454,Tumbum Bulama
13.5096,13.422,Tumbum Dila 2
13.5083,13.4345,Tumbum Dila Abba Kaka
13.5104,13.5006,Tumbum Doki
13.47,13.478,Tumbum Fulani
13.4985,13.5586,Tumbum Kura
13.4697,13.5102,Tumbum M Sale
13.5616,13.3994,Tumbum Magari
13.5535,13.3656,Tumbum Mundu Maina Modu
13.5952,13.4015,Tumbum Sama
13.5949,13.4166,Tumbum Siyasa
13.4909,13.4526,Tumbum Tulani
13.5515,13.4521,Tumbum Wanzam
13.4569,13.5141,Tumbum Zarami
13.5361,13.3796,Tumbun Bera
13.4847,13.4805,Tunbun Rago
13.3856,13.1747,Warrangallam
13.4027,13.1754,Warrangallam A
13.3927,13.1803,Warrangallam C
13.3884,13.1791,Warrangallam D
13.3864,13.1566,Warrangallam 'F'
13.5268,13.5867,Zariya
13.2553,13.1267,Abara Dugu 2
13.147,13.1193,Aja Moduri
13.1694,13.1579,Alajiri
13.3088,13.1822,Alh Usmanti
13.1358,13.1618,Alhaji Aubduri
13.2221,13.0837,Alhaji Matari
