x,y,name
73.0535,33.5914,راولپنڈی
71.1468,34.1005,Landi Kotal
74.1934,32.1525,گوجرانوالہ
73.7194,32.9247,جہلم
74.1465,32.3042,گکھڑ منڈی
73.3066,33.2543,گوجر خان
67.0184,30.1892,کوټه
72.9956,33.4575,Adiala
72.9729,33.4464,Khasala Khurd
68.404,26.2453,Nawabshah
68.8589,27.6962,سكر
68.4964,25.6503,Sekhat
68.4259,25.8159,Hala
68.1044,26.3019,Qazi Ahmad
67.9743,26.5023,Daulatpur
68.0024,26.6636,Moro
68.1188,26.8401,Naushahro Firoz
68.1949,26.9103,Bhiria
68.2104,27.0595,Kandiaro
68.4155,27.21,Hingorja
68.5044,27.287,Ranipur Riyasat
68.5236,27.3523,Gambat
68.7634,27.5295,Khairpur
68.9124,27.6777,Rohri
69.1127,27.8558,Pano Aqil
69.4181,28.0428,Sarhad
69.7299,28.1646,Ubauro
70.1283,28.3087,Sadiqabad
69.9769,28.2506,Sanjarpur
70.5178,28.8127,Zahir Pir
70.7401,28.9619,Khan Bela
70.8174,29.0173,Janpur
70.9098,29.0986,Taranda Muhammad Panah
68.3069,25.3635,Kotri
62.3255,25.148,گوادر
72.3941,33.8561,Kamra
71.9813,34.0156,نوشہرہ‎
71.7986,34.0074,Pabbi
71.9852,34.0644,Risalpur
71.7324,34.1442,چارسدہ
73.2714,31.9,پنڈی بھٹیاں
73.0316,32.1887,Kot Momin
72.9111,32.482,Bhera
72.6994,32.7818,Kalar Kahar
73.0693,33.7425,Saidpur
73.0694,33.6383,سٹلائٹ ٹاؤن
73.1886,33.7366,Bhara Kaho
74.2541,31.8011,مریدکے
72.635,33.5691,فتح جنگ
73.2139,34.1437,ایبٹ آباد
73.1993,34.3287,مانسہرہ
72.8562,32.9323,چکوال
72.985,33.5165,Misriot Dam
73.0147,32.6307,Khewera
73.0433,32.5902,پنڈ دادنخان
73.3927,33.9057,مری
72.763,33.2927,Chakri
72.6783,32.0898,سرگودھا
72.98,31.722,چنیوٹ
72.9105,33.5403,Thalian
73.0197,33.5506,Dhamial
71.6639,29.3946,بہاولپور
71.6344,29.539,Lodhran
71.9168,29.6242,Kahror Pakka
71.9279,30.3023,خانیوال
71.2625,29.1437,Ahmadpur East
70.9516,28.9349,Liaquatpur
70.3037,28.4176,رحیم یار خان
74.1743,31.4326,Chung
74.0485,31.307,Manga
74.0678,31.2995,Manga Mandi
74.0506,31.2787,Kot Asadullah Khan
74.0477,31.2746,Kalalwala
74.0242,31.2676,Nauthe
73.9404,31.2045,Bhai Pheru
73.8529,31.0211,Pattoki
73.9152,31.1373,Jambar Kalan
73.5999,30.8783,رینالہ خورد
73.4493,30.8091,اوکاڑہ
73.1111,30.6715,ساہِيوال
72.8702,30.6331,Harappa
72.6914,30.5317,Chichawatni
71.6722,30.2923,Qadirpur Ran
71.5374,29.8542,Basti Maluk
71.5452,29.313,Khanqah Sharif
69.5522,28.0225,Mirpur Mathelo
73.1535,34.0519,Havalian
67.8081,25.1632,نوری آباد
68.7198,25.462,Tando Allayhar
66.884,25.0255,حب
66.7338,25.2507,Nakka Karri
66.3715,27.3406,وڈھ
66.6339,30.6387,Lajwari Kili
66.6602,30.7283,قله عبدالله
66.4631,30.9159,چمن
72.6874,33.8218,Hasan Abdal
72.92,31.7541,ربوہ
73.4183,31.333,جڑانوالہ
72.4717,32.2691,Shahpur
72.6261,32.36,Jhawarian
69.9814,29.9244,Fort Munro
70.6401,30.0321,ڈیرہ غازی خان
71.1888,30.0778,مظفر گڑھ
72.6094,34.0715,Topi
72.9337,33.5938,آئ - 16
72.2503,33.7755,Barotha
72.6963,33.6748,جھنگ‬
72.3611,33.7695,اٹک
73.1094,33.7473,Nurpur Shahan
73.1944,33.4968,روات
72.9104,33.6509,Tarnol
72.8772,33.6193,Naughazi
72.862,33.6113,Dhok Minda
72.7602,33.5955,Qutbal
72.6855,33.5892,Garhi Hasu Khan
72.7137,33.5875,Hatar
74.3842,31.4754,Charr
74.4028,31.4899,Keer
74.4129,31.4799,Chung Khurad
74.4293,31.4686,Sultan Colony
66.7322,25.1191,گڈانی
66.6219,25.8072,اوتھل
66.3113,26.2268,بیلا
66.6167,27.8,خضدار
64.6375,25.2106,اورماڑا
63.4723,25.2644,پسنى
63.0506,26.0028,تُربت
61.7466,25.0503,جِيوانى
69.15,29.0334,Dera Bugti
67.8236,29.0427,Bhag
66.5843,29.0333,Kalat
64.4097,28.8963,Dalbandin
66.0167,29.55,Nushki
66.85,29.8,Mastung
67.8833,29.55,سِبی
69.25,29.9,Kohlu
68.575,30.1492,Duki
67.938,30.1005,Harnai
66.9966,30.5829,پشین
68.6001,30.3669,Loralai
69.448,31.3412,ژوب
69.523,29.9003,Barkhan
74.4928,31.5762,Jallo
74.3568,31.4667,Aamer Sidhu
65.5756,25.5788,Hingol
73.647,34.9045,Naran
73.5242,34.7806,Kaghan
73.0724,33.6245,Chah Sultan
75.1604,32.263,شکرگڑھ
72.9637,33.9342,Kalan Mir
72.981,33.5616,Dhok Girja
71.7902,35.8509,چترال
72.0451,34.1938,مردان
71.927,34.2822,Takht-e-Bhai
71.7976,35.5616,دروش
72.5153,36.277,مستوج
71.44,33.5967,کوہاٹ
70.6036,32.9857,بنوں
70.9091,31.8275,ڈیرہ اسماعیل خان
64.1153,26.9616,پنجگور
70.1001,33.8968,پاڑاچنار
72.3103,31.2729,جھنگ
72.1275,30.5508,Addul Hakeem
73.0589,30.2945,عارِف والا
73.9864,31.7085,شیخو پورہ
74.4478,31.1175,قصور
72.6797,30.1588,Burewala
73.6858,32.0725,حافظ آباد
70.656,28.6477,خانپُور
72.6859,31.1482,گوجرہ
73.4914,32.5846,منڈی بهاؤالدین‬
74.3526,32.3361,ڈسکہ
73.3892,30.3423,پاکپتّن
73.2528,29.9936,بہاولنگر
72.645,30.727,کمالیہ
70.9679,30.4693,Kot Addu
74.1182,32.4417,وزِيرآباد‎
72.5503,29.6907,حاصل پور
71.58,32.5745,Mianwali
74.2079,32.6401,Jalalpur Jattan
71.0677,31.6303,بهكّر
73.6514,30.6692,Depalpur
70.9456,30.9649,ليّہ
72.8943,32.2683,بهلوال
73.1389,29.6105,Haroonabad
73.8001,31.7469,Farooqabad
72.4861,30.9777,Toba Tek Singh
74.8722,32.101,نارووال
73.6974,30.4504,Haveli Lakha
74.3529,32.4769,سمبڑیال
71.2932,29.881,Shujaabad
70.5951,29.6403,Jampur
72.1782,29.7989,میلسی
73.8246,30.7394,Hujra Shah Muqeem
66.639,29.8936,Shaikh Wasil
66.4296,29.7629,Bahawal Khan
65.9405,29.3956,Ahmed Wal
62.7454,28.8239,نوک کنڈی
61.588,28.9495,تفتان
67.6423,29.4881,Dadhar
67.924,24.7469,ٹھٹہ
70.9098,29.3818,Alipur
71.0615,29.239,Uch Sharif
70.8459,29.5105,Jatoi Janubi
71.0223,29.5748,Shahr Sultan
68.8402,24.6552,Badin
71.5787,34.0124,پېښور
66.6612,24.8513,مبارک
67.581,24.7409,گھارو
72.9168,33.9911,Darwesh
72.9675,34.0019,Mankarai
72.9052,33.998,Aalaman
72.9072,33.9947,Doyaan
72.8881,34.0017,Dhinda
72.9834,33.9868,Sarai Saleh
72.8523,33.9729,Panian
73.0457,33.9443,Bhuttri
73.0295,33.95,Chattri
72.8838,33.9593,Kangra Township
72.8556,33.9343,Kot Najib Ullah
72.911,33.9069,Mang
72.9513,33.9082,Pind Kamal Khan
72.9619,33.9007,Galhum
72.879,34.9292,بشام
71.9722,34.616,بٹ خیلہ
71.8778,35.2072,دیر
72.9286,34.7864,Thakot
67.7262,30.381,زیارت
72.9335,33.9944,ہری پور
73.0784,33.9748,Bagra
72.9599,33.9914,Shah Mahmmad
73.2704,34.4714,Shinkiari
73.2562,34.4344,Dhudial
68.3597,30.7014,Qila Saifullah
66.9497,30.3628,کچلاک
68.0937,30.8157,Nisai
67.7354,30.8254,مسلم باغ
67.3728,30.6219,قانوزئی
72.9594,33.9827,Ali Khan
72.9511,33.9878,Geher Khan
73.2812,33.8922,Lora Hazara
73.2743,33.9032,Noor Pur
73.2756,33.8821,Dhari Kayaala
73.265,33.881,Mohra Maira
72.9802,34.0655,Gorraki Mera
72.9646,34.0645,Jatti Pind
72.9874,34.0625,Lilloor
72.9946,34.0586,Teer
73.2271,34.0778,Raajoya
73.0771,34.0042,Balldher
72.7928,33.9155,Tube Well
72.7806,33.9226,Paidane
72.7769,33.9007,Jharee Kas
72.7613,33.8761,Shahiya
72.7474,33.8875,Sultanpur
72.7661,33.8883,Utmanabad
72.8184,33.9416,Sarai Gadahi
72.6925,33.9793,Khar Bara
72.6634,34.0053,Hamlet Colony
72.6439,33.9851,Dumrai
72.803,34.0133,Gudwallian
72.8248,34.0284,Sri
72.8435,33.9975,Bhera
72.832,33.9901,Kaalu Pind
72.7747,34.0414,Sirikot
72.7842,33.947,Chamba Pind
72.7962,33.9182,Dhingee
72.8206,33.9617,Koklian
72.1,31.1595,اٹهاره ہزارى
71.7667,30.6839,Ahmadpur Sial
73.0246,33.9239,Chapra
73.0396,33.9861,Shah Maqsood
73.0283,33.9948,Laban Bandi
73.0208,33.8875,Chajian
72.9954,33.8375,Khohi Kaman
73.0641,33.8045,Baghpur Dheri
72.907,33.8056,Khan Pur
72.8999,33.7885,Tarnawa
72.88,33.7742,Julian
72.8682,33.856,Kamal Pur
72.9117,33.8715,Pind Muneem
72.9303,33.8662,Barila
73.0417,33.8607,Tramkan
73.0635,33.864,Sarral
73.0806,33.8688,Chapprian
73.0864,33.8732,Dharra
73.1004,33.8867,Sari Bang
73.1281,33.9149,Dubran
73.1742,33.9045,Jabbri
73.1539,33.8883,Nalla Hazara
74.1863,31.3814,بحریہ ٹاؤن‬‎
72.94,33.8756,Akhori
72.8404,33.9695,Paharro
74.3304,31.4502,PECO Factory
74.4413,31.4594,Lidher
74.4133,31.4529,Keer
74.389,31.4462,Kamahain
74.3456,31.445,Ghawala Colony
74.2364,31.4844,Niaz Baig
71.4725,30.198,مُلتان
72.9875,33.9811,Rehana
72.9664,34.0056,Mohrra Muhammad
73.1201,33.9963,Kailag
72.9817,33.9161,Thipra
72.962,33.9064,Govt. Primary School
72.9654,33.907,Govt. High School
71.5068,29.9662,Chak 5 Faiz
71.6021,29.9765,Chak 15 MR
71.5702,29.9808,Chak 21 MR
71.5721,29.9522,Makhdumpur
71.6092,29.9461,Chak 132
71.6103,29.9302,Chak 379
71.5768,29.9881,Chak 17 MR
71.5507,29.9865,Chak 3 Faiz
71.5654,30.0063,Chak 20 MR
71.5974,29.9975,Chak 16 MR
71.5852,30.0172,Chak 18 MR
71.605,30.0219,Chak 12 MR
71.5864,30.0406,Chak 11 MR
71.6185,30.0366,Chak 9 MR
71.5663,30.029,Chak 19 MR
71.6169,30.0069,Chak 13 MR
71.6233,30.2238,Laluwala
71.5074,30.2986,Nilwala
71.5172,30.3191,Lutfabad
71.5477,30.3653,Nurpur
71.5314,30.3749,Bosan
71.6084,30.2615,Jharianwala
73.0652,33.6938,اسلام آباد
63.2357,25.844,بيدارك
62.0695,25.1227,Pishukan
61.7965,25.1079,Laura
65.4645,25.3964,Kund Malir
62.3576,26.3401,Karpāsi
73.3884,34.0717,Nathia Gali
73.4034,34.0506,Donga Gali
73.447,33.9408,Bhurban
69.7031,28.0522,Daharki
73.3526,34.5507,بالاکوٹ
68.4942,25.8042,Bhit Shah
73.3748,31.7152,Sangla Hill
71.7591,30.404,Kukkar Hatta
71.7729,30.2636,Kot Abas Shaheed
71.7327,30.2369,Moza Lothar
71.6506,30.2256,Mauza Tataypur
73.7248,35.5113,Bāsha
73.5508,35.5254,Shatiāl
73.6035,35.519,Harban
73.5007,35.5155,Sazīn
73.197,35.4249,Gayal
73.2095,35.3339,Uchār
73.1987,35.3493,Kuma
73.1923,35.3262,Kauge
73.2016,35.3794,Duga
73.3113,35.5048,Banda-i-Sazin
73.1947,35.2939,Zalu
73.224,35.2686,Dasu
73.2172,35.2604,Kamila
73.2171,35.2527,Jalkot
73.2032,35.3,Chuchung
73.1123,35.1859,Kirb
73.1403,35.2033,Alwai
73.1408,35.2123,Lautil
73.1782,35.2429,Jai
72.9908,35.0898,Kawāi
73.1545,35.2231,Mate
73.096,35.1646,Kusser
72.999,35.0999,Pālas
73.0661,35.1429,Leo
73.0052,35.1102,Patan
73.0478,35.1124,Sigel Kan
73.1136,35.1464,Kunsher
72.925,35.0386,Jijāl
72.9669,35.0481,Kolai
72.9331,35.0295,Muhara
72.9566,35.0607,Serai
72.8878,35.0091,Shālai Qala
72.9121,35.0199,Shamalgul
72.9488,35.0588,Sandār
72.8947,34.9534,Pandiār
72.9479,34.8581,Khān Banjār
72.8858,34.9467,Kuz Kalai
72.9433,34.8645,Jabagai
72.9814,34.85,Jambera
72.8785,34.9429,Munjai
72.9113,34.9813,Kishar
72.9862,34.8444,Piplai
72.9108,34.8753,Shiwi
72.8852,34.8829,Shang
72.8664,34.8941,Kund Saiyidān
