x,y,name
121.0486,14.651,Quezon City
121.0114,14.5547,Pio del Pilar
121.0618,14.5822,San Antonio
120.9975,14.5313,Baclaran
123.7161,13.1484,Daraga
123.7343,13.1389,Legazpi
123.5081,12.9658,San Rafael
123.5986,12.9077,Donsol
123.6996,13.1055,London
123.6757,12.9753,San Jose
123.6987,13.1027,Washington
123.6946,13.0101,POI-C V
123.677,12.9518,Mabanate
123.697,13.0124,Poctol
123.7146,13.0322,Danlog
123.655,12.9232,Santa Fe
123.6692,12.9369,Calongay
123.7371,13.1554,Cruzada
123.6665,12.9284,POI-C Village
123.5908,12.9112,Dancalan
123.66,12.9586,Cagdongon
123.6774,12.9651,Abas
123.6846,12.9885,Bayasong
123.7148,13.0195,Putiao
123.7086,13.0594,Mayon
120.5879,15.14,Angeles
120.2835,14.8315,Olongapo
122.2611,13.8825,Lopez
120.6012,16.3851,Camp 7
120.6068,15.799,San Manuel
120.5858,15.6687,Paniqui
120.6006,16.3978,Camp 8
120.567,15.9754,Urdaneta
120.5986,15.6069,Gerona
120.4878,16.2295,Rosario
120.5103,16.1725,Sison
120.5896,15.486,Tarlac City
121.1759,14.587,Antipolo
120.9444,14.1547,Maymanga
123.185,13.624,Naga
120.25,15.65,Bamban
120.6682,16.0644,San Manuel
121.5262,16.5116,Cabarroguis
122.4293,17.0628,Palanan
120.5918,16.0444,Binalonan
121.3031,13.3242,Naujan
120.4453,17.2941,Santiago
120.2939,15.7885,Mangatarem
120.922,14.1696,Amadeo
120.6436,18.511,Burgos
121.3382,15.451,Gabaldon
123.7912,13.2926,Bacacay
120.8872,16.3581,Kayapa
120.9006,17.0845,Sagada
121.3524,14.0216,Santa Cruz
119.9291,15.6271,Candelaria
120.9179,15.5843,Talavera
121.7327,17.6126,Tuguegarao
120.8673,16.991,Bauko
121.9561,16.1416,Dinalungan
120.5349,14.7213,Abucay
120.5893,17.5704,Pidigan
123.5002,13.257,Oas
123.6553,13.1816,Camalig
121.6931,17.0679,Burgos
