x,y,name
35.1296,31.8269,הר אדר
35.1704,31.886,بيتونيا‎
35.1952,31.9031,رام الله
35.1687,31.8623,גבעת זאב
35.1428,31.6762,נוה דניאל
35.1815,32.0852,سلفيت
35.1361,32.1619,עמנואל
35.2987,31.7706,מעלה אדומים
35.0547,32.0329,בית אריה - עופרים
35.2569,32.2205,نابلس
35.0945,31.5289,الخليل
34.3025,31.3458,خان يونس
35.2976,32.4619,جنين
34.2558,31.2752,رفح‎
34.3497,31.3238,عبسان الكبيرة‎
34.3251,31.3425,بني سهيل
34.3584,31.3073,خزاعة
34.3445,31.3406,عبسان الصغيرة
35.3438,32.127,عقربا
35.3349,32.1791,بيت فوريك
35.3721,32.1919,بيت دجن
35.213,32.1989,تلّ‎
35.2571,32.1521,حُوّاره‎
35.2022,32.1317,جمّاعين‎
35.0588,32.1761,عزون
35.0463,32.1528,كفر ثلث
35.0255,32.0648,دير بلوط
35.0401,32.0952,الزاوية
35.3689,32.3211,طوباس
35.3498,32.3507,عقابة
35.2808,32.4085,قباطية‎
35.2299,32.4839,اليامون
35.2535,32.4775,كفر دان
35.2617,32.454,برقين
35.1693,32.4463,يعبد
35.4018,32.4898,فقوعة
35.4153,32.4598,جلبون
35.3635,32.455,دير أبو ضعيف
35.3518,32.4957,دير غزاله‎
35.3133,32.5085,الجلمة
35.1676,32.5012,عانين
35.2033,32.4046,عرابة
35.2457,32.3563,صانور
35.2739,32.3473,ميثلون
35.291,32.328,سيريس
35.3017,32.335,الجديدة
35.3141,32.363,صير‎
35.288,32.3862,مسلية
35.1074,32.37,علار
35.0768,32.3524,دير الغصون
35.0718,32.3697,عتيل
35.0499,32.3853,زيتا
35.0835,32.4336,قفين
35.1305,32.4498,زبدة
35.2282,32.5078,السيلة الحارثية
35.2234,32.544,زبوبا
35.2059,32.5239,رمانة
35.0662,31.8694,بيت لقيا
35.0725,31.8851,خربثا المصباح
35.085,31.8958,بيت عور التحتى
35.0593,31.9066,صفا
35.072,31.9286,بلعين‎
35.0457,31.9488,دير قديس
35.0222,31.9456,نعلين
35.0042,31.9357,المدية
34.9927,31.9661,بٌدرُس‎
35.0112,31.9774,قبيا
35.039,31.9865,شقبا
35.0683,31.9988,دير أبو مشعل
35.0689,32.0155,عابود
35.0191,32.0287,رنتيس
35.104,32.0319,بيت ريما
35.0835,32.0663,كفر الديك
35.0988,32.072,إبروقين‎
35.1503,32.0689,فرخة‎
