x,y,name
31.4667,22.2,Faras
34.45,22.1333,Bi'r Jugub
34.2667,22.0167,Legag
34.15,22.2,Ed Deiqa
34.4667,22.0667,Elei
35,22.65,Gebel Korab Kansi
35.2333,22.1833,Bir Kujoj
35.6667,22.65,Bi'r Megwel
35.8833,22.2167,Bi'r Meheriqa
35.5667,22.35,Bir Meisa
35.1833,22.7833,Gebel Meneiga
35.2667,22.2167,Bi'r Mentil
35.05,22.1,Bi'r Miaus
35.0333,22.7833,Bi'r Madi
35.3,22.7,Bir Mugur
35.6667,22.9667,Laqon
35.2,22.7833,Bi'r Munayjah
35.8167,22.1333,Bi'r Mashushenai
35.7167,22.2667,Qara Saba
35.0167,22.7,Bir Sararat Saiyal
35.4667,22.3167,Bir Qidmib
35.75,22.2167,Bi'r Nubetra
35.5833,22.0667,Gebel Suruk
35.6833,22.4667,Tamagayet
35.7667,22.7667,Marsa Shaab
35.5167,22.3333,Shakafa
35.2167,22.35,Bi'r Shenai
35.7833,22.05,Gebel Shiab
35.65,22.75,Umarawi
35.55,22.4333,Bi'r Umbeshtit
35.3333,22.55,Tibashoi Tomakolat
35.4167,22.5833,Tibashoi Tumalhoi
35.6667,22.4167,Titailibab
35.3333,22.4667,Bir Um Rasein
35,22.1167,Gebel Um Reddam
35.2833,22.2167,Bi'r Abu Ma'
35.6667,22.95,Mersa Abu Tuueina
35.3167,22.2667,Bi'r Adar Gwagwa
35.25,22.3,Bi'r Adered Furai
35.2833,22.35,Bir Abu Hodeid
35.2833,22.3667,Gebel Abu Hodeid
35.2833,22.65,Bi'r Baaneit
35.2667,22.3833,Bi'r Aodis Maaleq
35.75,22.1333,Da-aiyob Wushaq
35.3333,22.25,Gebel El- Dargaga
35.5,22.6667,Bansit Plain
35.1167,22.55,Bi'r Bint Ad Durayb
35.2333,22.6667,Bir Degdib
34.9,22.0833,Bir Egat
34.8667,22.0833,Gebel Egat
35.9667,22.4667,Einiwai Hill
35.6333,22.5,El-qurun
35.75,22.75,El Wadah
35.6167,22.2,Gwarar Aweib
35.5333,22.2833,Hadal Aweb Meisa
34.9833,22.25,Gebel Heianai
35.6667,22.35,Hesm El Kimeila
36.3833,22.4333,Bi'r Jarid
36.6,22.25,Ras Jaziyal
36.8833,22.05,Kuatianai
36.3,22.0833,Kurbab
36.7833,22.1,Bi'r Kwareitri
36.4167,22.2167,Karam Elba
36.3167,22.1333,Salalat O-sir
36.5167,22.2667,Bir Sarara
36.4167,22.15,Sararat Serimta
36.25,22.6,Marsat El- Qad
36.2833,22.2333,Qash Amir
36.3,22.1833,Migwal Qeirat
36.4,22.1667,Bir Rabdeit
36.4333,22.15,Rai Berer Kwan
36.65,22.2167,South Anchorage
36.4833,22.0833,Tamiam
36.0667,22.65,Shakrat El-delam
36.5167,22.0167,Gebel Shallal
36.2833,22.55,Marsa Shaqra
36.1,22.4,Shashotiai
36.55,22.3,Marsa Teremdai
36.4167,22.2333,Ti Lagaga
36.3333,22.3667,Migwal Ti Sarobi
36.3833,22.2333,Bir Titwila
36.35,22.05,Migwal Yakidei
36.35,22.4,Sherm El Yoida
36.6412,22.2204,Halaib
36.0833,22.6667,Adaldeib
36.3167,22.2333,Asut Duk Pass
36.4833,22.0167,Bir Baanit
36.3,22.2167,Bir Aqwamtra
36.4833,22.25,Bir Alafot
36.7667,22.1167,Bir Eidi
36.3167,22.4,Eif Onqwab
36.0833,22.15,Eitegan Plain
36.35,22.1833,Gebel Elba
36.0333,22.3833,El Khil
36.0333,22.3333,Foqat Bur
36.7667,22.1,Bir Harbob
36.3167,22.1167,Gur
36.3667,22.25,Kansisrob
36.1667,22.4167,I Hubal
36.8,22.05,Gebel Hadarba
36.2,22.2667,Hamadorab
36.2,22.7833,Jazair Siyal
36.65,22.2667,Jazirat Hala'ib
25.1,21.8833,Ain Murr
25.2333,21.8833,Chunk Hill
27.75,21.5833,Great Selima Sand Sh
29.7667,21.1,Faki Adam
31.3713,21.7929,Wadi Halfa
31,21.4333,Jelli Island
31.1,21.6167,Kagnarti
31.0833,21.6167,Kagnarti Island
30.65,21.0667,Kulb Island
30.6333,21.0833,Kulb West
30.5778,21.0069,Meinarti Island
30.75,21.25,Melik En Nasir East
30.75,21.2833,Melik En Nasir West
30.9833,21.5167,Melik Island
30.9833,21.45,Miskanarti Island
31.1,21.6333,Mugufini Island
30.9,21.25,Major Owens' Tomb
31.0333,21.3833,Murrat
31.1917,21.6667,Murshid
31.1667,21.8,Mataka
31.1,21.5667,Saras
31.0333,21.5667,Saras West
30.6036,21.0047,Sarkamatto
31,21.5,Lake Nubia
31.4667,21.75,Station Number 1
30.8667,21.3,Susinarti Island
31.0167,21.4667,Semna
30.9667,21.4667,Semna Island
30.95,21.4833,Semna West
31.1833,21.8,Shargandi Island
31.05,21.55,Shelfak
31.0833,21.6667,Shoboka
30.7333,21.1333,Ukma East
30.6333,21.1667,Ukma West
30.7333,21.25,Tanjur Island
31.2833,21.9,Temple Of Behen
30.9833,21.4833,Temple Of Kumna
30.9833,21.4333,Tila Island
30.6667,21.2167,Sonki West
30.7333,21.2833,Turmukki Island
30.6974,21.0832,Akasha
30.6963,21.1953,Sonki East
30.6606,21.0481,Kulb East
31.1833,21.8333,Abka
31.2333,21.8,Abka East
30.9833,21.4167,Attiri West
30.9,21.2917,Ambigol
30.9167,21.25,Ambigol Rock
31.3,21.9,Anqash
30.5389,21.0556,Akasha
30.6833,21.1167,Hammam Akasha
30.7333,21.1,Akasha East
30.65,21.1,Akasha West
31.3833,21.9167,Dabarosa East
31.3167,21.95,Dabarosa West
30.55,21.0333,Dal
30.55,21.0167,Dal Catara
30.5833,21.0167,Dal Cataract
30.95,21.35,Duweishat East
30.95,21.3667,Duweishat West
31.2,21.7333,Gemai
31.1667,21.7417,Gemai West
30.5667,21.0167,Kanarti Island
31.2833,21.8667,Halfa Degheim East
32.2,21.2833,El Mahattah Raqm Arb
31.7167,21.6,El Mahattah Raqm Ith
31.9667,21.5,El Mahattah Raqm Tha
32.1167,21.3833,Sharkoz Hill
32.1667,21.5,Nasb Enat
32.55,21.8833,Bab Korosko
32.9167,21.05,Abar Murrat
32.9167,21.2333,Rafit
32.3667,21.0333,El Mahattah Raqm Kha
32.95,21.25,Tilat As Sufar
32.9333,21.0167,Hagar Et Timsah
32.5833,21.95,Bab As Silk
32.7833,21.2,Umm Gerifat
32.75,21.1167,Umm Nabari
32.5583,21.1833,Nasb Atiliya
32.5833,21.9167,Khashm Al Bab
32.9833,21.3833,Bint Rafit
32.8833,21.1833,El Medina
32.7833,21.5833,Bi'r Hatab
34.3167,21.2,Bi'r Labasoi
33.8193,21.2717,Bir Naba
34.1333,21.0667,Bi'r Tarfawi
33.5833,21.5,Bir Abaraga
34.2833,21.8167,Aliab
34.15,21.6333,Abu Tabaq
34.2,21.45,Abu Tabaqend
33.8844,21.2583,Bi'r Adarabit
33.8753,21.4686,Adeloiab
33.5814,21.5072,Bir Abu Araga
34.1,21.8,Abu Dawm
34,21.7667,Bir Hesmet Omar
33.2,21.5333,Nasb Hamuda
34.7,21.1833,Bi'r Liseila
34.6167,21.9167,Koatil
35.5833,21.35,Bi'r Meisa
34.9583,21.9992,Bi'r Nesht
35.9628,21.9764,Gebel Sadratamoi
35.3667,21.55,Bir Salala
35.0833,21.6833,Nisari
34.8733,21.4514,Bi'r Sohanit
35.1167,21.8833,Walwal
35.7667,21.2833,Bi'r Amat
35.0833,21.8667,Da-asir
35.25,21.45,Bisharin Umm Ali Amr
35.15,21.95,Deraheib
35.9506,21.1264,Hannar
35.3667,21.6,Bi'r Haraf
35.05,21.9833,Bi'r Kamotit
34.8333,21.6667,Homogaiab
35.6739,21.8857,Bi'r Is
35.5382,21.9335,Gebel Is
36.2,21.6667,Kimoikwan
36.3167,21.0583,Jabet
36.2167,21.4167,Karbanit
36.5167,21.7167,Mangurta Pass
36.8167,21.85,Bir Marob
36.3,21.4333,Okwak
36.3833,21.8833,Olak
36.8667,21.7667,Marsa Oseif
36.4667,21.25,Bir Otau
36.25,21.25,Nafilium
36.4,21.8833,Maua
36.5,21.5,Sadab
36.1583,21.4833,Salala
36.8667,21.2667,Salala
36.4167,21.0667,Sal Lom
36.2167,21.55,Salmab
36.2056,21.1278,Bir Sarafa
36.75,21.5333,Sarara
36.2167,21.5833,Bi'r Saratri
36.8833,21.7833,Mersa Ribda
37.1667,21.1667,Shajarah Peninsula
36.2333,21.4167,Shantirab
36.5833,21.7333,Shantirab Umm Ali
36.3667,21.9167,Shibeib
37.05,21.2833,Shuma
37.1833,21.05,Roweiya
36.25,21.05,Teilab
36.2583,21.0583,Bir Thamiameb
36.8333,21.95,Tisala Plain
36.3833,21.1333,To Amai
36.9167,21.1,Tokarai
36.2,21.3167,Soria
36.2333,21.2833,Torisheit
36.9167,21.1333,Tuhudet
36.1556,21.9333,Oyo
36.8667,21.5833,Marsa Wasi
36.4667,21.8167,Yastut
36.8667,21.8167,Umm Siad
36.7384,21.7496,Fudukwan
36.3194,21.0546,Gabet Al Maadin
37.2333,21.0667,Ras Abu Shagara
36.3333,21.2,Aata
36.2833,21.05,Bir Adal Nakash
36.1667,21.6667,Adarkwan
36.6944,21.5,Adashia
36.1833,21.65,Bir Abu Balna
36.9333,21.4833,Marsa Abu Imama
36.45,21.6667,Dadit Arit
36.6833,21.65,Danawi
36.3333,21.5,Bisharin Umm Ali
36.95,21.5167,Delau
36.35,21.6833,Ei-awit
36.625,21.8,Farokit
36.8333,21.9667,Gabatit
36.9167,21.5833,Marsa Gafatir
36.4167,21.1167,Galhosh
36.55,21.1333,Hangol Pass
36.8333,21.4,Hannar
36.9667,21.0667,Harriam
36.4167,21.8167,Hateib
36.15,21.8667,Gumeitri
36.1667,21.9167,Gumeitri Hills
36.3333,21.1667,Gwogab
36.8667,21.6333,Hebikwan
36.4667,21.1167,Bir Horat
36.75,21.2667,Hura
36.3333,21.7,Hadein
36.95,21.4167,Bir Halaka
37.0167,21.4,Marsa Halaka
28.0333,20.05,Laqiya Arba'in
27.6833,20.9167,Burg Et Tuyur
30.6078,20.0194,Kedurma
30.58,20.0161,Koka
30.5011,20.8422,Kosha West
30.4,20.3833,Koyamatto
30.35,20.6667,Koyeka
30.3,20.6833,Krombus Island
30.5853,20.0469,Moga Island
30.5925,20.845,Mograka East
30.5211,20.8656,Mograka West
30.5667,20.85,Mograkka East
30.5333,20.8667,Mograkka West
30.2833,20.7,Morka
30.3167,20.7,Morka Adu
30.5703,20.2083,Magadib
