x,y,name
45.3386,2.0428,Muqdisho مقديشو
43.6445,3.12,Baydhabo بيدوا
43.8916,4.1237,Xudur حودور
44.7699,1.7148,Marka مركا‎
45.5099,2.7764,Jowhar جوهر‎‎
45.1193,2.1465,Afgooye أفجوي
44.5306,1.7897,Qoryooley قوريولي
42.5409,-0.3602,Kismaayo كيسمايو
42.2849,2.3372,Baardheere بااردىرآ
42.7506,0.0722,Jamaame جمامة‎‎
45.5936,3.3872,Jalalaqsi
42.5451,3.7996,Luuq
42.7764,0.4938,Jilib جيليب
44.0785,2.7948,Buurhakaba بورحكب
44.8936,2.6192,Wanlaweyn ونلوين
44.031,1.1128,Baraawe مدينة ﺑﺮﺍﻭة‎‎
49.18,11.2785,Boosaaso بوصاصو
46.3828,5.5362,Dhuusamareeb دوسمريب
45.2041,4.7356,Beledweyne بلد وين
42.5833,1.0833,Bu'aale بوأل
47.4308,6.7697,Gaalkacyo
48.4832,8.4061,Garoowe غاروي
47.37,10.6181,Ceerigaabo عيرجابو
43.3469,9.9858,Baki
45.0134,10.4386,Berbera بربرة
51.2756,10.4167,Xaafuun حافون
49.9501,11.4741,Butiyaalo
49.8734,11.4719,Qandala كاندالة
50.5041,11.7474,Geesaley
51.058,11.8707,Bereeda
51.2549,11.7475,Tooxin
51.078,11.2868,Bargaal برغال
51.1336,10.5635,Hurdiyo هرديو
49.6847,11.4722,Buruc
49.3008,11.3318,Mareroo
49.1964,9.7495,Guud Cad
49.0903,9.8626,Samaysa Dheer
49.0538,9.9562,Xidda
50.2307,10.2828,Iskushuban
48.5264,5.3495,Hobyo (Obbia)
47.1812,3.8488,Xarardheere
49.0624,10.2683,Dalweyn
49.0848,10.4692,Laas Dawaco
49.0485,10.6263,Ceel Doofaar عيل دوفار
49.2537,10.8298,Caiodo
49.2187,10.9823,Karin
46.2676,8.9248,Wadamago by eng:shibiin
45.9695,9.0711,Qoryale
45.9549,9.143,Inaafmadow
43.4747,11.3535,Zeylac زيلع
46.7194,10.7763,Mulaax Beyle
43.6199,9.6983,Gebiley غابيلي
41.9662,2.4454,Siidimo
44.6936,9.9524,Sheekh Abdal شيخ أبدال
43.4782,9.6798,Kalabey كالابايض
44.3547,9.6931,Dirgau
44.4059,9.7277,Nand
42.5269,3.7941,Dagaalyahan
42.2219,3.3293,Garbahaarrey جربهاري
45.0581,2.6334,Aw-Erile
43.0129,2.4192,Bunbeegey
43.4047,2.8978,War Jinay
45.428,2.2293,Dab-Dheer
45.1146,2.5726,Xaaji Cabdule Macalin
46.6681,6.6073,Deeqlo
48.5298,10.0707,Gooraan
46.4687,4.1481,Damairor
45.7349,3.0514,Lebileey
44.9889,1.8464,Beled Amin
43.3107,2.7807,Robay-Gaduud
45.0559,3.5551,Raso
44.832,1.8471,Buulo Nuugiriish
45.5242,4.0821,Hilo-Shiidle
44.9555,2.7301,Dooha
42.2239,-0.4666,Qod-Qod
42.3162,2.185,Shiraaw Gomorey
45.0337,2.5993,Eerinley Barbaar
45.357,9.3433,Jameecaadka
42.5006,1.8967,Juwaarey
44.1304,2.8073,Bamburaale
45.6576,2.8363,Aroos-Beenaad
44.5779,1.5782,Boorow
46.2675,8.9245,Wadaamagoo
44.7866,1.8713,Ciroole
45.393,2.9098,Giirwayn
45.1766,4.8084,Garaash
44.1449,2.6725,Guunyo Rooble
42.6189,0.9703,Bidi
44.9836,2.4896,Xabaalo Fiile
44.0239,3.2363,Barow
46.209,3.5079,Xirka Dhere
43.3836,2.8909,Buulo Garas
43.5748,3.5823,Haarri
42.3543,2.2365,Uusla
43.9829,1.4971,Bulo Uaiama
44.3417,1.4246,Macalin-Xabiib
44.316,10.1613,Saley
43.1161,3.0582,Sanjuurey
41.8533,3.8215,Ibrahim Mursal
43.3131,3.1946,Buulo-Maalin-Eedin
42.7706,0.2501,Shungul Mafuula
44.9959,2.6821,Duuban
44.6919,2.2323,Marerawe Jilal
43.543,9.6004,Boodhley
42.1236,2.3596,Tawakal
45.3952,2.2799,Caro-Faag
44.051,1.2186,Feytaan
42.0769,2.3743,Jungal
43.4652,3.3378,Olda
44.1927,2.9381,Banyale Yarow
43.817,2.9048,Warabaale Yare
41.959,3.9017,Wariiryale
44.6387,2.2417,Dadbaa
49.3124,8.3987,Gubato
42.1769,3.7507,Laba Naasyo
43.1494,2.6552,Debweyn
44.3886,1.7221,Cawjab
45.1454,2.7938,Garas Moqorrey
43.8681,4.0364,Saafi Rooble
41.5292,0.9523,Uar Corah Irai
44.5097,1.7446,Xaaji Abuukar
45.609,3.7875,Hor Wado
45.2729,2.4621,Dhurweyle
43.7568,2.9632,Ganber
44.85,2.4996,Aw Cariif
44.7842,9.0789,Cabdi Dheere
42.756,0.2261,Isaao
43.4015,3.6198,Faajar Garoowe
42.8567,2.7999,Buulo-Gaduud
44.5898,1.6638,Muuto
41.8908,3.8405,Aqallo
43.578,3.9178,Jebel
44.9833,2.0887,Bulcida Macalinka
41.9296,3.879,Tuulo Qallooc
47.4391,6.1816,Ceelamood
45.4436,9.6865,Karasharka
43.2031,3.7048,Garas Shimbirow
43.7353,2.8961,Kurkuri
44.7648,2.4968,Awkoore
44.2778,3.9354,Barsi
46.2274,8.5538,Qorilugud
45.0127,2.6971,Xaliimow
43.4396,3.122,Buulo Anjero
44.5804,2.0067,Haduuman Hilowle
45.6259,4.1718,Dhaxlar
50.0716,9.7975,Ciddei Jebis
47.8478,7.6264,Libaaxo
43.9886,1.2031,Tiiroow
49.5225,10.0676,Kuddo
45.3428,4.4925,Seddex Boqol
44.1248,4.0386,Buulow Hawo
41.9001,0.7723,El Fangal
41.9832,-0.6319,Buulo Xaaji
44.2601,4.0191,Godli
42.4932,3.2045,Mashruuca
45.5175,2.7065,Raqayle
43.9464,9.5251,Xagal
46.2918,3.6951,Shuute
45.6032,4.6652,Cali Ganeey
44.3762,3.9685,Janaay
43.1355,9.9867,Fulin-Fulka
44.6794,2.1417,Osman Bati
43.3365,3.6882,Duuray
45.0013,1.8647,Aw Xalow
44.7608,2.4306,Bulo Hussen Mamo
51.0175,11.3444,Coomaay
42.4347,-0.3761,Warta Gedaqor
44.2468,2.8201,Gabiushaale
49.4389,7.7109,Godbalayskutumay
45.2836,4.5418,Beled Amiin
43.7708,4.15,Bakaro
42.4398,4.0111,Lafaale
49.3679,9.8287,Xabaal-Reer
45.5792,2.7484,Beera Lilaad
43.4499,2.9872,Ray-Dabale
50.0815,10.9897,Markadaan
43.5598,3.2596,Buulo Gurbo
44.5175,1.6633,Taxliil
44.9774,2.5433,Haway Barkatle
45.4656,10.1078,Dhuumood
