x,y,name
34.3833,5.8417,Moru Kimod
34.2833,5.8667,Natibok
33.8667,5.8667,Kanopir
34.4333,5.8667,Kabalatigo
34.0856,5.8833,Neria
33.8215,5.8923,Ngechele
31.6724,5.9259,Mathiang
33.7917,5.9285,Kenamuke Swamp
31.6954,5.9318,Panwel
34.1667,5.95,Lochiret
31.6782,5.9615,Kaigo
31.8383,5.969,Maktiweng
31.6601,5.9722,Pariak
33.75,5.9833,Lowelli
34.25,5.9833,Katchikan
34.3,5.9833,River Bellel
34.5083,5.9833,Kichepo
34.0333,6.0167,Rigl Chilimun
34.8833,6.0333,Logoda
31.6203,6.0394,Mabior Kech
31.6453,6.0485,Jalango
34.55,6.05,Wowa
31.6064,6.0675,Malek
33.65,6.0833,Katanich
34.5167,6.0833,Titong
34.9833,6.0833,Munini
31.8,6.1,Awan
31.7876,6.1015,Aluk
31.7306,6.1361,Kolnyang
31.71,6.11,Gwalla
31.7006,6.1113,Cuei Machar
34.0667,6.1167,Pajok
31.74,6.12,Tukls
31.7315,6.1286,Wurrier
34.25,6.1333,Karita
34.4167,6.1333,Nyelichu
34.5667,6.15,Balwan
33.6087,6.152,Nongwoli
31.7306,6.1531,Adol
31.5757,6.1601,Melwal
31.7762,6.1609,Makjokoy
31.7483,6.1635,"Jalle, Baidet & Kolunyang"
34.65,6.1667,Gurbi
34.7,6.1667,Gurgo
34.4603,6.1685,Upper Boma
31.5711,6.1706,Panapet
31.8465,6.1782,Nyap
34.3926,6.1795,Boma
31.81,6.18,Kwal Tiu
34.389,6.1804,Towoth
31.7397,6.1806,Mallid
31.8085,6.1818,Anyidi
31.9873,6.1818,Macdit
33.9667,6.1833,Marongodoa
31.7895,6.1854,Pateroping
31.7833,6.1857,Brong
31.7932,6.1859,Lual-baar
31.7374,6.188,Mabior Leek
32.0194,6.1901,Mallau
31.6273,6.1933,Panpandiyar
31.9466,6.1979,Pengko
31.7173,6.1981,Deng Shol
34.42,6.2,Towot
34.67,6.2,Mewun
31.5649,6.2052,Dongloch
31.5611,6.2126,Bor
34.6737,6.2088,Meino
31.556,6.2098,Magwar
34.6833,6.2167,Meyun
31.7008,6.219,Kuidko
31.7809,6.2214,Makuac
31.5682,6.2262,Mading
31.5839,6.2313,Lekyak
33.4667,6.2333,Lyodein
31.6992,6.235,Ruar-leek
34.0024,6.2361,Maruwa Hills
34.6771,6.2373,Khuts
31.5439,6.2406,Ashandit
31.552,6.2415,Areit
31.5714,6.245,Langbar
34.5451,6.2452,Gigiman
32.3777,6.2479,Orarak
31.5835,6.2486,Leudier
34.3667,6.25,River Tigaro
31.5997,6.2505,Dilchiek
31.5515,6.2534,Nyikan
31.5515,6.2534,Chan
31.5722,6.2564,Gakyoum
31.738,6.257,Lual
31.5613,6.267,Twango
31.7354,6.2612,Atet
31.61,6.27,Fagiel
34.3924,6.274,Nyat
31.5667,6.276,Fagiel
32.436,6.2769,Manyigat
31.6119,6.2894,Chuei-nyok
34.4896,6.2904,Didi
31.6183,6.3,Falabai
34.5833,6.3,River Neubari
31.6148,6.3124,Palabach
31.5336,6.3203,Bor
31.6679,6.3227,Mabior Deer
32.4226,6.3235,Nangora
31.6111,6.3328,Bor Dinka
34.8,6.3333,Bin
31.6569,6.3403,Werngueny
33.3849,6.3647,Batimoru
31.657,6.3446,Werkok
31.9633,6.3669,Amwot
31.5561,6.3654,Bongor
31.65,6.37,Bong
31.6414,6.3715,Lual Liet
31.5314,6.3736,Dari
31.6509,6.3782,Makol Chuei
34.55,6.3833,River Boma
31.56,6.39,Anokwai
31.6075,6.4189,Fanoing
31.5537,6.4282,Padak
31.5643,6.4285,Mathing
31.5946,6.4327,Makol Cuei
31.5586,6.4346,Lual Leek
31.6268,6.4394,Fanom
31.6392,6.4421,Jokwe
31.5528,6.4424,Payuel
31.5476,6.4496,Chol Anyang
34.5167,6.45,Kaligum
31.624,6.4549,Gwet
32.402,6.455,Oyareng
31.6372,6.4613,Tong
32.5667,6.4667,Manyobal
31.5347,6.4681,Baidit
31.6276,6.4787,Diotig
31.6107,6.4805,Ashwilich
31.5054,6.4821,Dongdua
32.5833,6.4833,Mangtungtoj
31.49,6.486,Akoybeni
31.5236,6.4959,Awuol-thou
31.6116,6.5134,Nwot Gut
31.5394,6.5187,Biok Anyar
