x,y,name
15.0503,12.1192,N'Djaména انجمينا
20.8284,13.828,Abéché أبشي
19.689,13.2938,Oum Hadjer أم هاجر
18.3397,13.2126,Ati أتي
16.4497,12.8786,Ngoura نكورا
21.0219,13.5154,فرشنا Farchana
22.1979,13.4665,أدري Adré
20.55,13.9568,Goz Béïda قوز بيضة
17.5478,8.9189,Koumra قمرة
18.1714,9.2086,Djoli جلي
22.2463,15.1268,Iriba إريبا
15.3713,10.2816,Bongor بونقور
15.4396,12.4824,Massaguet مساقط
17.4288,21.8161,Aozou أوزو
17.0005,21.355,Bardaï برداي
15.787,9.3135,كيلو Kelo
16.0639,8.6116,Koutou - Bebo
15.7975,8.9751,كريم كريم Krim-Krim
20.2826,11.0396,Am Timan أم تيمان
18.6842,12.1843,Mongo مونقو
18.2177,11.9811,نيتكتن Bitkine
17.1629,11.7914,نجمة Ngama
17.0568,12.3763,Bokoro بوكورو
16.6734,9.2721,Guidari غيداري
16.9215,9.2348,Dono Manga دنو مانكا
19.0953,17.9209,Faya-Largeau فايا لارجو
22.915,15.5472,باهأي Bahaï
21.5813,17.1931,Fada فادا
15.1487,12.1794,Gaoui كاوي
16.8538,8.6592,Doba دوبا
18.3938,9.1406,Sarh صارح
16.5337,20.4547,زوار Zouar
15.3108,14.1234,Mao ماو
14.7144,13.4676,Bol بول
14.3538,14.2648,Rig-Rig ريك ريك
14.3667,14.2167,Guidan Dabo
14.2646,13.8681,Liwa
16.0738,8.5655,Moundou موندو
15.6942,7.7448,بيبوكمم Baïbokoum
17.5501,21.567,تومي Tommi
18.9443,9.4539,كيابي Kyabé
18.3454,9.1363,باليمبا
18.3463,9.1104,Kibala
18.3864,9.1013,Kissimi كسيمي
17.7653,8.338,Moïssala
15.8703,11.8064,دوربالي Dourbali
16.4908,13.6406,Moussoro موسورو
15.7349,12.9965,Massakory ماساكوري
20.8961,15.8404,كاليت Kalait
20.4882,19.056,Ounianga Kebir أونيانقا كبير
20.8798,18.9109,Ounianga Serir أونيانقا صغير
18.3134,9.2715,Helibongo
15.0536,12.3969,Djermaya جرماية
15.0525,12.3634,Tibite تيبيت
16.7908,8.5873,Bero
16.681,8.4949,كومي Kome
16.7584,8.5544,Banga
16.7353,8.5129,Begada
16.7046,8.467,كومي Kome
16.7249,8.4958,Doba Kurangati
16.8572,8.6835,Bedokasa
16.9202,8.6438,Bessama
16.863,8.628,Gidiku
16.2407,8.5329,Baikoro
15.2228,12.0031,أم جامينا Am Djamena
15.2187,12.232,Hamoud es Segoura
15.1929,12.2025,Karkam كركم
15.3038,12.0562,Linia لينيا
15.1869,12.0146,كليسوم Klessoum
18.7677,8.4152,مارو - Maro
22.7375,15.9378,Arso أرسو
22.835,16.0663,Amdjarass أم جرس
15.1432,14.0239,Medi
15.1079,14.0184,ميو Miou
14.9419,13.9173,Boudouté
15.2237,14.1185,Eri
15.166,14.1023,Métil
15.2438,14.0889,Mapal
15.241,14.0471,تشيلي Tchili
15.2029,14.0893,Yké
15.1122,14.0611,يو You
15.2379,14.0675,Medi
15.2822,14.1276,Ayouloum
15.0529,14.0294,Loufadou
15.2426,14.0799,Mapal 1
15.2765,14.1386,Ayouloum
15.266,14.1004,مولوري Molori
15.2256,14.0255,Diari
14.8392,12.9074,Baltram بالترام
14.7632,12.84,Karal كارال
16.6513,8.6796,Ndagna
16.6382,8.6768,Bengamara
16.6339,7.9387,مركز الأخوات centre des soeurs
16.591,8.6765,بيبيدخيا Bebedjia
16.6154,8.673,Bitanda
16.6035,8.6751,Dotogue
16.445,8.6119,Badilli
16.4666,8.6198,Bemboura
16.0173,8.5597,أريحا Jericho
16.52,8.1505,Timberi تيمبري
16.6178,7.9416,Kondjala كونجالا
16.6342,7.9247,Goré غوري
13.6128,14.4136,Daboua
14.0799,14.162,Goum
13.919,14.24,Kiskawa
14.0749,14.1225,Koudouboul
13.7127,14.3764,Kowa
13.9758,14.177,Magui
14.5606,13.2635,Nguéléa
14.313,13.537,باغا سولا Baga-Sola
14.3502,13.4121,Bouniklia
14.2933,13.3732,Boudjel
14.4006,13.272,Fodio 2
14.3688,13.3083,Kabia
14.4209,13.4535,Koumou
14.4992,13.3861,Momo
14.5234,13.3472,Nganamarom
14.4025,13.4307,Ngouya
14.4023,13.3615,Ridjibo
14.2191,13.7526,Indija 1
14.1525,13.8041,Baga Kiskra
14.2925,13.5973,Kartchia
14.1676,14.057,Kimi
14.2253,13.7352,Lagadi
14.1605,13.6253,Kourlom
14.2021,13.9108,Karé Katia
14.2991,13.7131,Mayala
14.185,14.0274,Miye
14.8315,13.5718,Ngaragou
14.4663,13.5799,Ngelea
14.1628,13.7297,Nguilimi 2
14.2085,13.6319,Kalia
14.1557,13.6783,Kafia
14.1851,13.6964,Kirdangoua
14.2116,13.6674,Soudoua Koura
14.3577,13.6217,Kolé Ngoudorom
14.5883,13.4839,Medi-Koura
14.7809,14.5827,نكو Nokou
15.1473,14.2938,Barkabolou
15.2356,14.2865,Bara
18.4907,16.0708,كورو تورو Koro Toro
15.435,14.4586,Ntiona
17.2186,14.8465,Salal سالل
15.7882,14.7218,Ziguey
18.9695,18.6011,Forrom
17.1333,21.3391,تيبورو Tieboro
18.0942,20.9277,Yebbi-Bou
17.9558,21.1025,يبي سوما Yebbi-Souma
15.4317,12.0153,Bomboyo بمبيو
17.4324,21.125,بورو Bouro
17.4243,21.1564,أويشي Ouoichi
17.5088,21.129,إديمبي Edimpi
17.3878,21.1842,أودوكسي Odouxi
17.1775,21.3216,أوسوني Osouni
17.3719,21.1725,يوبور Youbor
17.0773,21.3273,زوي
18.6009,18.1039,N'Gour-Ma
18.554,18.0866,N'gour-Digré
17.8972,21.3766,Omschi
23.0507,15.7183,مخيم أوري كاسوني
22.1299,15.1225,مخيم إريديمي
18.0735,9.003,Mangara
22.7946,15.0269,Tiné-Djagaraba تينا
21.8328,15.3018,باكاور Bakaore
21.2322,14.8451,برندوكوم Bornodoukoume
22.109,15.1834,Hadjer Adougoun Toun هاجر أدوغون تون
21.9411,15.4438,هاجر بينا Hadjer Beyba
21.2169,14.8428,ياوادا Yawada
20.9287,14.5252,Biltine بلتن
21.5075,15.0846,سليبي Selibé
21.6311,11.9976,Dalala دالالا
21.7415,12.0025,مخيم قوز عامر
21.661,12.0028,كوكو أنغرانا
21.6514,12.0015,Koukou Bornou
21.6459,12.0194,كوزيوت Kouziouet
21.4102,12.2256,Goz Beïda قوز بيضة
22.0761,11.9823,Marena
20.5674,13.7192,تشيغشيكا
14.3245,13.6776,Watani 1
21.3044,12.8082,Abdi أبدي
21.3099,12.7992,Domboli Djado
21.2803,12.8237,Sormon
18.7979,18.6159,Tigui
16.4693,8.1397,Iris
16.4178,8.1599,Donangra
18.5125,8.9844,Banda باندا
18.4309,9.0666,كمديري
18.4132,9.0388,Maïta
18.3732,9.0639,Mossiara Yanga
20.9064,9.9476,Haraze حراز
19.4908,11.1503,Abour
19.4958,11.4218,Adoungous
19.4902,11.4321,Alhidjer
19.6239,11.1538,Amboudoua
19.5912,11.2093,Amdamagnon
19.4919,11.243,Dagour
19.7786,11.3498,DARASNA
19.2776,11.4506,Aboudéïa أبو ضياء
19.328,11.1434,Kamour
19.4779,11.3191,Klentcho
19.504,11.3402,Kletch
19.2899,11.1509,Koumra
19.4853,11.4284,Labado
19.4342,11.2122,Liwi
19.2533,11.3614,Maragab
19.2411,11.1723,Tamadot
19.3801,11.0984,Tamaram
