x,y,name
36.1696,36.5911,İskenderun
32.8541,39.9208,Ankara
26.5587,41.6759,Edirne
26.414,40.1535,Çanakkale
27.2236,41.737,Kırklareli
27.888,39.6474,Balıkesir
27.8328,37.8413,Aydın
28.3638,37.2152,Muğla
30.3997,40.7848,Adapazarı
30.5387,38.7569,Afyonkarahisar
29.9753,40.1435,Bilecik
30.2887,37.7248,Burdur
31.1649,40.8459,Düzce
30.5256,39.7667,Eskişehir
32.4844,37.872,Konya
29.9873,39.4192,Kütahya
27.4256,38.6155,Manisa
29.4054,38.6795,Uşak
29.2729,40.6557,Yalova
35.3258,36.9936,Adana
43.7377,37.5749,Hakkâri
43.3745,38.5084,Van
44.0468,39.9216,Iğdır
36.1616,36.2191,Antakya
36.9275,37.5813,Kahramanmaraş
34.6293,36.8118,Mersin
36.2559,37.0737,Osmaniye
30.849,37.8741,Eğirdir
30.3004,37.9449,Keçiborlu
34.0269,38.3705,Aksaray
33.2225,37.1792,Karaman
35.4875,38.7225,Kayseri
33.5276,39.8486,Kırıkkale
34.1606,39.1461,Kırşehir
34.7136,38.6224,Nevşehir
34.6776,37.9712,Niğde
37.0145,39.7504,Sivas
34.8095,39.8206,Yozgat
35.8329,40.6503,Amasya
41.8287,41.1831,Artvin
32.3384,41.6338,Bartın
40.2241,40.2557,Bayburt
34.9602,40.5491,Çorum
38.3879,40.9149,Giresun
39.4757,40.4618,Gümüşhane
32.6231,41.1955,Karabük
33.777,41.3765,Kastamonu
37.8839,40.9805,Ordu
40.5196,41.0228,Rize
36.3294,41.289,Samsun
35.1507,42.0267,Sinop
36.554,40.3265,Tokat
31.7885,41.4525,Zonguldak
43.05,39.7201,Ağrı
42.7036,41.1103,Ardahan
40.4966,38.8852,Bingöl
42.1081,38.4002,Bitlis
39.2218,38.6763,Elazığ
41.4962,38.7406,Muş
39.4941,39.7496,Erzincan
41.2728,39.9063,Erzurum
43.102,40.6032,Kars
38.3179,38.3483,Malatya
39.5482,39.1081,Tunceli
38.2764,37.764,Adıyaman
41.1278,37.8834,Batman
40.2228,37.9167,Diyarbakır
37.3793,37.0612,Gaziantep
37.1169,36.718,Kilis
40.7214,37.324,Mardin
38.7916,37.1602,Şanlıurfa
41.9398,37.9313,Siirt
42.4606,37.5192,Şırnak
26.8206,41.5493,Havsa
26.6303,40.8549,Keşan
26.384,40.9217,İpsala
28.868,40.9835,Bakırköy
28.5955,41.0157,Büyükçekmece
28.9478,41.0193,Fatih
28.7809,41.0002,Küçükçekmece
28.2469,41.0732,Silivri
28.9036,40.9881,Zeytinburnu
29.0326,41.0293,Üsküdar
27.0907,41.4299,Babaeski
29.4318,40.8007,Gebze
27.9991,41.2851,Çerkezköy
27.8041,41.1591,Çorlu
26.7952,41.6694,Habiller
26.8579,41.6392,Hasköy
27.5855,41.4406,Ahmetbey
27.5468,41.4465,Emirali
27.4938,41.3734,Evrensekiz
27.0453,41.5996,Karahalil
27.3502,41.4887,Tatarköy
27.3888,41.4591,Turgutbey
27.703,41.3474,Beyazköy
28.1159,41.2359,Beyciler
27.7442,41.3347,Göçerler
28.9726,41.086,Kağıthane
28.68,41.0342,Esenyurt
26.7438,40.7595,Mahmutköy
26.8838,40.6061,Kavak
28.3242,37.9098,Nazilli
32.2009,40.7988,Gerede
32.65,40.4728,Kızılcahamam
32.645,41.058,Kayı
32.693,41.2457,Safranbolu
32.3867,41.7489,Amasra
33.0051,41.8918,Cide
32.7206,41.8448,Kurucaşile
32.6815,41.8296,Alapınar
32.4832,41.7784,Çakraz
33.4605,42.0056,Doğanyurt
33.7599,41.9786,İnebolu
33.9733,41.9796,Yakaören
34.0081,41.9782,Abana
34.2227,41.9531,Çatalzeytin
34.3361,41.9489,Türkeli
35.1996,41.8033,Gerze
35.5316,41.633,Yakakent
35.5973,41.6069,Alaçam
35.9072,41.5651,Bafra
39.3809,41.0824,Çarşıbaşı
39.2753,41.0477,Vakfıkebir
39.2306,41.0529,Beşikdüzü
39.1432,41.0642,Eynesil
38.9986,41.0335,Görele
38.8197,41.0056,Tirebolu
38.2281,40.9358,Bulancak
38.1247,40.952,Piraziz
37.7736,41.0669,Perşembe
37.4999,41.0292,Fatsa
37.2854,41.1262,Ünye
36.9721,41.209,Terme
42.3569,41.2525,Şavşat
41.6747,41.3602,Borçka
41.418,41.391,Hopa
41.3094,41.3521,Arhavi
41.1391,41.2675,Fındıklı
40.9879,41.1922,Ardeşen
40.7264,41.0893,Çayeli
40.4259,41.0243,Derepazarı
40.3617,41.0119,İyidere
40.1155,40.913,Sürmene
39.9321,40.9532,Arsin
39.8611,40.9549,Yomra
39.6136,40.8112,Maçka
43.1346,41.1266,Çıldır
43.1124,41.2523,Akkiraz
43.1701,41.3038,Akçil
42.1644,40.0404,Horasan
33.1188,39.9702,Lalahan
33.2342,39.9174,Elmadağ
33.3884,39.9331,Irmak
33.4533,39.8502,Yahşihan
33.7185,39.9101,Balışeyh
34.4671,39.6389,Yerköy
35.1854,39.8101,Sorgun
35.882,39.6627,Akdağmadeni
38.1129,39.876,İmranlı
40.3827,39.7785,Tercan
40.6943,39.9217,Aşkale
30.197,37.0667,Korkuteli
29.8614,36.1903,Kaleköy
34.8296,38.6421,Göreme
34.9116,38.6304,Ürgüp
34.7509,38.4608,Kaymaklı
31.845,37.42,Seydişehir
31.7909,37.0474,Akseki
30.4662,36.3891,Olympos
30.4741,36.4045,Çıralı
30.5618,36.6019,Kemer
27.6033,37.8703,Germencik
28.8579,41.0339,Bağcılar
27.2669,37.8632,Kuşadası
28.2724,36.8542,Marmaris
27.0951,40.6838,Gölcük
27.0929,40.7441,İshaklı
27.1079,40.7811,Sağlamtaş
26.9994,40.647,Yeniköy
32.7611,39.9893,Yenimahalle
32.1236,39.6094,Basri
30.831,39.5341,Doğançayır
30.6667,39.4082,Örencik
30.6716,39.3495,Sarıcailyas
30.6764,39.2757,Şükranlı
30.7152,39.2014,Yazılıkaya
30.5749,39.6323,Derbent
30.0506,39.9065,Bozüyük
29.3082,40.4921,Orhangazi
29.1571,40.4302,Gemlik
29.1347,40.3979,Engürücük
29.1231,40.3631,Kurtul
29.5096,40.08,İnegöl
29.661,39.9811,Yenikaracakaya
29.6576,39.9645,Rüştiye
29.6672,39.954,Eskikaracakaya
29.6934,39.9513,Osmaniye
30.7033,39.2311,Çukurca
27.291,36.9682,Akyarlar
27.4334,37.0395,Bodrum
27.3503,37.0494,Ortakent
27.2964,37.0298,İslamhaneleri
27.3213,37.0391,Gürece
27.331,37.0429,Yahşi
27.7815,37.3115,Milas
27.545,37.4406,Bafa
27.379,37.0305,Bitez
27.2952,37.1043,Yalıkavak
27.3776,37.1275,Türkbükü
31.4407,36.787,Manavgat
29.9875,36.2444,Demre
32.0011,36.5473,Alanya
33.0837,40.1298,Akyurt
32.9039,40.0397,Pursaklar
34.7341,38.373,Derinkuyu
34.8473,38.7189,Avanos
34.8401,38.6708,Çavuşin
35.0074,38.9601,Kalaba
35.0887,38.3523,Yeşilhisar
35.1821,38.6238,İncesu
34.8046,38.6294,Uçhisar
34.8652,38.6215,Ortahisar
34.9287,38.736,Sarıhıdır
34.9923,38.7107,Sofular
35.0096,38.7623,Bozca
34.884,38.7926,Göynük
34.8405,38.8108,Özkonak
34.3065,38.2384,Ihlara
34.3718,38.276,Güzelyurt
31.5361,39.4496,Sivrihisar
28.1403,37.3402,Yatağan
27.2529,37.0341,Safir Sitesi
34.5609,38.9429,Hacıbektaş
34.7305,38.8271,Büyük Ayhan
34.6197,38.743,Gülşehir
35.4908,38.388,Develi
34.573,37.8228,Kemerhisar
34.5607,37.888,Bor
34.38,39.0602,Mucur
33.6162,39.6746,Keskin
34.9518,38.9536,Akarca
34.8284,39.0047,Topaklı
34.8675,38.9832,Çalış
33.0463,37.7164,İsmil
33.5476,37.7178,Karapınar
34.048,37.5142,Ereğli
33.5461,38.2469,Sultanhanı
34.5068,38.5492,Acıgöl
35.3541,38.1003,Yahyalı
36.3941,38.7214,Pınarbaşı
30.8897,37.7758,Tepeli
34.853,39.2108,Kozaklı
26.9024,40.8931,Malkara
34.8725,37.4227,Pozantı
34.4851,37.5487,Ulukışla
34.7718,37.5112,Çiftehan
34.8492,38.1718,Konaklı
34.7774,38.2256,Gölcük
34.1885,37.435,Halkapınar
33.6894,37.3602,Ayrancı
34.2776,37.6571,Aziziye
36.1939,36.4902,Belen
36.7414,37.1786,Nurdağı
35.8171,37.0283,Ceyhan
35.8164,37.4489,Kozan
36.6327,37.0254,İslahiye
37.7932,37.0109,Nizip
37.9791,37.0282,Birecik
37.8694,37.244,Halfeti
38.6217,37.7861,Kahta
44.0805,39.5482,Doğubayazıt
43.9066,39.1395,Çaldıran
43.7591,38.9866,Muradiye
43.3591,39.029,Erciş
42.8612,39.2334,Patnos
42.5409,39.1461,Malazgirt
41.051,38.9677,Solhan
35.184,38.6896,Garipçe
37.2703,38.7212,Gürün
42.4864,38.7543,Ahlat
42.7343,38.8046,Adilcevaz
31.7269,37.6755,Beyşehir
31.5837,37.5798,Üstünler
32.2122,38.2401,Kadınhanı
32.4056,38.264,Sarayönü
32.7812,37.5713,Çumra
33.1274,37.287,Yuvatepe
43.4119,40.3765,Digor
43.6252,40.7414,Akyaka
38.4242,36.9755,Suruç
39.0244,36.8701,Harran
39.7621,37.233,Viranşehir
40.0461,36.854,Ceylanpınar
40.5838,37.1921,Kızıltepe
41.2145,37.0826,Nusaybin
42.1855,37.3325,Cizre
42.4706,37.2493,Silopi
41.3637,37.4172,Midyat
34.8492,38.6009,İbrahimpaşa
34.9546,38.6698,Ulaşlı
34.9458,38.6837,Çökek
34.9915,38.5881,Karain
40.4151,37.7237,Çınar
40.6647,37.8511,Bismil
41.4161,37.7304,Hasankeyf
41.3856,37.5659,Gercüş
40.9552,37.4019,Ömerli
40.823,37.3395,Yeşilli
41.0086,38.1398,Silvan
40.5068,38.2105,Çaytepe
40.3937,38.4128,Hani
40.6464,38.458,Lice
39.7621,38.2669,Ergani
40.0828,38.2585,Eğil
39.4525,38.1361,Çermik
39.3177,37.7541,Siverek
38.9567,37.586,Hilvan
38.5253,37.362,Bozova
43.5666,40.5178,Ocaklı
43.1208,40.1424,Kağızman
39.3083,38.4474,Sivrice
39.8659,38.7189,Kovancılar
40.038,38.9564,Karakoçan
40.5569,38.7504,Genç
39.0607,38.5744,Hankendi
42.1801,37.7493,Eruh
41.7029,37.9269,Kurtalan
41.4999,38.1679,Kozluk
44.2822,37.5718,Yüksekova
44.5744,37.3043,Şemdinli
31.0147,38.122,Gelendost
31.037,38.102,Yaka
31.1813,38.2992,Yalvaç
31.1544,38.3499,Sücüllü
31.4177,38.3583,Akşehir
28.6482,38.5461,Kula
27.7061,38.497,Turgutlu
31.9171,38.2815,Ilgın
35.0005,38.7993,Bayramhacı
34.969,38.882,Mahmat
34.8176,38.4183,Tilköy
34.3461,38.3941,Gülağaç
34.0415,38.7366,Ortaköy
37.0398,39.4448,Ulaş
36.411,39.3523,Şarkışla
37.3894,39.2348,Kangal
37.597,39.106,Alacahan
37.7591,39.8972,Zara
38.0923,40.1632,Suşehri
38.4236,40.2886,Şebinkarahisar
36.0711,39.1831,Gemerek
35.9672,39.0771,Sarıoğlan
35.8856,40.3,Zile
36.7795,40.0271,Altınoluk
36.6014,39.8669,Yıldızeli
36.666,40.002,İslim
36.6502,38.9969,Örenşehir
36.4556,38.9007,Kaynar
36.3884,39.0199,Beserek
36.3582,39.0522,Malakköy
35.2557,38.8842,Yemliha
35.6621,38.8681,Gömeç
34.3788,40.1652,Sungurlu
34.5247,40.1207,Salman
34.6096,40.021,Boğazkale
34.8415,40.169,Alaca
35.2955,40.5221,Mecitözü
35.4585,40.8693,Merzifon
35.2194,40.8748,Gümüşhacıköy
34.8062,40.9781,Osmancık
35.6496,40.8295,Suluova
36.3237,40.7591,Taşova
36.564,40.6726,Erbaa
37.3389,40.3917,Reşadiye
29.1193,37.9165,Pamukkale
33.1235,39.5557,Balâ
33.0527,39.6368,Tolköy
33.7264,39.3578,Kaman
36.0295,41.0718,Kavak
35.8957,40.9088,Ladik
35.6653,40.9661,Havza
39.4343,40.1305,Kelkit
39.6543,40.2096,Köse
39.4358,40.2077,Ünlüpınar
44.1707,38.649,Saray
43.9904,38.657,Özalp
33.109,40.6252,Orta
32.8935,40.8116,Çerkeş
34.0377,41.0181,Tosya
30.5488,38.1063,Senirkent
29.69,37.155,Çavdır
37.2956,37.49,Pazarcık
36.8509,37.3818,Türkoğlu
35.6634,37.2565,İmamoğlu
36.0946,37.3686,Kadirli
33.933,36.3764,Silifke
33.4382,36.6435,Mut
32.8918,36.6393,Ermenek
35.8863,36.4126,Arsuz
35.9802,36.0853,Samandağ
36.5234,36.7979,Hassa
36.3606,36.4967,Kırıkhan
42.728,41.5084,Posof
43.6639,40.0417,Tuzluca
43.6706,39.5409,Diyadin
42.2703,39.0911,Bulanık
42.3043,39.15,Rüstemgedik
42.1869,39.1309,Yoncalı
42.0521,39.0141,Erentepe
41.9677,38.956,Oğlakkaya
41.4547,39.1721,Varto
41.7969,39.2544,Halilçavuş
41.6994,39.3591,Hınıs
41.7555,39.6028,Hacıömer
42.144,39.703,Karayazı
41.9236,39.744,Payveren
41.5088,39.6464,Tekman
42.7722,39.5388,Tutak
42.9887,39.6087,Hamur
42.3591,39.2012,Arslankaya
37.8626,37.6917,Besni
37.6892,37.4259,Araban
37.5685,37.3176,Yavuzeli
37.6406,37.7838,Gölbaşı
37.8782,38.0934,Doğanşehir
37.9155,37.7951,Tut
29.2696,37.7582,Honaz
29.61,37.8228,Bozkurt
29.6075,37.9772,Baklan
29.7374,38.3006,Çivril
29.6851,38.4992,Sivaslı
30.1636,38.0664,Dinar
30.449,38.0784,Uluborlu
29.0714,37.5726,Tavas
29.0146,37.6126,Kızılcabölük
28.4596,37.9149,Kuyucak
28.0623,37.6125,Çine
28.6902,36.9618,Köyceğiz
28.7655,36.8389,Ortaca
28.8083,36.7664,Dalaman
30.2875,36.3657,Kumluca
27.8402,38.9241,Akhisar
27.6686,39.1074,Kırkağaç
27.0752,38.6035,Menemen
27.5703,38.7342,Saruhanlı
27.9159,38.7113,Gölmarmara
27.3834,39.0876,Kınık
27.0977,39.5582,Havran
28.1577,39.9144,Susurluk
27.9746,40.3501,Bandırma
28.3615,40.2128,Karacabey
27.2421,40.2261,Biga
26.6858,40.3427,Lapseki
29.6522,40.2626,Yenişehir
30.0163,40.3573,Osmaneli
30.7452,40.7968,Hendek
31.125,41.089,Akçakoca
31.4218,41.2795,Ereğli
34.4694,38.6351,Tatlarin
26.4031,39.6012,Ayvacık
26.3397,39.7859,Ezine
29.5007,39.541,Tavşanlı
28.1529,39.6899,Kepsut
28.6254,39.588,Dursunbey
35.5073,40.065,Çekerek
30.2695,38.4663,Sandıklı
31.7367,38.8121,Yunak
31.6255,38.4711,Tuzlukçu
30.6381,37.9506,Atabey
41.5441,40.8204,Yusufeli
32.5004,39.4343,Haymana
33.5416,38.9401,Şereflikoçhisar
34.8835,36.9169,Tarsus
33.4127,40.1039,Kalecik
33.6262,40.925,Ilgaz
33.5108,39.763,Hasandede
33.4294,39.7289,Hacılar
38.3602,38.417,Battalgazi
39.6702,38.3932,Maden
39.6052,39.0196,Mazgirt
39.3238,38.8665,Pertek
39.2194,39.1076,Hozat
38.1179,39.3714,Divriği
38.4898,39.0422,Arapgir
38.4965,39.2621,Kemaliye
38.7397,38.794,Keban
38.2643,38.7821,Arguvan
37.9308,38.8165,Hekimhan
37.6699,38.8818,Kuluncak
31.9573,41.2182,Devrek
32.0784,41.4256,Çaycuma
33.7117,41.8039,Küre
34.2125,41.5092,Taşköprü
34.7672,41.469,Boyabat
35.0558,41.418,Durağan
41,40.4834,İspir
39.8913,40.163,Demirözü
40.1494,40.3888,Aydıntepe
36.5674,36.2679,Reyhanlı
31.2076,39.6928,Beylikova
29.9031,39.9954,Pazaryeri
27.0512,40.0289,Çan
27.2555,39.9298,Yenice
30.5855,37.4567,Bucak
29.8226,37.3718,Karamanlı
29.7552,37.5064,Yeşilova
29.776,37.3132,Tefenni
30.4465,37.3031,Kızılkaya
30.0618,37.3541,Kemer
29.512,37.1481,Gölhisar
30.2852,37.2138,Bozova
29.5464,36.9973,Altınyayla
29.9179,36.7385,Elmalı
30.1445,36.3046,Finike
40.2695,37.3649,Derik
40.4893,37.4769,Mazıdağı
40.8874,37.5368,Savur
35.2852,40.1303,Aydıncık
35.2989,39.8269,Çiğdemli
35.3767,39.4953,Sarıkaya
35.5139,39.2446,Çandır
35.646,39.3041,Çayıralan
35.9499,39.3138,Sızır
36.0969,39.2146,Yeniçubuk
34.7565,39.4961,Şefaatli
34.6546,39.6909,Saray
34.4158,39.6036,Çiçekdağı
34.264,39.2716,Boztepe
33.9639,39.448,Akpınar
35.0027,39.2117,Yenifakılı
35.5675,39.0907,Felahiye
35.7018,39.1068,Özvatan
36.171,39.0015,Akkışla
35.858,38.8458,Bünyan
36.497,38.4802,Sarız
36.2225,38.263,Tufanbeyli
36.3224,38.3291,Şar
36.3539,37.5738,Andırın
34.3729,37.9989,Altunhisar
34.2774,38.0182,Akçaören
33.7238,37.8516,Kayalı
33.8339,37.9044,Emirgazi
33.9135,37.9173,Belkaya
34.0168,38.0019,Obruk
34.9895,37.834,Çamardı
34.4858,38.1757,Çiftlik
34.413,38.2637,Sivrihisar
34.2642,38.2942,Yaprakhisar
34.2564,38.3084,Selime
33.9162,38.8691,Ağaçören
33.4116,38.4014,Eskil
33.8455,38.9849,Sarıyahşi
34.3637,38.4187,Gülpınar
34.235,38.4506,Saratlı
34.4319,38.3489,Sofular
35.5519,38.6908,Talas
32.8379,36.0757,Anamur
32.3145,36.2685,Gazipaşa
31.5969,37.0969,İbradı
31.4699,37.1365,Başlar
31.1011,36.9165,Serik
32.3725,37.4523,Akören
32.6612,37.5788,İçeriçumra
32.8691,38.3073,Altınekin
32.9237,38.659,Cihanbeyli
33.0045,38.9363,Ömeranli
31.229,38.5323,Sultandağı
31.0265,38.591,Çay
31.0455,38.7116,Bolvadin
30.7815,38.7016,Çobanlar
30.7531,38.8616,İscehisar
30.9256,38.9844,Bayat
31.0411,39.3805,Çifteler
30.9847,39.497,Mahmudiye
30.698,39.4442,Seyitgazi
30.4174,39.0298,İhsaniye
30.0098,37.8974,Başmakçı
29.8599,37.9187,Dazkırı
29.8846,38.0406,Evciler
29.9669,38.5808,Hocalar
30.5456,38.5343,Şuhut
