x,y,name
30.5241,50.45,Київ
31.2943,51.4941,Чернігів
24.0316,49.842,Львів
30.9508,50.3512,Бориспіль
34.5508,49.5897,Полтава
30.25,50.5167,Ірпінь
30.3679,50.3917,Вишневе
30.2848,50.3357,Боярка
30.1625,50.4216,Петрушки
30.1726,50.4585,Дмитрівка
22.3021,48.6224,Ужгород
22.2096,48.4311,Чоп
30.2196,51.2705,Чорнобиль
30.0571,51.4061,Прип’ять
27.6067,50.5918,Новоград-Волинський
26.2513,50.6196,Рівне
25.3201,50.7451,Луцьк
24.7089,51.2121,Ковель
33.9948,50.3702,Гадяч
23.8531,49.2559,Стрий
30.2204,48.7498,Умань
29.9682,48.8182,Христинівка
29.9909,48.771,Орадівка
30.1026,48.7321,Паланка
30.0346,48.7799,Розсішки
30.0716,48.7945,Веселівка
30.0417,48.8298,Верхнячка
29.9191,48.7928,Мала Севастянівка
30.0015,48.691,Хасанівка
29.9523,48.74,Ягубець
28.468,49.232,Вінниця
30.0894,48.858,Багачівка
30.0262,48.9561,Ботвинівка
30.0996,48.8205,Вербувата
30.0561,48.9596,Гребля
30.0342,48.6564,Осітна
30.0707,48.6957,Синиця
30.0297,48.8725,Пеніжкове
26.9794,49.4196,Хмельницький
28.6692,50.2598,Житомир
29.9898,48.9309,Зоряне
29.8081,48.8018,Івангород
29.9019,48.8107,Козаче
30.06,48.91,Ліщинівка
30.1036,48.8563,Мала Іванівка
29.9702,48.7095,Заячківка
29.8438,48.7949,Сичівка
23.5064,49.2783,Трускавець
22.6453,48.2051,Берегове
30.1117,49.8038,Біла Церква
29.0585,50.3202,Коростишів
30.0413,50.4166,Бузова
30.1076,50.3604,Музичі
30.1648,50.321,Жорнівка
24.1648,50.7225,Нововолинськ
24.1505,50.8622,Устилуг
24.3439,50.9345,Верба
24.3193,50.8475,Володимир-Волинський
24.0397,51.2274,Любомль
23.9219,51.4909,Шацьк
24.3592,50.6378,Іваничі
24.2288,50.3892,Червоноград
23.9712,50.0561,Жовква
24.2855,50.4815,Сокаль
23.6479,49.7832,Городок
24.551,48.4504,Яремче
24.5624,48.292,Ворохта
24.6863,48.0994,Дземброня
24.6645,48.1266,Бистрець
32.0588,49.4448,Черкаси
34.7984,50.907,Суми
33.4035,49.063,Кременчук
24.8485,48.9018,Тисмениця
