x,y,name
-64.6322,10.2054,Puerto La Cruz
-63.9672,11.0777,Juan Griego
-63.867,11.1449,Playa El Agua
-63.8501,10.9599,Porlamar
-63.8066,10.9941,Pampatar
-63.8861,11.1546,Manzanillo
-63.8658,11.0289,La Asunción
-63.9233,11.0691,Santa Ana
-66.105,10.4853,Higuerote
-66.1741,10.3918,La Fundacion
-66.1506,10.3998,Tacarigua de Mamporal
-71.1572,8.5876,Mérida
-72,8.1,Municipio Jáuregui
-67.0603,1.9215,San Carlos de Río Negro
-65.5448,3.1762,La Esmeralda
-67.6991,4.045,San Fernando de Atabapo
-62.7557,8.2751,Puerto Ordaz
-62.6545,8.344,San Félix
-62.6897,8.3224,Ciudad Guayana
-63.5511,8.1081,Ciudad Bolívar
-61.1471,4.4791,Pacaraima
-61.8318,7.3475,El Callao
-62.4058,8.017,Upata
-68.2027,10.4862,Morón
-67.7089,10.2891,Mariara
-67.6017,10.2514,Maracay
-69.0057,10.1589,Urachiche
-71.461,10.3995,Cabimas
-71.6921,10.4139,La Cañada de Urdaneta
-64.6863,10.1373,Barcelona
-63.18,9.7452,Maturín
-67.4807,10.2231,Turmero
-64.163,10.4494,Cumaná
-67.6086,5.659,Puerto Ayacucho
-64.4571,9.4312,Anaco
-64.3593,9.3066,Cantaura
-68.5457,10.9727,Yaracal
-61.1061,4.6026,Santa Elena de Uairén
-72.2513,8.2151,La Fría
-72.2429,7.9564,Michelena
-72.2214,7.7757,San Cristóbal
-71.9857,8.137,La Grita
-71.8539,11.0857,Sinamaica
-71.5221,10.7128,Los Puertos de Altagracia
-71.5178,10.5423,Santa Rita
-64.253,8.8872,El Tigre
-64.1581,8.8898,San José de Guanipa
-64.5505,9.7398,San Mateo
-63.3174,7.451,Ciudad Piar
-63.3351,6.8315,La Paragua
-67.4468,10.1237,Bella Vista
-67.4866,10.074,Las Guasduas
-67.5115,10.179,Santa Cruz
-67.1559,10.2071,La Esperanza
-67.7004,10.1051,Yuma
-67.7462,10.0849,El Copey
-67.6135,10.0973,Magdaleno
-67.7763,10.0842,Güigüe
-67.3569,9.9152,San Juan de Los Morros
-70.9926,8.7081,Mucurubá
-71.0585,8.6395,San Rafael de Tabay
-63.9629,10.9001,El Yaque
-67.2905,9.6231,Ortíz
-67.2873,9.7047,Parapara
-67.3093,9.7323,Las Minas (El Toco)
-67.3962,9.8411,Los Flores
-72.3999,8.369,Boca de Grita
-72.4477,7.5658,Delicias
-70.7561,7.102,El Amparo
-70.73,7.2444,Guasdualito
-72.4419,7.8579,Palotal
-72.446,7.9097,CAZTA
-71.435,8.1814,Chacantá
-70.9205,8.7475,Mucuchíes
-66.3747,10.2919,Caucagua
-67.633,10.3012,El Limón
