x,y,name
44.2059,15.3539,صنعاء
44.0215,13.5752,تعز
45.0285,12.7896,عدن
44.1779,13.9702,إب
44.4001,14.543,ذمار
43.2501,13.3179,المخا
48.9967,16.0564,تريم
46.8454,14.5277,عتق
52.234,12.1855,كلمية
54.0194,12.6515,حديبو
43.763,16.9409,صعدة
43.9044,15.5092,شبام كوكبان
53.5,12.4667,نيت
53.55,12.6333,دغت
53.4714,12.6662,قيسا
53.4879,12.6894,قلنسية
53.8947,12.6315,موري
53.9523,12.6343,قاضب
54.047,12.5215,د-عسموة
54.0007,12.5303,حصحوص
53.9941,12.4815,ذي كيلبة
54.0974,12.4818,شذر
54.0862,12.4942,مابوءوة
54.0565,12.5002,د-إمبالة
53.9174,12.3371,ستيرة
53.8,12.3833,كودح
54.4097,12.5537,شōنة
54.45,12.5504,سمهون
54.2619,12.4861,مذب
54.2325,12.5124,تمēروة
54.2356,12.5313,سرهن
54.2372,12.5325,سرهم
54.2833,12.5333,ريدة
54.1756,12.5199,ديشل
54.2055,12.4674,تمرة
54.3385,12.6045,صقرة
54.3219,12.5114,شلهين
54.3536,12.5133,د-شيوخ
54.3667,12.5167,كليسان
54.3167,12.6079,ديزيف
54.2333,12.65,قرية
54.2863,12.6164,ذي تمرة
54.2388,12.5837,شي
52.1137,12.2176,كنشية
43.4235,12.6547,ميون
43.4308,12.6551,جزيرة البرم
43.5032,12.6811,العرضي
43.4711,12.7199,غريرة
43.4108,12.9435,ذباب
43.4148,13.0057,السيمر
43.4786,13.038,بئر العمري
43.9183,12.7789,الجبتان
43.9122,12.7717,العديدية
43.9922,13.0175,دار عبد الغني
43.9885,13.0105,سليم سليمان
43.9995,13.0056,الكوح
44.0088,12.9946,الطهامية
43.9627,13.0009,المشيرط
43.9837,12.9924,شط الطويل
43.9581,12.9748,أشي زويرة
43.9584,13.0213,الحصن
43.9964,12.9798,الرثيم
44.0038,13.0344,الجريبات
43.9593,13.0373,علوان أحمد
44.0637,13.077,دار مجنان
44.2073,13.043,بسولي
44.2016,13.0502,قرية الحجاج
44.2145,13.0645,القاعدة
44.2,13.0333,نجد فترة
44.3288,13.1391,النجد
44.3232,13.125,مبهالة
44.3357,13.0874,حبيل
44.3104,13.1197,شقبو
44.3078,13.1002,دار شاور
44.6781,12.8053,التلة
44.5944,12.8195,المخنوق
45.3575,13.2297,الخور
45.35,13.25,الكوبلية
45.3493,13.2748,عبر الشبعة
45.3434,13.2666,الدرجاج
45.3439,13.2288,عبر عثمان
53.9182,12.6253,كدة
53.9176,12.62,قدم
53.8579,12.6001,ضعناسة
53.8667,12.6,د-رطهēتي
53.8461,12.5958,ذنوبان
53.8406,12.595,غصو
53.8629,12.6073,د-زتموة
54.0403,12.6574,عيرة
54.0331,12.6505,بلاد السلين
54.0647,12.6365,علها
54.0338,12.6502,تمريدة
54.0651,12.6661,شق
54.0414,12.6413,كōدة
54.047,12.646,سرهين
54.1166,12.6952,حولف
54.0597,12.666,سوق
54.1167,12.6,كام
54.1167,12.6667,دليشة
54.1609,12.6267,د-جوءهار
54.1697,12.5623,هركة
54.1459,12.5731,بركēرب
54.1467,12.5641,رذون
54.1681,12.5389,جعه
54.1393,12.4454,مركوة
54.1326,12.4365,دي-فعرهو
54.1335,12.4332,فر
54.1667,12.4333,دعيري
54.1331,12.351,زاحق
54.1331,12.4331,فهر
54.1173,12.3545,حيف
54.1853,12.4002,فهوه
53.7459,12.3141,قشبة
53.8,12.6,بالقثن
53.7458,12.3136,جشب
53.684,12.3183,إشوق
53.8369,12.5946,صعاللوتي
53.95,12.3667,سكغر
53.7624,12.6183,غبة
53.9667,12.5333,قرونع
53.9661,12.5323,غرونهن
53.9167,12.5,تهر
53.7167,12.45,شرهين
53.8333,12.5833,أينس
53.8333,12.5833,غسف
